storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
-L6miYnJCVI,director,PERSON,,,director,41,0.20000000298023224,-0.20000000298023224,COMMON,0.09631405770778656,0.5,-0.20000000298023224,director,director,OTHER,OTHER,,"MusicGroup, Thing",PERSON,PERSON,PERSON,PERSON
-L6miYnJCVI,Glory,OTHER,,,Glory,61,0.8000000119209291,-0.8000000119209291,COMMON,0.03862050175666809,0.8000000119209291,-0.8000000119209291,Glory,glory,OTHER,ORGANIZATION,,"Thing, Organization",,OTHER,OTHER,OTHER
-L6miYnJCVI,script,WORK_OF_ART,,,script,499,0.20000000298023224,0.20000000298023224,COMMON,0.031699180603027344,0.30000001192092896,0.0,script,script,OTHER,OTHER,,OTHER,,WORK_OF_ART,WORK_OF_ART,EVENT
-L6miYnJCVI,writers,PERSON,,,writers,461,0.0,0.0,COMMON,0.028181351721286774,0.8000000119209291,0.10000000149011612,writer,writer,OTHER,OTHER,,"Thing, MusicRecording",PERSON,PERSON,PERSON,PERSON
-L6miYnJCVI,jamiyah,OTHER,,,jamiyah,546,0.10000000149011612,0.10000000149011612,COMMON,0.012089358642697334,0.20000000298023224,0.0,jamiyah,jamiyah,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
-L6miYnJCVI,huff,PERSON,,,huff,537,0.0,0.0,COMMON,0.004861976020038128,0.0,0.0,huff,huff,OTHER,OTHER,,OTHER,,PERSON,PERSON,PERSON
-L6miYnJCVI,Rishi Boucher,PERSON,,,Rishi Boucher,523,0.0,0.0,PROPER,0.002804514952003956,0.0,0.0,Rishi Boucher,rishi boucher,OTHER,OTHER,,OTHER,,PERSON,PERSON,PERSON
-L6miYnJCVI,Outlaw,OTHER,,,Outlaw,980,0.0,0.0,PROPER,0.1989045143127441,0.8999999761581421,-0.10000000149011612,Outlaw,outlaw,OTHER,OTHER,,OTHER,PERSON,OTHER,OTHER,OTHER
-L6miYnJCVI,story,OTHER,,,story,994,0.0,0.0,COMMON,0.006438159849494696,0.0,0.0,story,story,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
-L6miYnJCVI,Three Brothers,PERSON,,,Three Brothers,1003,0.0,0.0,PROPER,0.002582805464044213,0.0,0.0,Three Brothers,three brother,OTHER,OTHER,,"Thing, Movie, TVSeries",,PERSON,PERSON,PERSON
-L6miYnJCVI,synopsis,WORK_OF_ART,,,synopsis,1245,0.0,0.0,COMMON,0.010056921280920506,0.20000000298023224,0.0,synopsis,synopsis,OTHER,ORGANIZATION,,"MusicAlbum, Thing, VisualArtwork, Organization",,WORK_OF_ART,WORK_OF_ART,EVENT
-L6miYnJCVI,film,WORK_OF_ART,,,film,1219,0.0,0.0,COMMON,0.004396365024149418,0.0,0.0,film,film,OTHER,OTHER,http://dbpedia.org/ontology/TelevisionShow,OTHER,,WORK_OF_ART,WORK_OF_ART,EVENT
-L6miYnJCVI,film,WORK_OF_ART,,,film,1263,0.0,0.0,COMMON,0.004396365024149418,0.0,0.0,film,film,OTHER,OTHER,http://dbpedia.org/ontology/TelevisionShow,OTHER,,WORK_OF_ART,WORK_OF_ART,EVENT
-L6miYnJCVI,hand,OTHER,,,hand,1187,0.0,0.0,COMMON,0.0014396661426872015,0.0,0.0,hand,hand,OTHER,OTHER,http://dbpedia.org/ontology/AnatomicalStructure,OTHER,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
-L6miYnJCVI,vision,OTHER,,,vision,1205,0.0,0.0,COMMON,0.0014379778876900673,0.0,0.0,vision,vision,OTHER,ORGANIZATION,,"Thing, Organization",EVENT,OTHER,OTHER,OTHER
-L6miYnJCVI,threats,OTHER,,,threats,1550,0.5,-0.5,COMMON,0.0021178920287638907,0.5,-0.5,threat,threat,OTHER,OTHER,,"Thing, MusicRecording, Movie",PERSON,OTHER,OTHER,OTHER
