storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
3Rngbg3shuE,front,OTHER,,,front,279,0.0,0.0,COMMON,0.09431599080562593,0.20000000298023224,-0.10000000149011612,front,front,OTHER,LOCATION,,"Place, City, Thing","LOCATION, PERSON, ORGANIZATION",OTHER,OTHER,OTHER
3Rngbg3shuE,Chick-fil-A,LOCATION,/m/02cctq,https://en.wikipedia.org/wiki/Chick-fil-A,Chick-fil-A,115,0.10000000149011612,-0.10000000149011612,PROPER,0.07336803525686264,1.6000000238418581,0.0,Chick-fil-A,chick-fil-a,OTHER,ORGANIZATION,,"Restaurant, Corporation, Thing, Organization",,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,Chick-fil-A,LOCATION,/m/02cctq,https://en.wikipedia.org/wiki/Chick-fil-A,Chick-fil-A,241,0.20000000298023224,-0.20000000298023224,PROPER,0.07336803525686264,1.6000000238418581,0.0,Chick-fil-A,chick-fil-a,OTHER,ORGANIZATION,,"Organization, Restaurant, Thing, Corporation",,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,Chick-fil-A,LOCATION,/m/02cctq,https://en.wikipedia.org/wiki/Chick-fil-A,Chick-fil-A,292,0.10000000149011612,-0.10000000149011612,PROPER,0.07336803525686264,1.6000000238418581,0.0,Chick-fil-A,chick-fil-a,OTHER,ORGANIZATION,,"Organization, Restaurant, Thing, Corporation",,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,Chick-fil-A,LOCATION,/m/02cctq,https://en.wikipedia.org/wiki/Chick-fil-A,Chick-fil-A,308,0.10000000149011612,0.10000000149011612,PROPER,0.07336803525686264,1.6000000238418581,0.0,Chick-fil-A,chick-fil-a,OTHER,ORGANIZATION,,"Restaurant, Corporation, Thing, Organization",,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,group,PERSON,,,group,164,0.10000000149011612,-0.10000000149011612,COMMON,0.06247219443321227,0.699999988079071,-0.30000001192092896,group,group,OTHER,OTHER,,OTHER,,PERSON,PERSON,PERSON
3Rngbg3shuE,people,PERSON,,,people,173,0.0,0.0,COMMON,0.034384243190288544,0.0,0.0,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
3Rngbg3shuE,church,LOCATION,,,church,190,0.10000000149011612,-0.10000000149011612,COMMON,0.021314039826393127,0.10000000149011612,-0.10000000149011612,church,church,OTHER,LOCATION,,"Thing, City, Place",ORGANIZATION,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,street,LOCATION,,,street,213,0.0,0.0,COMMON,0.021314039826393127,0.0,0.0,street,street,OTHER,OTHER,http://dbpedia.org/ontology/Road,OTHER,ORGANIZATION,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,picture,WORK_OF_ART,,,picture,263,0.0,0.0,COMMON,0.009252888150513172,0.0,0.0,picture,picture,OTHER,OTHER,,OTHER,,WORK_OF_ART,WORK_OF_ART,EVENT
3Rngbg3shuE,Chick-fil-A,LOCATION,/m/02cctq,https://en.wikipedia.org/wiki/Chick-fil-A,Chick-fil-A,1781,0.10000000149011612,-0.10000000149011612,PROPER,0.07336803525686264,1.6000000238418581,0.0,Chick-fil-A,chick-fil-a,OTHER,ORGANIZATION,,"Organization, Restaurant, Thing, Corporation",,LOCATION,LOCATION,LOCATION
3Rngbg3shuE,people,PERSON,,,people,1852,0.0,0.0,COMMON,0.012796868570148943,0.20000000298023224,0.10000000149011612,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
3Rngbg3shuE,people,PERSON,,,people,1715,0.0,0.0,COMMON,0.0038292685057967897,0.0,0.0,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
3Rngbg3shuE,many,PERSON,,,many,1767,0.10000000149011612,-0.10000000149011612,COMMON,0.0031396078411489725,0.10000000149011612,-0.10000000149011612,many,many,OTHER,LOCATION,,"Place, Thing, City",,PERSON,PERSON,PERSON
3Rngbg3shuE,country,LOCATION,,,country,1811,0.0,0.0,COMMON,0.0026096024084836245,0.0,0.0,country,country,OTHER,OTHER,http://dbpedia.org/ontology/Settlement,"MusicAlbum, Thing, Movie","ORGANIZATION, LOCATION",LOCATION,LOCATION,LOCATION
3Rngbg3shuE,crowds,OTHER,,,crowds,1834,0.10000000149011612,-0.10000000149011612,COMMON,0.002577675972133875,0.10000000149011612,-0.10000000149011612,crowd,crowd,OTHER,OTHER,,"Thing, MusicRecording",ORGANIZATION,OTHER,OTHER,OTHER
