storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
60qwSBbdBkM,attack,EVENT,,,attack,454,0.4000000059604645,0.4000000059604645,COMMON,0.012061369605362415,0.4000000059604645,0.4000000059604645,attack,attack,OTHER,OTHER,,OTHER,,EVENT,EVENT,EVENT
60qwSBbdBkM,attack,EVENT,,,attack,503,0.20000000298023224,-0.20000000298023224,COMMON,0.009863824583590029,0.20000000298023224,-0.20000000298023224,attack,attack,OTHER,OTHER,,OTHER,,EVENT,EVENT,EVENT
60qwSBbdBkM,attack,EVENT,,,attack,397,0.8999999761581421,-0.8999999761581421,COMMON,0.009792153723537922,0.8999999761581421,-0.8999999761581421,attack,attack,OTHER,OTHER,,OTHER,,EVENT,EVENT,EVENT
60qwSBbdBkM,Congressman,PERSON,/m/01gkgk,https://en.wikipedia.org/wiki/Member_of_Congress,Congressman,308,0.10000000149011612,0.10000000149011612,PROPER,0.00849230121821165,0.10000000149011612,0.10000000149011612,Congressman,congressman,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON,PERSON
60qwSBbdBkM,plan nature,OTHER,,,plan nature,484,0.0,0.0,COMMON,0.008249658159911633,0.0,0.0,plan nature,plan nature,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
60qwSBbdBkM,house intelligence committee,ORGANIZATION,,,house intelligence committee,354,0.0,0.0,COMMON,0.006896261125802994,0.0,0.0,house intelligence committee,house intelligence committee,OTHER,OTHER,,OTHER,,ORGANIZATION,ORGANIZATION,ORGANIZATION
60qwSBbdBkM,style,OTHER,,,style,448,0.10000000149011612,-0.10000000149011612,COMMON,0.006896261125802994,0.10000000149011612,-0.10000000149011612,style,style,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
60qwSBbdBkM,chairman,PERSON,,,chairman,338,0.20000000298023224,-0.20000000298023224,COMMON,0.0064063030295074,0.20000000298023224,-0.20000000298023224,chairman,chairman,PERSON,OTHER,http://dbpedia.org/ontology/Person,"Book, Thing",PERSON,PERSON,PERSON,PERSON
60qwSBbdBkM,CNN,ORGANIZATION,/m/0gsgr,https://en.wikipedia.org/wiki/CNN,CNN,462,0.0,0.0,PROPER,0.004058337770402432,0.0,0.0,CNN,cnn,OTHER,ORGANIZATION,,"Corporation, Thing, Organization",,ORGANIZATION,ORGANIZATION,ORGANIZATION
60qwSBbdBkM,Mike Rogers,PERSON,/m/0258zm,https://en.wikipedia.org/wiki/Mike_Rogers_(Michigan_politician),Mike Rogers,321,0.20000000298023224,-0.20000000298023224,PROPER,0.003930901177227497,0.20000000298023224,-0.20000000298023224,Mike Rogers,mike rogers,OTHER,PERSON,,"Person, Thing",,PERSON,PERSON,PERSON
