storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
6m1WBGZ4Shg,airport,LOCATION,,,airport,288,0.0,0.0,COMMON,0.01824284717440605,0.0,0.0,airport,airport,OTHER,OTHER,http://dbpedia.org/ontology/Airport,OTHER,,LOCATION,LOCATION,LOCATION
6m1WBGZ4Shg,strike,EVENT,,,strike,270,0.30000001192092896,-0.30000001192092896,COMMON,0.016035011038184166,0.30000001192092896,-0.30000001192092896,strike,strike,OTHER,OTHER,,OTHER,EVENT,EVENT,EVENT,EVENT
6m1WBGZ4Shg,Paris,LOCATION,/m/05qtj,https://en.wikipedia.org/wiki/Paris,Paris,282,0.0,0.0,PROPER,0.0143580948933959,0.10000000149011612,0.0,Paris,paris,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/Settlement, http://dbpedia.org/ontology/Place","Place, AdministrativeArea, City, Thing","LOCATION, PERSON",LOCATION,LOCATION,LOCATION
6m1WBGZ4Shg,hands,OTHER,,,hands,354,0.699999988079071,-0.699999988079071,COMMON,0.008777126669883728,0.699999988079071,-0.699999988079071,hand,hand,OTHER,OTHER,,Thing,"ORGANIZATION, PERSON, LOCATION",OTHER,OTHER,OTHER
6m1WBGZ4Shg,vehicle,CONSUMER_GOOD,,,vehicle,333,0.6000000238418579,-0.6000000238418579,COMMON,0.008301066234707829,0.6000000238418579,-0.6000000238418579,vehicle,vehicle,OTHER,OTHER,http://dbpedia.org/ontology/Software,"Thing, MusicRecording",,OTHER,OTHER,OTHER
6m1WBGZ4Shg,tires,CONSUMER_GOOD,,,tires,316,0.4000000059604645,-0.4000000059604645,COMMON,0.007711434736847877,0.4000000059604645,-0.4000000059604645,tire,tire,OTHER,LOCATION,,"Place, City, Thing",,OTHER,OTHER,OTHER
6m1WBGZ4Shg,Windows,CONSUMER_GOOD,/m/04r_8,https://en.wikipedia.org/wiki/Microsoft_Windows,Windows,303,0.30000001192092896,-0.30000001192092896,PROPER,0.004560765344649553,0.30000001192092896,-0.30000001192092896,Windows,window,OTHER,OTHER,,"MusicGroup, TVSeries, Thing, Movie",,OTHER,OTHER,OTHER
6m1WBGZ4Shg,France,LOCATION,/m/0f8l9c,https://en.wikipedia.org/wiki/France,French,371,0.0,0.0,PROPER,0.028403136879205707,0.20000000298023224,-0.20000000298023224,France,france,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country","Country, AdministrativeArea, Place, Thing","LOCATION, PERSON",LOCATION,LOCATION,LOCATION
6m1WBGZ4Shg,drivers,PERSON,,,drivers,456,0.5,-0.5,COMMON,0.012809351086616516,1.2000000476837158,-0.6000000238418579,driver,driver,OTHER,LOCATION,,"MusicRecording, Place, Thing, City",PERSON,PERSON,PERSON,PERSON
6m1WBGZ4Shg,decree,OTHER,,,decree,407,0.10000000149011612,-0.10000000149011612,COMMON,0.008259841240942478,0.10000000149011612,-0.10000000149011612,decree,decree,LOCATION,OTHER,http://dbpedia.org/ontology/PopulatedPlace,"Thing, MusicRecording",,OTHER,OTHER,OTHER
6m1WBGZ4Shg,favor,OTHER,,,favor,417,0.30000001192092896,-0.30000001192092896,COMMON,0.007673129905015229,0.30000001192092896,-0.30000001192092896,favor,favor,OTHER,OTHER,,Thing,,OTHER,OTHER,OTHER
6m1WBGZ4Shg,government,ORGANIZATION,,,government,378,0.30000001192092896,-0.30000001192092896,COMMON,0.007673129905015229,0.30000001192092896,-0.30000001192092896,government,government,OTHER,EVENT,,"Thing, Event",ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
6m1WBGZ4Shg,cab services,OTHER,,,cab services,438,0.0,0.0,COMMON,0.007673129905015229,0.0,0.0,cab service,cab service,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
