storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
9LpBAtQvj40,weight,OTHER,,,weight,31,0.20000000298023224,0.20000000298023224,COMMON,0.08958657830953598,0.20000000298023224,0.20000000298023224,weight,weight,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,family car,CONSUMER_GOOD,,,family car,43,0.0,0.0,COMMON,0.07888640463352202,0.0,0.0,family car,family car,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,world,LOCATION,,,world,99,0.10000000149011612,0.10000000149011612,COMMON,0.043437797576189034,0.10000000149011612,0.10000000149011612,world,world,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
9LpBAtQvj40,plane,OTHER,,,plane,75,0.20000000298023224,0.20000000298023224,COMMON,0.042391646653413766,0.20000000298023224,0.20000000298023224,plane,plane,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,material,OTHER,,,material,463,0.8999999761581421,0.8999999761581421,COMMON,0.009690567851066593,0.8999999761581421,0.8999999761581421,material,material,,,,,PERSON,OTHER,OTHER,OTHER
9LpBAtQvj40,housing,OTHER,,,housing,912,0.10000000149011612,0.10000000149011612,COMMON,0.00894984230399132,0.10000000149011612,0.10000000149011612,housing,housing,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,refrigerators,CONSUMER_GOOD,,,refrigerators,871,0.10000000149011612,0.10000000149011612,COMMON,0.00894984230399132,0.10000000149011612,0.10000000149011612,refrigerator,refrigerator,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,pilots,PERSON,,,pilots,1364,0.0,0.0,COMMON,0.03972800076007843,0.8000000119209291,-0.10000000149011612,pilot,pilot,,,,,PERSON,PERSON,PERSON,PERSON
9LpBAtQvj40,cockpit,OTHER,,,cockpit,1406,0.0,0.0,COMMON,0.0076489862985908985,0.0,0.0,cockpit,cockpit,,,,,,OTHER,OTHER,OTHER
9LpBAtQvj40,trip,EVENT,,,trip,1429,0.0,0.0,COMMON,0.006719015538692474,0.0,0.0,trip,trip,,,,,EVENT,EVENT,EVENT,EVENT
9LpBAtQvj40,stop,LOCATION,,,stop,1446,0.0,0.0,COMMON,0.006719015538692474,0.0,0.0,stop,stop,,,,,"EVENT, LOCATION",LOCATION,LOCATION,LOCATION
9LpBAtQvj40,schools politicians,PERSON,,,schools politicians,1463,0.30000001192092896,-0.30000001192092896,COMMON,0.006719015538692474,0.30000001192092896,-0.30000001192092896,school politician,school politician,,,,,,PERSON,PERSON,PERSON
9LpBAtQvj40,JFK,LOCATION,,,JFK,1352,0.10000000149011612,-0.10000000149011612,PROPER,0.0039716283790767175,0.10000000149011612,-0.10000000149011612,JFK,jfk,,,,,PERSON,LOCATION,PERSON,PERSON
