storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
Fg-LbAy0Cto,Superstar,PERSON,,,Superstar,38,0.0,0.0,COMMON,0.035802073776721954,0.0,0.0,Superstar,superstar,,,,,PERSON,PERSON,PERSON,PERSON
Fg-LbAy0Cto,omapere,LOCATION,,,omapere,53,0.30000001192092896,0.30000001192092896,PROPER,0.028487090021371838,0.30000001192092896,0.30000001192092896,omapere,omapere,,,,,,LOCATION,LOCATION,LOCATION
Fg-LbAy0Cto,person,PERSON,,,person,497,0.5,0.5,COMMON,0.0808536633849144,2.799999952316284,0.30000001192092896,person,person,,,,,,PERSON,PERSON,PERSON
Fg-LbAy0Cto,kind,OTHER,,,kind,489,0.4000000059604645,0.4000000059604645,COMMON,0.0053807273507118225,0.4000000059604645,0.4000000059604645,kind,kind,,,,,,OTHER,OTHER,OTHER
Fg-LbAy0Cto,poori,OTHER,,,poori,475,0.4000000059604645,0.4000000059604645,COMMON,0.004449071828275919,0.4000000059604645,0.4000000059604645,poori,poori,,,,,,OTHER,OTHER,OTHER
Fg-LbAy0Cto,lawmakers,PERSON,,,lawmakers,1376,0.4000000059604645,-0.4000000059604645,COMMON,0.004246480762958528,0.4000000059604645,-0.4000000059604645,lawmaker,lawmaker,,,,,PERSON,PERSON,PERSON,PERSON
Fg-LbAy0Cto,Crooks,LOCATION,,,Crooks,1404,0.8999999761581421,-0.8999999761581421,PROPER,0.002204317832365632,0.8999999761581421,-0.8999999761581421,Crooks,crook,,,,,PERSON,LOCATION,PERSON,PERSON
Fg-LbAy0Cto,India's Parliament,ORGANIZATION,/m/024_0s,https://en.wikipedia.org/wiki/Parliament_of_India,India's Parliament,1338,0.10000000149011612,-0.10000000149011612,PROPER,0.002204317832365632,0.10000000149011612,-0.10000000149011612,India 's Parliament,india 's parliament,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
Fg-LbAy0Cto,individual,PERSON,,,individual,1528,0.10000000149011612,0.10000000149011612,COMMON,0.019363706931471825,1.2000000476837158,0.0,individual,individual,,,,,PERSON,PERSON,PERSON,PERSON
Fg-LbAy0Cto,film industry,OTHER,,,film industry,1495,0.10000000149011612,0.10000000149011612,COMMON,0.0037259387318044897,0.10000000149011612,0.10000000149011612,film industry,film industry,,,,,ORGANIZATION,OTHER,OTHER,OTHER
Fg-LbAy0Cto,Pakistani,LOCATION,,,Pakistani,1643,0.0,0.0,PROPER,0.02574229426681996,0.0,0.0,Pakistani,pakistani,,,,,PERSON,LOCATION,PERSON,PERSON
Fg-LbAy0Cto,films,WORK_OF_ART,,,films,1653,0.10000000149011612,-0.10000000149011612,COMMON,0.003248960478231311,0.10000000149011612,-0.10000000149011612,film,film,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
