storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
Im9mnP3SlYY,Sayid,PERSON,,,Sayid,0,0.20000000298023224,0.20000000298023224,PROPER,0.2309122830629349,0.4000000059604645,0.20000000298023224,Sayid,sayid,,,,,,PERSON,PERSON,PERSON
Im9mnP3SlYY,lion,OTHER,,,lion,24,0.0,0.0,COMMON,0.08862533420324326,0.0,0.0,lion,lion,,,,,"PERSON, LOCATION",OTHER,OTHER,OTHER
Im9mnP3SlYY,living conditions,OTHER,,,living conditions,706,0.4000000059604645,-0.4000000059604645,COMMON,0.01306051667779684,0.4000000059604645,-0.4000000059604645,living condition,living condition,,,,,,OTHER,OTHER,OTHER
Im9mnP3SlYY,travel,OTHER,,,travel,746,0.0,0.0,COMMON,0.006398386787623167,0.0,0.0,travel,travel,,,,,EVENT,OTHER,OTHER,OTHER
Im9mnP3SlYY,lions tigers,OTHER,,,lions tigers,967,0.20000000298023224,-0.20000000298023224,COMMON,0.006459254305809736,0.20000000298023224,-0.20000000298023224,lion tiger,lion tiger,,,,,,OTHER,OTHER,OTHER
Im9mnP3SlYY,bears,OTHER,,,bears,984,0.10000000149011612,-0.10000000149011612,COMMON,0.006000128109008074,0.10000000149011612,-0.10000000149011612,bear,bear,,,,,PERSON,OTHER,OTHER,OTHER
Im9mnP3SlYY,nature,OTHER,,,nature,1023,0.4000000059604645,-0.4000000059604645,COMMON,0.004807811696082354,0.4000000059604645,-0.4000000059604645,nature,nature,,,,,PERSON,OTHER,OTHER,OTHER
Im9mnP3SlYY,Wildlife Reserve Jordan,ORGANIZATION,,,Wildlife Reserve Jordan,1034,0.5,-0.5,PROPER,0.003547638189047575,0.5,-0.5,Wildlife Reserve Jordan,wildlife reserve jordan,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
Im9mnP3SlYY,Syrian,LOCATION,/m/06vbd,https://en.wikipedia.org/wiki/Syria,Syrian,1177,0.0,0.0,PROPER,0.007327370811253786,0.0,0.0,Syrian,syrian,,,,,PERSON,LOCATION,PERSON,PERSON
Im9mnP3SlYY,Duty,OTHER,,,Duty,1148,0.10000000149011612,-0.10000000149011612,COMMON,0.0033654721919447184,0.10000000149011612,-0.10000000149011612,Duty,duty,,,,,,OTHER,OTHER,OTHER
