storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
KK25aLLhDk0,hand,OTHER,,,hand,57,0.30000001192092896,0.30000001192092896,COMMON,0.1903228759765625,0.5,0.20000000298023224,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
KK25aLLhDk0,little,OTHER,,,little,80,0.10000000149011612,0.10000000149011612,COMMON,0.0524141788482666,0.10000000149011612,0.10000000149011612,little,little,,,,,,OTHER,OTHER,OTHER
KK25aLLhDk0,things,OTHER,,,things,106,0.0,0.0,COMMON,0.0524141788482666,0.0,0.0,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
KK25aLLhDk0,operation,OTHER,,,finger,599,0.0,0.0,COMMON,0.05341893061995506,0.20000000298023224,-0.20000000298023224,operation,operation,,,,,,OTHER,OTHER,OTHER
KK25aLLhDk0,one,OTHER,,,one,567,0.0,0.0,COMMON,0.007396946195513009,0.0,0.0,one,one,,,,,,OTHER,OTHER,OTHER
KK25aLLhDk0,operation,OTHER,,,operation,547,0.20000000298023224,-0.20000000298023224,COMMON,0.0072173927910625935,0.20000000298023224,-0.20000000298023224,operation,operation,,,,,,OTHER,OTHER,OTHER
KK25aLLhDk0,tools,OTHER,,,tools,578,0.0,0.0,COMMON,0.006498184520751238,0.0,0.0,tool,tool,,,,,PERSON,OTHER,OTHER,OTHER
KK25aLLhDk0,hand,OTHER,,,hand,838,0.0,0.0,COMMON,0.008896701969206333,0.0,0.0,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
KK25aLLhDk0,fingers,OTHER,,,fingers,803,0.0,0.0,COMMON,0.006787302903831005,0.0,0.0,finger,finger,,,,,,OTHER,OTHER,OTHER
KK25aLLhDk0,hand,OTHER,,,hand,1087,0.0,0.0,COMMON,0.006683184765279293,0.0,0.0,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
KK25aLLhDk0,record,OTHER,,,record,1096,0.10000000149011612,0.10000000149011612,COMMON,0.004477846436202526,0.10000000149011612,0.10000000149011612,record,record,,,,,,OTHER,OTHER,OTHER
