storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
LILLBOVY1as,jeans,CONSUMER_GOOD,,,jeans,498,0.30000001192092896,0.30000001192092896,COMMON,0.0481356792151928,0.5,0.20000000298023224,jean,jean,,,,,,OTHER,OTHER,OTHER
LILLBOVY1as,Persian,LOCATION,/m/03shp,https://en.wikipedia.org/wiki/Iran,Iran,493,0.0,0.0,PROPER,0.014286211691796781,0.0,0.0,Persian,persian,,,,,PERSON,LOCATION,PERSON,PERSON
LILLBOVY1as,denim,OTHER,,,denim,542,0.20000000298023224,0.20000000298023224,COMMON,0.0114261107519269,0.20000000298023224,0.20000000298023224,denim,denim,,,,,,OTHER,OTHER,OTHER
LILLBOVY1as,photos,WORK_OF_ART,,,photos,513,0.30000001192092896,0.30000001192092896,COMMON,0.008945684880018234,0.6000000238418579,0.30000001192092896,photo,photo,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
LILLBOVY1as,hashtag,OTHER,,,hashtag,485,0.4000000059604645,0.4000000059604645,COMMON,0.007721635513007641,0.4000000059604645,0.4000000059604645,hashtag,hashtag,,,,,,OTHER,OTHER,OTHER
LILLBOVY1as,India,LOCATION,/m/03rk0,https://en.wikipedia.org/wiki/India,India,1298,0.0,0.0,PROPER,0.01832385547459125,0.10000000149011612,0.0,India,india,,,,,LOCATION,LOCATION,LOCATION,LOCATION
LILLBOVY1as,state,LOCATION,,,state,1331,0.30000001192092896,0.30000001192092896,COMMON,0.002342036692425609,0.30000001192092896,0.30000001192092896,state,state,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
LILLBOVY1as,stream,LOCATION,,,stream,1267,0.0,0.0,COMMON,0.0007225350709632039,0.0,0.0,stream,stream,,,,,"ORGANIZATION, EVENT",LOCATION,LOCATION,LOCATION
LILLBOVY1as,decision,OTHER,,,decision,1286,0.0,0.0,COMMON,0.0006352332420647142,0.0,0.0,decision,decision,,,,,EVENT,OTHER,OTHER,OTHER
LILLBOVY1as,Congress,ORGANIZATION,/m/07t31,https://en.wikipedia.org/wiki/United_States_Congress,Congress,1306,0.20000000298023224,0.20000000298023224,PROPER,0.000532807142008096,0.20000000298023224,0.20000000298023224,Congress,congress,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
