storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
Sv2xibCjjUo,Human Rights Watch,ORGANIZATION,/m/0ckxt,https://en.wikipedia.org/wiki/Human_Rights_Watch,Human Rights Watch,0,0.30000001192092896,-0.30000001192092896,PROPER,0.17593374848365784,1.100000023841858,-0.20000000298023224,Human Rights Watch,human right watch,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
Sv2xibCjjUo,prisons,PERSON,,,prisons,53,0.10000000149011612,-0.10000000149011612,COMMON,0.174922913312912,0.20000000298023224,-0.10000000149011612,prison,prison,,,,,,PERSON,PERSON,PERSON
Sv2xibCjjUo,forces,ORGANIZATION,,,forces,74,0.0,0.0,COMMON,0.05596737936139107,0.0,0.0,force,force,,,,,"ORGANIZATION, PERSON",ORGANIZATION,ORGANIZATION,ORGANIZATION
Sv2xibCjjUo,Central Yemen,LOCATION,/m/01z88t,https://en.wikipedia.org/wiki/Yemen,Yemen,93,0.0,0.0,PROPER,0.05260148271918297,0.4000000059604645,0.0,Central Yemen,central yemen,,,,,,LOCATION,LOCATION,LOCATION
Sv2xibCjjUo,Ahmed,PERSON,,,Ahmed,117,0.10000000149011612,-0.10000000149011612,PROPER,0.07438992708921432,0.10000000149011612,0.0,Ahmed,ahmed,,,,,,PERSON,PERSON,PERSON
Sv2xibCjjUo,Central Yemen,LOCATION,/m/01z88t,https://en.wikipedia.org/wiki/Yemen,Yemen,93,0.0,0.0,PROPER,0.05260148271918297,0.4000000059604645,0.0,Central Yemen,central yemen,,,,,,LOCATION,LOCATION,LOCATION
Sv2xibCjjUo,prison,LOCATION,,,prison,123,0.10000000149011612,-0.10000000149011612,COMMON,0.030875202268362045,0.10000000149011612,-0.10000000149011612,prison,prison,,,,,,LOCATION,LOCATION,LOCATION
Sv2xibCjjUo,Aden Al Jazeera,ORGANIZATION,/m/027glbp,https://en.wikipedia.org/wiki/Al_Jazeera,Aden Al Jazeera,133,0.10000000149011612,-0.10000000149011612,PROPER,0.023947002366185192,0.30000001192092896,-0.10000000149011612,Aden Al Jazeera,aden al jazeera,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
Sv2xibCjjUo,hunger strike,EVENT,,,hunger strike,501,0.20000000298023224,-0.20000000298023224,COMMON,0.011133098043501377,0.20000000298023224,-0.20000000298023224,hunger strike,hunger strike,,,,,,EVENT,EVENT,EVENT
Sv2xibCjjUo,response,OTHER,,,response,518,0.10000000149011612,-0.10000000149011612,COMMON,0.0062944618985056894,0.10000000149011612,-0.10000000149011612,response,response,,,,,,OTHER,OTHER,OTHER
Sv2xibCjjUo,mistreatment,OTHER,,,mistreatment,530,0.4000000059604645,-0.4000000059604645,COMMON,0.0062944618985056894,0.4000000059604645,-0.4000000059604645,mistreatment,mistreatment,,,,,,OTHER,OTHER,OTHER
Sv2xibCjjUo,UAE,LOCATION,/m/0j1z8,https://en.wikipedia.org/wiki/United_Arab_Emirates,UAE,729,0.699999988079071,-0.699999988079071,PROPER,0.06853536516427994,3.400000095367432,-0.5,UAE,uae,,,,,,LOCATION,LOCATION,LOCATION
Sv2xibCjjUo,abuse,OTHER,,,abuse,719,0.5,-0.5,COMMON,0.006345983594655991,0.5,-0.5,abuse,abuse,,,,,,OTHER,OTHER,OTHER
Sv2xibCjjUo,yemeni proxy,OTHER,,,yemeni proxy,743,0.0,0.0,COMMON,0.005574960261583328,0.0,0.0,yemeni proxy,yemeni proxy,,,,,,OTHER,OTHER,OTHER
Sv2xibCjjUo,food,OTHER,,,food,677,0.8000000119209291,-0.8000000119209291,COMMON,0.005574960261583328,0.8000000119209291,-0.8000000119209291,food,food,,,,,,OTHER,OTHER,OTHER
