storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
bQCReet5oyA,island,LOCATION,,,island,170,0.0,0.0,COMMON,0.17802859842777252,0.10000000149011612,0.0,island,island,,,,,,LOCATION,LOCATION,LOCATION
bQCReet5oyA,seabirds,OTHER,,,seabirds,207,0.4000000059604645,-0.4000000059604645,COMMON,0.0363030880689621,0.4000000059604645,-0.4000000059604645,seabird,seabird,,,,,,OTHER,OTHER,OTHER
bQCReet5oyA,home,LOCATION,,,home,180,0.0,0.0,COMMON,0.03586666658520698,0.0,0.0,home,home,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
bQCReet5oyA,South Pacific,LOCATION,,,South Pacific,193,0.10000000149011612,-0.10000000149011612,PROPER,0.023084703832864758,0.20000000298023224,-0.10000000149011612,South Pacific,south pacific,,,,,,LOCATION,LOCATION,LOCATION
bQCReet5oyA,human inhabitants,PERSON,,,human inhabitants,248,0.30000001192092896,-0.30000001192092896,COMMON,0.01387663371860981,0.30000001192092896,-0.30000001192092896,human inhabitant,human inhabitant,,,,,,PERSON,PERSON,PERSON
bQCReet5oyA,wildlife,OTHER,,,wildlife,227,0.5,-0.5,COMMON,0.01387663371860981,0.5,-0.5,wildlife,wildlife,,,,,ORGANIZATION,OTHER,OTHER,OTHER
bQCReet5oyA,Marine,ORGANIZATION,,,Marine,220,0.20000000298023224,-0.20000000298023224,PROPER,0.008220520801842213,0.20000000298023224,-0.20000000298023224,Marine,marine,,,,,PERSON,ORGANIZATION,ORGANIZATION,ORGANIZATION
bQCReet5oyA,plastic,OTHER,,,plastic,616,0.10000000149011612,-0.10000000149011612,COMMON,0.006061251275241375,0.10000000149011612,-0.10000000149011612,plastic,plastic,,,,,,OTHER,OTHER,OTHER
bQCReet5oyA,surface,OTHER,,,surface,631,0.0,0.0,COMMON,0.00514885550364852,0.0,0.0,surface,surface,,,,,LOCATION,OTHER,OTHER,OTHER
bQCReet5oyA,pieces,OTHER,,,pieces,606,0.10000000149011612,-0.10000000149011612,COMMON,0.0050859819166362286,0.10000000149011612,-0.10000000149011612,piece,piece,,,,,EVENT,OTHER,OTHER,OTHER
bQCReet5oyA,South Pacific,LOCATION,,,South Pacific,1272,0.0,0.0,PROPER,0.023084703832864758,0.20000000298023224,-0.10000000149011612,South Pacific,south pacific,,,,,,LOCATION,LOCATION,LOCATION
bQCReet5oyA,plastic,OTHER,,,plastic,1313,0.10000000149011612,0.10000000149011612,COMMON,0.010576530359685421,0.20000000298023224,0.10000000149011612,plastic,plastic,,,,,,OTHER,OTHER,OTHER
bQCReet5oyA,gyre,LOCATION,,,gyre,1286,0.20000000298023224,-0.20000000298023224,COMMON,0.0036338171921670437,0.20000000298023224,-0.20000000298023224,gyre,gyre,,,,,,LOCATION,LOCATION,LOCATION
bQCReet5oyA,ocean currents,OTHER,,,ocean currents,1246,0.10000000149011612,0.10000000149011612,COMMON,0.003525638254359365,0.10000000149011612,0.10000000149011612,ocean current,ocean current,,,,,,OTHER,OTHER,OTHER
bQCReet5oyA,thousands,PERSON,,,thousands,1326,0.10000000149011612,-0.10000000149011612,COMMON,0.003096954431384802,0.10000000149011612,-0.10000000149011612,thousand,thousand,,,,,,PERSON,PERSON,PERSON
