storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
buz6qTQOWfA,thing,OTHER,,,thing,27,0.8999999761581421,-0.8999999761581421,COMMON,0.23887209594249725,1.7999999523162842,-0.8999999761581421,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
buz6qTQOWfA,politician,PERSON,,,politician,55,0.20000000298023224,-0.20000000298023224,COMMON,0.14949089288711548,0.4000000059604645,-0.20000000298023224,politician,politician,,,,,PERSON,PERSON,PERSON,PERSON
buz6qTQOWfA,name,OTHER,,,name,77,0.30000001192092896,-0.30000001192092896,COMMON,0.07852493226528168,0.30000001192092896,-0.30000001192092896,name,name,,,,,"ORGANIZATION, PERSON",OTHER,OTHER,OTHER
buz6qTQOWfA,Robin Hood,PERSON,,,Robin Hood,93,0.0,0.0,PROPER,0.01728832721710205,0.0,0.0,Robin Hood,robin hood,,,,,PERSON,PERSON,PERSON,PERSON
buz6qTQOWfA,Reverse,OTHER,,,Reverse,107,0.0,0.0,PROPER,0.0151930944994092,0.0,0.0,Reverse,reverse,,,,,EVENT,OTHER,OTHER,OTHER
buz6qTQOWfA,sort,OTHER,,,sort,346,0.30000001192092896,-0.30000001192092896,COMMON,0.011606012471020222,0.30000001192092896,-0.30000001192092896,sort,sort,,,,,PERSON,OTHER,OTHER,OTHER
buz6qTQOWfA,shacks,OTHER,,,shacks,802,0.0,0.0,COMMON,0.007795619778335094,0.0,0.0,shack,shack,,,,,,OTHER,OTHER,OTHER
buz6qTQOWfA,compliment,OTHER,,,compliment,903,0.0,0.0,COMMON,0.006022158544510603,0.0,0.0,compliment,compliment,,,,,,OTHER,OTHER,OTHER
buz6qTQOWfA,Shantytown,LOCATION,/m/03zbzq,https://en.wikipedia.org/wiki/Shanty_town,Shantytown,813,0.0,0.0,PROPER,0.003560112090781331,0.0,0.0,Shantytown,shantytown,,,,,LOCATION,LOCATION,LOCATION,LOCATION
buz6qTQOWfA,Hooverville,LOCATION,/m/02f7wc,https://en.wikipedia.org/wiki/Hooverville,Hooverville,872,0.20000000298023224,-0.20000000298023224,PROPER,0.003560112090781331,0.20000000298023224,-0.20000000298023224,Hooverville,hooverville,,,,,,LOCATION,LOCATION,LOCATION
buz6qTQOWfA,gate,OTHER,,,gate,1283,0.0,0.0,COMMON,0.0059792278334498405,0.0,0.0,gate,gate,,,,,,OTHER,OTHER,OTHER
buz6qTQOWfA,Obama Loney,PERSON,,,Obama Loney,1271,0.10000000149011612,-0.10000000149011612,PROPER,0.002669161185622216,0.10000000149011612,-0.10000000149011612,Obama Loney,obama loney,,,,,,PERSON,PERSON,PERSON
buz6qTQOWfA,mandate,OTHER,,,mandate,1331,0.0,0.0,COMMON,0.004515941254794598,0.0,0.0,mandate,mandate,,,,,LOCATION,OTHER,OTHER,OTHER
buz6qTQOWfA,malfeasance,OTHER,,,malfeasance,1301,0.0,0.0,COMMON,0.004515941254794598,0.0,0.0,malfeasance,malfeasance,,,,,,OTHER,OTHER,OTHER
