storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
fRUM5IwoDlg,people,PERSON,,,people,657,0.10000000149011612,-0.10000000149011612,COMMON,0.006758418865501882,0.10000000149011612,-0.10000000149011612,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
fRUM5IwoDlg,sport,OTHER,,,sport,611,0.0,0.0,COMMON,0.006758418865501882,0.0,0.0,sport,sport,,,,,PERSON,OTHER,OTHER,OTHER
fRUM5IwoDlg,Endeavor,LOCATION,,,Endeavor,630,0.0,0.0,PROPER,0.003510931972414255,0.0,0.0,Endeavor,endeavor,,,,,,LOCATION,LOCATION,LOCATION
fRUM5IwoDlg,French,LOCATION,/m/0f8l9c,https://en.wikipedia.org/wiki/France,France,681,0.0,0.0,PROPER,0.03220919147133827,0.0,0.0,French,french,,,,,PERSON,LOCATION,PERSON,PERSON
fRUM5IwoDlg,heart attack,OTHER,,,heart attack,695,0.4000000059604645,-0.4000000059604645,COMMON,0.005937458947300911,0.4000000059604645,-0.4000000059604645,heart attack,heart attack,,,,,,OTHER,OTHER,OTHER
fRUM5IwoDlg,Runners,PERSON,,,Runners,833,0.20000000298023224,-0.20000000298023224,PROPER,0.012215388007462023,0.4000000059604645,-0.20000000298023224,Runners,runner,,,,,PERSON,PERSON,PERSON,PERSON
fRUM5IwoDlg,Runners,PERSON,,,amateurs,824,0.20000000298023224,-0.20000000298023224,COMMON,0.012215388007462023,0.4000000059604645,-0.20000000298023224,Runners,runner,,,,,PERSON,PERSON,PERSON,PERSON
fRUM5IwoDlg,football players,PERSON,,,football players,841,0.0,0.0,COMMON,0.0068805282935500145,0.0,0.0,football player,football player,,,,,PERSON,PERSON,PERSON,PERSON
fRUM5IwoDlg,people,PERSON,,,people,746,0.10000000149011612,-0.10000000149011612,COMMON,0.006758418865501882,0.10000000149011612,-0.10000000149011612,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
fRUM5IwoDlg,workout,EVENT,,,workout,807,0.20000000298023224,0.20000000298023224,COMMON,0.006201556418091061,0.20000000298023224,0.20000000298023224,workout,workout,,,,,,EVENT,EVENT,EVENT
fRUM5IwoDlg,country,LOCATION,,,country,775,0.10000000149011612,0.10000000149011612,COMMON,0.005937458947300911,0.10000000149011612,0.10000000149011612,country,country,,,,,"ORGANIZATION, LOCATION",LOCATION,LOCATION,LOCATION
fRUM5IwoDlg,deaths,EVENT,,,deaths,906,0.10000000149011612,-0.10000000149011612,COMMON,0.007641489151865244,0.10000000149011612,-0.10000000149011612,death,death,,,,,"EVENT, PERSON",EVENT,EVENT,EVENT
fRUM5IwoDlg,mystery,OTHER,,,mystery,929,0.0,0.0,COMMON,0.005448082461953163,0.0,0.0,mystery,mystery,,,,,,OTHER,OTHER,OTHER
fRUM5IwoDlg,babies,PERSON,,,babies,1153,0.8999999761581421,-0.8999999761581421,COMMON,0.04090183228254318,2.0,-0.6000000238418579,baby,baby,,,,,PERSON,PERSON,PERSON,PERSON
fRUM5IwoDlg,breast milk,OTHER,,,breast milk,1115,0.0,0.0,COMMON,0.02549632452428341,0.10000000149011612,0.0,breast milk,breast milk,,,,,,OTHER,OTHER,OTHER
fRUM5IwoDlg,need,OTHER,,,need,1107,0.0,0.0,COMMON,0.001795790856704116,0.0,0.0,need,need,,,,,,OTHER,OTHER,OTHER
fRUM5IwoDlg,breast milk,OTHER,,,breast milk,1205,0.0,0.0,COMMON,0.02549632452428341,0.10000000149011612,0.0,breast milk,breast milk,,,,,,OTHER,OTHER,OTHER
fRUM5IwoDlg,system,OTHER,,,system,1188,0.10000000149011612,-0.10000000149011612,COMMON,0.0021550583187490697,0.10000000149011612,-0.10000000149011612,system,system,,,,,ORGANIZATION,OTHER,OTHER,OTHER
fRUM5IwoDlg,hospital,LOCATION,,,hospital,1179,0.0,0.0,COMMON,0.0017917653312906625,0.0,0.0,hospital,hospital,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
fRUM5IwoDlg,pair,PERSON,,,pair,1165,0.20000000298023224,-0.20000000298023224,COMMON,0.0017917653312906625,0.20000000298023224,-0.20000000298023224,pair,pair,,,,,ORGANIZATION,PERSON,PERSON,PERSON
