storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
gPak1jchfD0,teammate,PERSON,,,teammate,226,0.10000000149011612,0.10000000149011612,COMMON,0.06453847885131836,0.20000000298023224,0.10000000149011612,teammate,teammate,,,,,PERSON,PERSON,PERSON,PERSON
gPak1jchfD0,way,OTHER,,,way,245,0.20000000298023224,0.20000000298023224,COMMON,0.01808540523052216,0.20000000298023224,0.20000000298023224,way,way,,,,,LOCATION,OTHER,OTHER,OTHER
gPak1jchfD0,teammates,PERSON,,,teammates,578,0.0,0.0,COMMON,0.035388052463531494,0.6000000238418579,-0.10000000149011612,teammate,teammate,,,,,PERSON,PERSON,PERSON,PERSON
gPak1jchfD0,boat,CONSUMER_GOOD,,,boat,619,0.0,0.0,COMMON,0.014913627877831459,0.10000000149011612,0.0,boat,boat,,,,,,OTHER,OTHER,OTHER
gPak1jchfD0,side,OTHER,,,side,565,0.0,0.0,COMMON,0.00666451919823885,0.0,0.0,side,side,,,,,"LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
gPak1jchfD0,King Arthur,PERSON,/m/04904,https://en.wikipedia.org/wiki/King_Arthur,Arthur,711,0.0,0.0,PROPER,0.004800655879080296,0.0,0.0,King Arthur,king arthur,,,,,PERSON,PERSON,PERSON,PERSON
gPak1jchfD0,Finish Line,ORGANIZATION,/m/09_gw6,"https://en.wikipedia.org/wiki/Finish_Line,_Inc.",Finish Line,684,0.0,0.0,PROPER,0.003176013706251979,0.0,0.0,Finish Line,finish line,,,,,LOCATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
gPak1jchfD0,Fame,WORK_OF_ART,,,Fame,1089,0.10000000149011612,-0.10000000149011612,PROPER,0.002377334982156753,0.10000000149011612,-0.10000000149011612,Fame,fame,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
gPak1jchfD0,Sweden,LOCATION,/m/0d0vqn,https://en.wikipedia.org/wiki/Sweden,Sweden,1123,0.0,0.0,PROPER,0.00166367890778929,0.0,0.0,Sweden,sweden,,,,,LOCATION,LOCATION,LOCATION,LOCATION
gPak1jchfD0,home,LOCATION,,,home,1241,0.0,0.0,COMMON,0.0028151683509349823,0.0,0.0,home,home,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
gPak1jchfD0,teammates hearts,OTHER,,,teammates hearts,1189,0.10000000149011612,0.10000000149011612,COMMON,0.0028151683509349823,0.10000000149011612,0.10000000149011612,teammate heart,teammate heart,,,,,,OTHER,OTHER,OTHER
gPak1jchfD0,Richard Lester BBC News,ORGANIZATION,,,Richard Lester BBC News,1246,0.0,0.0,PROPER,0.002591207856312394,0.0,0.0,Richard Lester BBC News,richard lester bbc news,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
