storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
lfFZOxWZMaA,Something,OTHER,,,Something,95,0.20000000298023224,0.20000000298023224,COMMON,0.02189289964735508,0.20000000298023224,0.20000000298023224,Something,something,,,,,,OTHER,OTHER,OTHER
lfFZOxWZMaA,clip,WORK_OF_ART,,,clip,219,0.0,0.0,COMMON,0.01924579218029976,0.0,0.0,clip,clip,,,,,EVENT,WORK_OF_ART,WORK_OF_ART,EVENT
lfFZOxWZMaA,Comic-Con,EVENT,/m/03g8rd,https://en.wikipedia.org/wiki/San_Diego_Comic-Con,Comic-Con,192,0.0,0.0,PROPER,0.01140190288424492,0.0,0.0,Comic-Con,comic-con,,,,,,EVENT,EVENT,EVENT
lfFZOxWZMaA,San Diego,LOCATION,/m/071vr,https://en.wikipedia.org/wiki/San_Diego,San Diego,205,0.0,0.0,PROPER,0.01140190288424492,0.0,0.0,San Diego,san diego,,,,,LOCATION,LOCATION,LOCATION,LOCATION
lfFZOxWZMaA,movie,WORK_OF_ART,,,movie,400,0.4000000059604645,0.4000000059604645,COMMON,0.007269077468663455,0.4000000059604645,0.4000000059604645,movie,movie,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
lfFZOxWZMaA,everybody,PERSON,,,everybody,731,0.0,0.0,COMMON,0.006628300528973341,0.0,0.0,everybody,everybody,,,,,,PERSON,PERSON,PERSON
lfFZOxWZMaA,part,OTHER,,,part,711,0.20000000298023224,0.20000000298023224,COMMON,0.00450251717120409,0.20000000298023224,0.20000000298023224,part,part,,,,,LOCATION,OTHER,OTHER,OTHER
lfFZOxWZMaA,Jesse Tyler Ferguson,PERSON,/m/026_fy4,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson,Jesse Tyler Ferguson,1447,0.30000001192092896,0.30000001192092896,PROPER,0.0171099491417408,1.100000023841858,0.30000001192092896,Jesse Tyler Ferguson,jesse tyler ferguson,,,,,,PERSON,PERSON,PERSON
lfFZOxWZMaA,gas,OTHER,,,gas,1443,0.10000000149011612,-0.10000000149011612,COMMON,0.0033876430243253712,0.10000000149011612,-0.10000000149011612,gas,gas,,,,,,OTHER,OTHER,OTHER
lfFZOxWZMaA,character,PERSON,,,character,1468,0.6000000238418579,-0.6000000238418579,COMMON,0.009836816228926182,0.699999988079071,-0.20000000298023224,character,character,,,,,PERSON,PERSON,PERSON,PERSON
lfFZOxWZMaA,Modern Family,WORK_OF_ART,/m/05zr0xl,https://en.wikipedia.org/wiki/Modern_Family,hit series,1485,0.4000000059604645,-0.4000000059604645,COMMON,0.008656952530145645,0.8000000119209291,-0.4000000059604645,Modern Family,modern family,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
lfFZOxWZMaA,Modern Family,WORK_OF_ART,/m/05zr0xl,https://en.wikipedia.org/wiki/Modern_Family,Modern Family,1496,0.30000001192092896,-0.30000001192092896,PROPER,0.008656952530145645,0.8000000119209291,-0.4000000059604645,Modern Family,modern family,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
lfFZOxWZMaA,Justin Makita,PERSON,/m/0m4g3lr,,Justin Makita,1626,0.20000000298023224,-0.20000000298023224,PROPER,0.005312436260282993,0.20000000298023224,-0.10000000149011612,Justin Makita,justin makita,,,,,,PERSON,PERSON,PERSON
lfFZOxWZMaA,Justin Makita,PERSON,/m/0m4g3lr,,boyfriend,1616,0.0,0.0,COMMON,0.005312436260282993,0.20000000298023224,-0.10000000149011612,Justin Makita,justin makita,,,,,,PERSON,PERSON,PERSON
lfFZOxWZMaA,actor,PERSON,,,actor,1605,0.10000000149011612,0.10000000149011612,COMMON,0.00453973701223731,0.10000000149011612,0.10000000149011612,actor,actor,,,,,PERSON,PERSON,PERSON,PERSON
lfFZOxWZMaA,love,OTHER,,,love,1595,0.8000000119209291,0.8000000119209291,COMMON,0.0033832548651844267,0.8000000119209291,0.8000000119209291,love,love,,,,,PERSON,OTHER,OTHER,OTHER
lfFZOxWZMaA,New York,LOCATION,/m/02_286,https://en.wikipedia.org/wiki/New_York_City,New York,1643,0.0,0.0,PROPER,0.0013975774636492133,0.0,0.0,New York,new york,,,,,LOCATION,LOCATION,LOCATION,LOCATION
lfFZOxWZMaA,screenwriter,PERSON,,,screenwriter,1692,0.0,0.0,COMMON,0.0029523277189582586,0.0,0.0,screenwriter,screenwriter,,,,,PERSON,PERSON,PERSON,PERSON
lfFZOxWZMaA,ceremony,EVENT,,,ceremony,1669,0.0,0.0,COMMON,0.002365092979744077,0.0,0.0,ceremony,ceremony,,,,,EVENT,EVENT,EVENT,EVENT
lfFZOxWZMaA,Tony Kushner,PERSON,/m/01_6dw,https://en.wikipedia.org/wiki/Tony_Kushner,Tony Kushner,1706,0.10000000149011612,-0.10000000149011612,PROPER,0.0013960811775177715,0.10000000149011612,-0.10000000149011612,Tony Kushner,tony kushner,,,,,,PERSON,PERSON,PERSON
