storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
o07FFOCQkwA,performances,EVENT,,,performances,184,0.0,0.0,COMMON,0.015986979007720947,0.0,0.0,performance,performance,,,,,,EVENT,EVENT,EVENT
o07FFOCQkwA,platoon,OTHER,,,platoon,216,0.0,0.0,COMMON,0.015037246979773045,0.0,0.0,platoon,platoon,,,,,ORGANIZATION,OTHER,OTHER,OTHER
o07FFOCQkwA,case,OTHER,,,case,232,0.10000000149011612,0.10000000149011612,COMMON,0.015037246979773045,0.10000000149011612,0.10000000149011612,case,case,,,,,"EVENT, PERSON",OTHER,OTHER,OTHER
o07FFOCQkwA,Scary Movie,WORK_OF_ART,/m/02vv_r0,https://en.wikipedia.org/wiki/Scary_Movie_(film_series),Scary Movie,245,0.0,0.0,PROPER,0.011067256331443788,0.0,0.0,Scary Movie,scary movie,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
o07FFOCQkwA,Wall Street,OTHER,/m/0g22z,https://en.wikipedia.org/wiki/Wall_Street_(1987_film),Wall Street,201,0.0,0.0,PROPER,0.008902457542717457,0.0,0.0,Wall Street,wall street,,,,,"LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
o07FFOCQkwA,music group,ORGANIZATION,,,music group,1498,0.5,-0.5,COMMON,0.002630409086123109,0.5,-0.5,music group,music group,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
o07FFOCQkwA,Jimmy Iovine,PERSON,/m/0270jd,https://en.wikipedia.org/wiki/Jimmy_Iovine,Jimmy Iovine,1515,0.5,-0.5,PROPER,0.0015544065972790122,0.5,-0.5,Jimmy Iovine,jimmy iovine,,,,,,PERSON,PERSON,PERSON
o07FFOCQkwA,anything,OTHER,,,anything,1463,0.6000000238418579,-0.6000000238418579,COMMON,0.0011529952753335238,0.6000000238418579,-0.6000000238418579,anything,anything,,,,,,OTHER,OTHER,OTHER
o07FFOCQkwA,companies,ORGANIZATION,,,companies,1430,0.0,0.0,COMMON,0.0010200608521699903,0.0,0.0,company,company,,,,,"ORGANIZATION, PERSON",ORGANIZATION,ORGANIZATION,ORGANIZATION
o07FFOCQkwA,Universal,ORGANIZATION,,,Universal,1398,0.0,0.0,PROPER,0.0007339016301557423,0.0,0.0,Universal,universal,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
o07FFOCQkwA,series stories,WORK_OF_ART,,,series stories,1945,0.10000000149011612,-0.10000000149011612,COMMON,0.0020922641269862647,0.10000000149011612,-0.10000000149011612,series story,series story,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
o07FFOCQkwA,Mel Gibson,PERSON,/m/0c1pj,https://en.wikipedia.org/wiki/Mel_Gibson,Mel Gibson,1973,0.0,0.0,PROPER,0.0010858005844056606,0.0,0.0,Mel Gibson,mel gibson,,,,,PERSON,PERSON,PERSON,PERSON
o07FFOCQkwA,Prince,PERSON,/m/01vvycq,https://en.wikipedia.org/wiki/Prince_(musician),Prince,1938,0.10000000149011612,-0.10000000149011612,PROPER,0.0010858005844056606,0.10000000149011612,-0.10000000149011612,Prince,prince,,,,,PERSON,PERSON,PERSON,PERSON
