storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,WordNet Type Type,WordNet Type,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3
vuk9mP0Vz7M,Charles,PERSON,none,none,Charles,73,0.10000000149011612,-0.10000000149011612,PROPER,0.2570981383323669,1.7000000476837158,0.0,OTHER,PERSON,Charles,charles,OTHER,OTHER,"http://dbpedia.org/ontology/GivenName, http://dbpedia.org/ontology/Name",OTHER,PERSON,PERSON,PERSON
vuk9mP0Vz7M,Charles,PERSON,none,none,king,83,0.10000000149011612,-0.10000000149011612,COMMON,0.2570981383323669,1.7000000476837158,0.0,OTHER,PERSON,Charles,charles,OTHER,OTHER,"http://dbpedia.org/ontology/GivenName, http://dbpedia.org/ontology/Name",OTHER,PERSON,PERSON,PERSON
vuk9mP0Vz7M,business,OTHER,none,none,business,7,0.6000000238418579,-0.6000000238418579,COMMON,0.04110811278223992,0.6000000238418579,-0.6000000238418579,OTHER,ORGANIZATION,business,business,ORGANIZATION,OTHER,http://dbpedia.org/ontology/Organisation,Thing,OTHER,OTHER,OTHER
vuk9mP0Vz7M,children,PERSON,none,none,children,64,0.10000000149011612,-0.10000000149011612,COMMON,0.04110811278223992,0.10000000149011612,-0.10000000149011612,OTHER,PERSON,child,child,OTHER,OTHER,,"MusicGroup, Book, Thing",PERSON,PERSON,PERSON
vuk9mP0Vz7M,animals,OTHER,none,none,animals,53,0.10000000149011612,-0.10000000149011612,COMMON,0.04110811278223992,0.10000000149011612,-0.10000000149011612,OTHER,,animal,animal,OTHER,OTHER,,Thing,OTHER,OTHER,OTHER
vuk9mP0Vz7M,ones,OTHER,none,none,ones,29,0.699999988079071,-0.699999988079071,COMMON,0.04110811278223992,0.699999988079071,-0.699999988079071,OTHER,,one,one,OTHER,ORGANIZATION,,"Corporation, MusicRecording, Organization, Thing",OTHER,OTHER,OTHER
vuk9mP0Vz7M,Waiting,OTHER,none,none,Waiting,91,0.0,0.0,PROPER,0.024449154734611508,0.0,0.0,OTHER,,Waiting,wait,OTHER,OTHER,,"Movie, CreativeWork, Thing",OTHER,OTHER,OTHER
vuk9mP0Vz7M,Molly Meldrum,PERSON,/m/02_48f,https://en.wikipedia.org/wiki/Molly_Meldrum,Molly,793,0.0,0.0,PROPER,0.06751897186040877,0.699999988079071,0.0,OTHER,,Molly Meldrum,molly meldrum,OTHER,PERSON,,"Person, Thing",PERSON,PERSON,PERSON
vuk9mP0Vz7M,struggle,WORK_OF_ART,none,none,struggle,781,0.6000000238418579,-0.6000000238418579,COMMON,0.0240988377481699,1.6000000238418581,-0.8000000119209291,OTHER,,struggle,struggle,OTHER,PERSON,,"Movie, Person, TVSeries, Thing",WORK_OF_ART,WORK_OF_ART,EVENT
vuk9mP0Vz7M,language,OTHER,none,none,language,828,0.10000000149011612,0.10000000149011612,COMMON,0.004640121944248675,0.10000000149011612,0.10000000149011612,OTHER,,language,language,OTHER,OTHER,http://dbpedia.org/ontology/Disease,OTHER,OTHER,OTHER,OTHER
vuk9mP0Vz7M,organization,ORGANIZATION,none,none,organization,852,0.10000000149011612,0.10000000149011612,COMMON,0.004640121944248675,0.10000000149011612,0.10000000149011612,ORGANIZATION,ORGANIZATION,organization,organization,ORGANIZATION,EVENT,http://dbpedia.org/ontology/Organisation,"Event, Thing",ORGANIZATION,ORGANIZATION,ORGANIZATION
vuk9mP0Vz7M,Silver Jubilee,WORK_OF_ART,none,none,Silver Jubilee,837,0.0,0.0,PROPER,0.0027430572081357236,0.0,0.0,OTHER,,Silver Jubilee,silver jubilee,OTHER,OTHER,http://dbpedia.org/ontology/Holiday,"MusicAlbum, Thing",WORK_OF_ART,WORK_OF_ART,EVENT
vuk9mP0Vz7M,Meldrum,PERSON,none,none,Meldrum,925,0.0,0.0,PROPER,0.00893061701208353,0.10000000149011612,0.0,OTHER,,Meldrum,meldrum,"ORGANIZATION, PERSON",OTHER,"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson, http://dbpedia.org/ontology/Group, http://dbpedia.org/ontology/Organisation, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent, http://dbpedia.org/ontology/Band, http://dbpedia.org/ontology/Agent",OTHER,PERSON,PERSON,PERSON
vuk9mP0Vz7M,Australian,LOCATION,/m/0chghy,https://en.wikipedia.org/wiki/Australia,Australian,903,0.0,0.0,PROPER,0.007339022122323512,0.0,0.0,OTHER,PERSON,Australian,australian,OTHER,OTHER,,OTHER,LOCATION,PERSON,PERSON
vuk9mP0Vz7M,mr,PERSON,none,none,mr,921,0.4000000059604645,0.4000000059604645,COMMON,0.005275995936244726,0.4000000059604645,0.4000000059604645,OTHER,,mr,mr,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON
vuk9mP0Vz7M,words,OTHER,none,none,words,914,0.8999999761581421,0.8999999761581421,COMMON,0.005275995936244726,0.8999999761581421,0.8999999761581421,OTHER,PERSON,word,word,OTHER,OTHER,,Thing,OTHER,OTHER,OTHER
vuk9mP0Vz7M,mind,OTHER,none,none,mind,959,0.0,0.0,COMMON,0.0019309676717966801,0.0,0.0,OTHER,PERSON,mind,mind,OTHER,ORGANIZATION,,"Organization, Thing",OTHER,OTHER,OTHER
vuk9mP0Vz7M,words,OTHER,none,none,words,1016,0.8000000119209291,0.8000000119209291,COMMON,0.0017400489887222648,0.8000000119209291,0.8000000119209291,OTHER,PERSON,word,word,OTHER,OTHER,,Thing,OTHER,OTHER,OTHER
vuk9mP0Vz7M,English,OTHER,/m/02h40lc,https://en.wikipedia.org/wiki/English_language,English,1008,0.0,0.0,PROPER,0.0009029913344420493,0.0,0.0,OTHER,"PERSON, EVENT",English,english,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER
