storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,WordNet Type Type,WordNet Type,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3
vuk9mP0Vz7M,Molly Meldrum,PERSON,/m/02_48f,https://en.wikipedia.org/wiki/Molly_Meldrum,Molly,793,0.0,0.0,PROPER,0.06751897186040877,0.699999988079071,0.0,OTHER,,Molly Meldrum,molly meldrum,OTHER,PERSON,,"Person, Thing",PERSON,PERSON,PERSON
vuk9mP0Vz7M,struggle,WORK_OF_ART,none,none,script,763,0.8999999761581421,-0.8999999761581421,COMMON,0.0240988377481699,1.6000000238418581,-0.8000000119209291,OTHER,,struggle,struggle,OTHER,PERSON,,"Movie, Person, TVSeries, Thing",WORK_OF_ART,WORK_OF_ART,EVENT
vuk9mP0Vz7M,struggle,WORK_OF_ART,none,none,struggle,781,0.6000000238418579,-0.6000000238418579,COMMON,0.0240988377481699,1.6000000238418581,-0.8000000119209291,OTHER,,struggle,struggle,OTHER,PERSON,,"Movie, Person, TVSeries, Thing",WORK_OF_ART,WORK_OF_ART,EVENT
vuk9mP0Vz7M,air,OTHER,none,none,air,725,0.20000000298023224,0.20000000298023224,COMMON,0.01290284376591444,0.699999988079071,-0.10000000149011612,OTHER,LOCATION,air,air,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER
vuk9mP0Vz7M,trick,OTHER,none,none,trick,752,0.0,0.0,COMMON,0.0063955183140933505,0.0,0.0,OTHER,PERSON,trick,trick,OTHER,OTHER,,"Movie, TVSeries, Thing",OTHER,OTHER,OTHER
vuk9mP0Vz7M,language,OTHER,none,none,language,828,0.10000000149011612,0.10000000149011612,COMMON,0.004640121944248675,0.10000000149011612,0.10000000149011612,OTHER,,language,language,OTHER,OTHER,http://dbpedia.org/ontology/Disease,OTHER,OTHER,OTHER,OTHER
vuk9mP0Vz7M,organization,ORGANIZATION,none,none,organization,852,0.10000000149011612,0.10000000149011612,COMMON,0.004640121944248675,0.10000000149011612,0.10000000149011612,ORGANIZATION,ORGANIZATION,organization,organization,ORGANIZATION,EVENT,http://dbpedia.org/ontology/Organisation,"Event, Thing",ORGANIZATION,ORGANIZATION,ORGANIZATION
vuk9mP0Vz7M,Silver Jubilee,WORK_OF_ART,none,none,Silver Jubilee,837,0.0,0.0,PROPER,0.0027430572081357236,0.0,0.0,OTHER,,Silver Jubilee,silver jubilee,OTHER,OTHER,http://dbpedia.org/ontology/Holiday,"MusicAlbum, Thing",WORK_OF_ART,WORK_OF_ART,EVENT
vuk9mP0Vz7M,Charles,PERSON,none,none,Charles,1097,0.5,0.5,PROPER,0.2570981383323669,1.7000000476837158,0.0,OTHER,PERSON,Charles,charles,OTHER,OTHER,"http://dbpedia.org/ontology/GivenName, http://dbpedia.org/ontology/Name",OTHER,PERSON,PERSON,PERSON
vuk9mP0Vz7M,car crash TV,ORGANIZATION,none,none,car crash TV,1077,0.20000000298023224,-0.20000000298023224,COMMON,0.011722666211426258,0.8999999761581421,-0.20000000298023224,ORGANIZATION,,car crash TV,car crash tv,OTHER,OTHER,,OTHER,ORGANIZATION,ORGANIZATION,ORGANIZATION
vuk9mP0Vz7M,glass,OTHER,none,none,glass,1405,0.0,0.0,COMMON,0.01131326425820589,0.10000000149011612,0.0,OTHER,,glass,glass,OTHER,OTHER,,"Movie, CreativeWork, Thing",OTHER,OTHER,OTHER
vuk9mP0Vz7M,country,LOCATION,none,none,country,1346,0.0,0.0,COMMON,0.007034588139504193,0.0,0.0,OTHER,"ORGANIZATION, LOCATION",country,country,OTHER,OTHER,http://dbpedia.org/ontology/Settlement,"MusicAlbum, Movie, Thing",LOCATION,LOCATION,LOCATION
vuk9mP0Vz7M,cities,LOCATION,none,none,cities,1323,0.0,0.0,COMMON,0.0038172050844877963,0.0,0.0,OTHER,"LOCATION, ORGANIZATION",city,city,OTHER,OTHER,,"MusicAlbum, Book, Thing",LOCATION,LOCATION,LOCATION
vuk9mP0Vz7M,king,PERSON,none,none,king,1380,0.10000000149011612,0.10000000149011612,COMMON,0.003397992812097073,0.10000000149011612,0.10000000149011612,OTHER,PERSON,king,king,OTHER,ORGANIZATION,,"Organization, Corporation, Thing",PERSON,PERSON,PERSON
vuk9mP0Vz7M,water,OTHER,none,none,water,1414,0.0,0.0,COMMON,0.003244427731260657,0.0,0.0,OTHER,,water,water,OTHER,OTHER,http://dbpedia.org/ontology/ChemicalCompound,Thing,OTHER,OTHER,OTHER
vuk9mP0Vz7M,display,OTHER,none,none,display,1333,0.0,0.0,COMMON,0.0024213234428316355,0.0,0.0,OTHER,,display,display,OTHER,ORGANIZATION,,"Corporation, Organization, Thing",OTHER,OTHER,OTHER
