storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
z0khtGInxdE,people,PERSON,,,people,38,0.4000000059604645,-0.4000000059604645,COMMON,0.0624532476067543,0.4000000059604645,-0.4000000059604645,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
z0khtGInxdE,couple,PERSON,,,couple,19,0.4000000059604645,-0.4000000059604645,COMMON,0.050972919911146164,0.4000000059604645,-0.4000000059604645,couple,couple,,,,,ORGANIZATION,PERSON,PERSON,PERSON
z0khtGInxdE,Colombia,LOCATION,/m/01ls2,https://en.wikipedia.org/wiki/Colombia,Colombia,808,0.20000000298023224,-0.20000000298023224,PROPER,0.037672393023967736,0.8999999761581421,-0.20000000298023224,Colombia,colombia,,,,,LOCATION,LOCATION,LOCATION,LOCATION
z0khtGInxdE,Border,LOCATION,,,Border,796,0.5,-0.5,PROPER,0.004880452062934637,0.5,-0.5,Border,border,,,,,LOCATION,LOCATION,LOCATION,LOCATION
z0khtGInxdE,shortages,OTHER,,,shortages,1156,0.8999999761581421,-0.8999999761581421,COMMON,0.004940262995660305,0.8999999761581421,-0.8999999761581421,shortage,shortage,,,,,,OTHER,OTHER,OTHER
z0khtGInxdE,President,PERSON,,,President,1198,0.20000000298023224,0.20000000298023224,COMMON,0.0021896925754845142,0.20000000298023224,0.20000000298023224,President,president,,,,,PERSON,PERSON,PERSON,PERSON
z0khtGInxdE,children,PERSON,,,children,1104,0.4000000059604645,-0.4000000059604645,COMMON,0.0017613169038668273,0.4000000059604645,-0.4000000059604645,child,child,,,,,PERSON,PERSON,PERSON,PERSON
z0khtGInxdE,diapers,CONSUMER_GOOD,,,diapers,1092,0.699999988079071,-0.699999988079071,COMMON,0.0017613169038668273,0.699999988079071,-0.699999988079071,diaper,diaper,,,,,,OTHER,OTHER,OTHER
z0khtGInxdE,Colombia,LOCATION,/m/01ls2,https://en.wikipedia.org/wiki/Colombia,Colombian,1419,0.0,0.0,PROPER,0.037672393023967736,0.8999999761581421,-0.20000000298023224,Colombia,colombia,,,,,LOCATION,LOCATION,LOCATION,LOCATION
z0khtGInxdE,shops,LOCATION,,,shops,1406,0.6000000238418579,-0.6000000238418579,COMMON,0.003978411667048931,0.6000000238418579,-0.6000000238418579,shop,shop,,,,,,LOCATION,LOCATION,LOCATION
z0khtGInxdE,border city,LOCATION,,,border city,1429,0.30000001192092896,-0.30000001192092896,COMMON,0.0027845257427543397,0.30000001192092896,-0.30000001192092896,border city,border city,,,,,,LOCATION,LOCATION,LOCATION
z0khtGInxdE,Venezuelans,PERSON,/m/05qb937,https://en.wikipedia.org/wiki/Venezuelans,Venezuelans,1453,0.0,0.0,PROPER,0.019629774615168568,0.0,0.0,Venezuelans,venezuelan,,,,,PERSON,PERSON,PERSON,PERSON
