storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
8RVcSU9rwq8,event,0.0,0.7304003238677979,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
8RVcSU9rwq8,product,4.0,0.5073524713516235,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
8RVcSU9rwq8,phenomenon,0.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
8RVcSU9rwq8,muscle,6.0,0.7319958806037903,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
8RVcSU9rwq8,thigh,1.0,0.4151325821876526,leg,/m/01j04m,/m/035r7c,thigh,thigh,LOCATION,,"http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/AnatomicalStructure",,,leg,leg,leg,leg,OTHER
8RVcSU9rwq8,thigh,3.0,0.4363395869731903,leg,/m/01j04m,/m/035r7c,thigh,thigh,LOCATION,,"http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/AnatomicalStructure",,,leg,leg,leg,leg,OTHER
8RVcSU9rwq8,thigh,6.0,0.4738702178001404,leg,/m/01j04m,/m/035r7c,thigh,thigh,LOCATION,,"http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/AnatomicalStructure",,,leg,leg,leg,leg,OTHER
8RVcSU9rwq8,moonlight,0.0,0.4746144413948059,light,/m/03qwvw,/m/04k84,moonlight,moonlight,OTHER,,http://dbpedia.org/ontology/Lighthouse,,,light,light,light,light,OTHER
8RVcSU9rwq8,tree,1.0,0.5468294620513916,plant,/m/07j7r,/m/05s2s,tree,tree,OTHER,,http://dbpedia.org/ontology/Plant,,PERSON,plant,plant,plant,plant,OTHER
8RVcSU9rwq8,tree,2.0,0.4642838835716248,plant,/m/07j7r,/m/05s2s,tree,tree,OTHER,,http://dbpedia.org/ontology/Plant,,PERSON,plant,plant,plant,plant,OTHER
8RVcSU9rwq8,tree,3.0,0.5402080416679382,plant,/m/07j7r,/m/05s2s,tree,tree,OTHER,,http://dbpedia.org/ontology/Plant,,PERSON,plant,plant,plant,plant,OTHER
8RVcSU9rwq8,tree,4.0,0.4724502861499786,plant,/m/07j7r,/m/05s2s,tree,tree,OTHER,,http://dbpedia.org/ontology/Plant,,PERSON,plant,plant,plant,plant,OTHER
8RVcSU9rwq8,footwear,1.0,0.8995833992958069,OTHER,/m/09j5n,,footwear,footwear,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
8RVcSU9rwq8,darkroom,0.0,0.4480554759502411,"photography, room",/m/025l6q,"/m/05wkw, /m/06ht1",darkroom,darkroom,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,"photography, room","photography, room","photography, room",LOCATION
8RVcSU9rwq8,light,0.0,0.8853495121002197,OTHER,/m/04k84,,light,light,OTHER,,http://dbpedia.org/ontology/Species,,"LOCATION, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
8RVcSU9rwq8,flooring,6.0,0.6404048204421997,OTHER,/m/01c34b,,floor,floor,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
8RVcSU9rwq8,endurance sports,1.0,0.4855107665061951,sports,/m/0bpxlzj,/m/06ntj,endurance sport,endurance sport,OTHER,,,,,sports,sports,EVENT,sports,EVENT
8RVcSU9rwq8,endurance sports,4.0,0.445898175239563,sports,/m/0bpxlzj,/m/06ntj,endurance sport,endurance sport,OTHER,,,,,sports,sports,EVENT,sports,EVENT
8RVcSU9rwq8,trunk,1.0,0.5546014308929443,human body,/m/031vtq,/m/02p0tk3,trunk,trunk,OTHER,,,,,human body,OTHER,human body,human body,OTHER
8RVcSU9rwq8,trunk,3.0,0.5514413714408875,human body,/m/031vtq,/m/02p0tk3,trunk,trunk,OTHER,,,,,human body,OTHER,human body,human body,OTHER
8RVcSU9rwq8,trunk,6.0,0.5423936247825623,human body,/m/031vtq,/m/02p0tk3,trunk,trunk,OTHER,,,,,human body,OTHER,human body,human body,OTHER
8RVcSU9rwq8,smile,1.0,0.6374713778495789,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
8RVcSU9rwq8,smile,2.0,0.7110245823860168,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
8RVcSU9rwq8,smile,3.0,0.6515575051307678,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
8RVcSU9rwq8,smile,4.0,0.656444251537323,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
8RVcSU9rwq8,smile,5.0,0.6393561959266663,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
8RVcSU9rwq8,brown hair,6.0,0.6207664012908936,hair,/m/02ksmb,/m/03q69,brown hair,brown hair,OTHER,,,,,hair,OTHER,hair,hair,OTHER
8RVcSU9rwq8,professional,6.0,0.5762292742729187,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
