storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
I0S6EmTNDxE,mode of transport,0.0,0.87509685754776,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,1.0,0.8748869299888611,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,wing,0.0,0.5820378065109253,OTHER,/m/083s2,,wing,wing,OTHER,,,,"ORGANIZATION, PERSON, LOCATION",OTHER,OTHER,EVENT,OTHER,EVENT
I0S6EmTNDxE,wing,1.0,0.6166545748710632,OTHER,/m/083s2,,wing,wing,OTHER,,,,"ORGANIZATION, PERSON, LOCATION",OTHER,OTHER,EVENT,OTHER,EVENT
I0S6EmTNDxE,atmosphere of earth,0.0,0.8154672384262085,geographical feature,/m/01ctry,/m/043rvww,atmosphere of earth,atmosphere of earth,OTHER,,,,,LOCATION,geographical feature,geographical feature,geographical feature,LOCATION
I0S6EmTNDxE,lockheed ac 130,0.0,0.7818269729614258,airplane,/m/0142m,/m/0cmf2,lockheed ac 130,lockheed ac 130,OTHER,,,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,narrow body aircraft,0.0,0.6911829113960266,airplane,/m/0dp7vs,/m/0cmf2,narrow body aircraft,narrow body aircraft,OTHER,,,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,narrow body aircraft,1.0,0.8004832863807678,airplane,/m/0dp7vs,/m/0cmf2,narrow body aircraft,narrow body aircraft,OTHER,,,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,airplane,0.0,0.9451985359191896,aircraft,/m/0cmf2,/m/0k5j,airplane,airplane,OTHER,,,,,aircraft,aircraft,aircraft,aircraft,OTHER
I0S6EmTNDxE,airplane,1.0,0.9591749906539916,aircraft,/m/0cmf2,/m/0k5j,airplane,airplane,OTHER,,,,,aircraft,aircraft,aircraft,aircraft,OTHER
I0S6EmTNDxE,takeoff,0.0,0.4587884545326233,event,/m/015z_b,/m/081pkj,takeoff,takeoff,OTHER,,http://dbpedia.org/ontology/MilitaryConflict,,EVENT,event,event,EVENT,event,EVENT
I0S6EmTNDxE,takeoff,1.0,0.5666682124137878,event,/m/015z_b,/m/081pkj,takeoff,takeoff,OTHER,,http://dbpedia.org/ontology/MilitaryConflict,,EVENT,event,event,EVENT,event,EVENT
I0S6EmTNDxE,aircraft,0.0,0.8637923598289491,vehicle,/m/0k5j,/m/07yv9,aircraft,aircraft,OTHER,,http://dbpedia.org/ontology/Software,,,vehicle,vehicle,vehicle,vehicle,OTHER
I0S6EmTNDxE,aircraft,1.0,0.9401241540908812,vehicle,/m/0k5j,/m/07yv9,aircraft,aircraft,OTHER,,http://dbpedia.org/ontology/Software,,,vehicle,vehicle,vehicle,vehicle,OTHER
I0S6EmTNDxE,military transport aircraft,1.0,0.5869983434677124,"airplane, aircraft",/m/03hfwtf,"/m/0cmf2, /m/0k5j",military transport aircraft,military transport aircraft,OTHER,,,,,"airplane, aircraft","airplane, aircraft","airplane, aircraft","airplane, aircraft",OTHER
I0S6EmTNDxE,jet aircraft,1.0,0.41548806428909296,airplane,/m/015y8h,/m/0cmf2,jet aircraft,jet aircraft,OTHER,,http://dbpedia.org/ontology/Aircraft,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,air travel,0.0,0.7105768918991089,OTHER,/m/025t3bg,,air travel,air travel,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,air travel,1.0,0.8469743728637695,OTHER,/m/025t3bg,,air travel,air travel,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,aviation,0.0,0.8814569115638733,person,/m/0fzyg,/m/01g317,aviation,aviation,OTHER,,http://dbpedia.org/ontology/Saint,,ORGANIZATION,person,person,person,person,OTHER
I0S6EmTNDxE,aviation,1.0,0.8301818370819092,person,/m/0fzyg,/m/01g317,aviation,aviation,OTHER,,http://dbpedia.org/ontology/Saint,,ORGANIZATION,person,person,person,person,OTHER
I0S6EmTNDxE,landing,0.0,0.6234109997749329,OTHER,/m/01hh79,,land,land,OTHER,,,,,LOCATION,OTHER,EVENT,OTHER,LOCATION
I0S6EmTNDxE,landing,1.0,0.5808558464050293,OTHER,/m/01hh79,,land,land,OTHER,,,,,LOCATION,OTHER,EVENT,OTHER,LOCATION
I0S6EmTNDxE,monochrome,0.0,0.7474289536476135,style,/m/01mwkf,/m/012yh1,monochrome,monochrome,OTHER,,,,,style,style,style,style,OTHER
I0S6EmTNDxE,monochrome,1.0,0.6692476272583008,style,/m/01mwkf,/m/012yh1,monochrome,monochrome,OTHER,,,,,style,style,style,style,OTHER
I0S6EmTNDxE,wide body aircraft,0.0,0.4559349119663239,airplane,/m/018rqw,/m/0cmf2,wide body aircraft,wide body aircraft,OTHER,,,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,wide body aircraft,1.0,0.5364473462104797,airplane,/m/018rqw,/m/0cmf2,wide body aircraft,wide body aircraft,OTHER,,,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,monochrome photography,0.0,0.7988452911376953,photography,/m/03d49p1,/m/05wkw,monochrome photography,monochrome photography,OTHER,,http://dbpedia.org/ontology/Agent,,,photography,photography,photography,photography,OTHER
I0S6EmTNDxE,monochrome photography,1.0,0.5797001123428345,photography,/m/03d49p1,/m/05wkw,monochrome photography,monochrome photography,OTHER,,http://dbpedia.org/ontology/Agent,,,photography,photography,photography,photography,OTHER
I0S6EmTNDxE,bomber,0.0,0.7618394494056702,airplane,/m/015_d,/m/0cmf2,bomber,bomber,OTHER,,http://dbpedia.org/ontology/Aircraft,,PERSON,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,bomber,1.0,0.7828184962272644,airplane,/m/015_d,/m/0cmf2,bomber,bomber,OTHER,,http://dbpedia.org/ontology/Aircraft,,PERSON,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,military aircraft,0.0,0.7012640833854675,aircraft,/m/0f5lx,/m/0k5j,military aircraft,military aircraft,OTHER,,,,,aircraft,aircraft,aircraft,aircraft,OTHER
I0S6EmTNDxE,military aircraft,1.0,0.7751501202583313,aircraft,/m/0f5lx,/m/0k5j,military aircraft,military aircraft,OTHER,,,,,aircraft,aircraft,aircraft,aircraft,OTHER
I0S6EmTNDxE,black and white,0.0,0.9296258091926576,style,/m/01g6gs,/m/012yh1,black and white,black and white,OTHER,,,,,style,style,style,style,OTHER
I0S6EmTNDxE,black and white,1.0,0.8775386214256287,style,/m/01g6gs,/m/012yh1,black and white,black and white,OTHER,,,,,style,style,style,style,OTHER
I0S6EmTNDxE,boeing b 52 stratofortress,0.0,0.4251955449581146,bomber,/m/01c46,/m/015_d,boeing b 52 stratofortress,boeing b 52 stratofortress,OTHER,,,,,bomber,bomber,bomber,bomber,OTHER
I0S6EmTNDxE,boeing b 52 stratofortress,1.0,0.5158177614212036,bomber,/m/01c46,/m/015_d,boeing b 52 stratofortress,boeing b 52 stratofortress,OTHER,,,,,bomber,bomber,bomber,bomber,OTHER
I0S6EmTNDxE,cargo aircraft,1.0,0.5610315203666687,airplane,/m/077hhl,/m/0cmf2,cargo aircraft,cargo aircraft,OTHER,,http://dbpedia.org/ontology/Aircraft,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,phenomenon,0.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,sky,0.0,0.8247795104980469,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Organisation, http://dbpedia.org/ontology/Album",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
I0S6EmTNDxE,airliner,0.0,0.8219646215438843,airplane,/m/0dhz0,/m/0cmf2,airliner,airliner,OTHER,,http://dbpedia.org/ontology/Aircraft,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,airliner,1.0,0.8810370564460754,airplane,/m/0dhz0,/m/0cmf2,airliner,airliner,OTHER,,http://dbpedia.org/ontology/Aircraft,,,airplane,airplane,airplane,airplane,OTHER
I0S6EmTNDxE,atmosphere,0.0,0.8005935549736023,OTHER,/m/01ctsf,,atmosphere,atmosphere,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,LOCATION,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,propeller,0.0,0.6537193059921265,OTHER,/m/02l6bg,,propeller,propeller,PERSON,,http://dbpedia.org/ontology/Person,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,propeller,1.0,0.8348734378814697,OTHER,/m/02l6bg,,propeller,propeller,PERSON,,http://dbpedia.org/ontology/Person,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,aerospace engineering,1.0,0.7424932718276978,person,/m/0w7s,/m/01g317,aerospace engineering,aerospace engineering,OTHER,,,,,person,person,person,person,OTHER
I0S6EmTNDxE,aircraft engine,0.0,0.4695550203323364,OTHER,/m/014yck,,aircraft engine,aircraft engine,OTHER,,http://dbpedia.org/ontology/MilitaryUnit,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,aircraft engine,1.0,0.872323751449585,OTHER,/m/014yck,,aircraft engine,aircraft engine,OTHER,,http://dbpedia.org/ontology/MilitaryUnit,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,airline,0.0,0.8621436357498169,service,/m/0vg8,/m/018tkd,airline,airline,OTHER,,http://dbpedia.org/ontology/Company,,,service,service,service,service,OTHER
I0S6EmTNDxE,airline,1.0,0.9518110156059264,service,/m/0vg8,/m/018tkd,airline,airline,OTHER,,http://dbpedia.org/ontology/Company,,,service,service,service,service,OTHER
I0S6EmTNDxE,flight,0.0,0.5852536559104919,OTHER,/m/01515d,,flight,flight,OTHER,,http://dbpedia.org/ontology/Election,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,flight,1.0,0.42167699337005615,OTHER,/m/01515d,,flight,flight,OTHER,,http://dbpedia.org/ontology/Election,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,3.0,0.875254213809967,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,4.0,0.8752561211585999,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,6.0,0.8750577569007874,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,9.0,0.8752557039260864,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
I0S6EmTNDxE,mode of transport,10.0,0.8750888109207153,OTHER,/m/079bkr,,mode of transport,mode of transport,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
