storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
KFniAwX1-Hs,musical theatre,26.0,0.5351477861404419,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,27.0,0.6302807927131653,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,28.0,0.5837267637252808,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,29.0,0.6631133556365967,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,30.0,0.5065700411796571,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,32.0,0.4512397646903992,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,musical theatre,33.0,0.4014979302883148,theatre,/m/0557q,/m/03qsdpk,musical theatre,musical theatre,OTHER,,,,,LOCATION,theatre,theatre,theatre,LOCATION
KFniAwX1-Hs,wedding,29.0,0.7501668930053711,ceremony,/m/081hv,/m/016c4t,wedding,wedding,OTHER,,http://dbpedia.org/ontology/Award,,"EVENT, ORGANIZATION",ceremony,ceremony,EVENT,ceremony,EVENT
KFniAwX1-Hs,wedding,33.0,0.4208914935588837,ceremony,/m/081hv,/m/016c4t,wedding,wedding,OTHER,,http://dbpedia.org/ontology/Award,,"EVENT, ORGANIZATION",ceremony,ceremony,EVENT,ceremony,EVENT
KFniAwX1-Hs,quinceañera,29.0,0.5131032466888428,event,/m/02_5v2,/m/081pkj,quinceañera,quinceañera,OTHER,,http://dbpedia.org/ontology/Holiday,,,event,event,event,event,OTHER
KFniAwX1-Hs,nightclub,26.0,0.686995267868042,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
KFniAwX1-Hs,nightclub,27.0,0.736869215965271,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
KFniAwX1-Hs,nightclub,28.0,0.7724454998970032,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
KFniAwX1-Hs,nightclub,29.0,0.7042003273963928,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
KFniAwX1-Hs,nightclub,30.0,0.711094319820404,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
KFniAwX1-Hs,nightclub,31.0,0.4559639990329742,location,/m/01sg9l,/m/078x4m,nightclub,nightclub,OTHER,,http://dbpedia.org/ontology/Building,,,LOCATION,location,location,location,LOCATION
