storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
UyQkEAYm0ik,computer wallpaper,45.0,0.7057653665542603,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
UyQkEAYm0ik,computer wallpaper,46.0,0.6208177804946899,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
UyQkEAYm0ik,computer wallpaper,47.0,0.6377879977226257,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
UyQkEAYm0ik,computer wallpaper,48.0,0.6216371059417725,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
UyQkEAYm0ik,energy,45.0,0.5572493672370911,OTHER,/m/02mm_,,energy,energy,OTHER,,http://dbpedia.org/ontology/Building,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,energy,46.0,0.58686763048172,OTHER,/m/02mm_,,energy,energy,OTHER,,http://dbpedia.org/ontology/Building,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,energy,47.0,0.4973067343235016,OTHER,/m/02mm_,,energy,energy,OTHER,,http://dbpedia.org/ontology/Building,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,energy,48.0,0.4542021453380585,OTHER,/m/02mm_,,energy,energy,OTHER,,http://dbpedia.org/ontology/Building,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,organism,46.0,0.7390169501304626,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,organism,47.0,0.711114764213562,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,organism,48.0,0.7029812335968018,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,meteorological phenomenon,45.0,0.5147756338119507,OTHER,/g/11k2xz7mr,,meteorological phenomenon,meteorological phenomenon,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,great white shark,46.0,0.4442877173423767,shark,/m/0by7c,/m/0by6g,great white shark,great white shark,OTHER,,"http://dbpedia.org/ontology/Species, http://dbpedia.org/ontology/Eukaryote, http://dbpedia.org/ontology/Animal, http://dbpedia.org/ontology/Fish",,,shark,shark,shark,shark,OTHER
UyQkEAYm0ik,great white shark,48.0,0.412288099527359,shark,/m/0by7c,/m/0by6g,great white shark,great white shark,OTHER,,"http://dbpedia.org/ontology/Species, http://dbpedia.org/ontology/Eukaryote, http://dbpedia.org/ontology/Animal, http://dbpedia.org/ontology/Fish",,,shark,shark,shark,shark,OTHER
UyQkEAYm0ik,whales dolphins and porpoises,47.0,0.4220735132694245,mammal,/m/024pk,/m/04rky,whale dolphin and porpoise,whale dolphin and porpoise,OTHER,,,,,mammal,mammal,mammal,mammal,OTHER
UyQkEAYm0ik,whales dolphins and porpoises,48.0,0.453790158033371,mammal,/m/024pk,/m/04rky,whale dolphin and porpoise,whale dolphin and porpoise,OTHER,,,,,mammal,mammal,mammal,mammal,OTHER
UyQkEAYm0ik,wind,45.0,0.649886965751648,OTHER,/m/03m9d0z,,wind,wind,OTHER,,http://dbpedia.org/ontology/Album,,,OTHER,OTHER,OTHER,OTHER,OTHER
UyQkEAYm0ik,earth,45.0,0.5401237010955809,planet,/m/02j71,/m/05qc_,earth,earth,LOCATION,,"http://dbpedia.org/ontology/CelestialBody, http://dbpedia.org/ontology/Planet, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Location",,LOCATION,LOCATION,planet,planet,planet,LOCATION
