storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
b-509juoP58,digital compositing,2.0,0.4188211560249329,person,/m/02g49,/m/01g317,digital compositing,digital compositing,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
b-509juoP58,digital compositing,3.0,0.4041491448879242,person,/m/02g49,/m/01g317,digital compositing,digital compositing,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
b-509juoP58,digital compositing,4.0,0.4377569258213043,person,/m/02g49,/m/01g317,digital compositing,digital compositing,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
b-509juoP58,digital compositing,5.0,0.4455536901950836,person,/m/02g49,/m/01g317,digital compositing,digital compositing,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
b-509juoP58,night,5.0,0.4017458558082581,OTHER,/m/01d74z,,night,night,OTHER,,http://dbpedia.org/ontology/Country,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,pedestrian,5.0,0.4806775748729706,person,/m/017r8p,/m/01g317,pedestrian,pedestrian,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
b-509juoP58,phenomenon,0.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,phenomenon,1.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,phenomenon,2.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,phenomenon,4.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,phenomenon,5.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,world,0.0,0.4140028953552246,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,world,2.0,0.4228546321392059,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,world,3.0,0.410126268863678,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,world,4.0,0.43310973048210144,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,world,5.0,0.4607700407505035,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,explosion,0.0,0.5453791618347168,disaster,/m/014zdl,/m/028hh,explosion,explosion,OTHER,,http://dbpedia.org/ontology/Disease,,EVENT,disaster,disaster,EVENT,disaster,EVENT
b-509juoP58,explosion,1.0,0.6714311838150024,disaster,/m/014zdl,/m/028hh,explosion,explosion,OTHER,,http://dbpedia.org/ontology/Disease,,EVENT,disaster,disaster,EVENT,disaster,EVENT
b-509juoP58,explosion,2.0,0.7283530831336975,disaster,/m/014zdl,/m/028hh,explosion,explosion,OTHER,,http://dbpedia.org/ontology/Disease,,EVENT,disaster,disaster,EVENT,disaster,EVENT
b-509juoP58,explosion,3.0,0.4606707394123077,disaster,/m/014zdl,/m/028hh,explosion,explosion,OTHER,,http://dbpedia.org/ontology/Disease,,EVENT,disaster,disaster,EVENT,disaster,EVENT
b-509juoP58,photo caption,0.0,0.4062926173210144,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
b-509juoP58,photo caption,4.0,0.4565104842185974,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
b-509juoP58,photo caption,5.0,0.4418148398399353,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
b-509juoP58,smoke,1.0,0.5337299108505249,OTHER,/m/06q40,,smoke,smoke,OTHER,,http://dbpedia.org/ontology/Book,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,smoke,2.0,0.5413575172424316,OTHER,/m/06q40,,smoke,smoke,OTHER,,http://dbpedia.org/ontology/Book,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,advertising,0.0,0.5123469233512878,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,advertising,1.0,0.4920074939727783,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,advertising,2.0,0.6253281235694885,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,advertising,3.0,0.612402617931366,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,advertising,4.0,0.4613454341888428,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,advertising,5.0,0.6215492486953735,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,crowd,4.0,0.5460702180862427,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
b-509juoP58,crowd,5.0,0.5064409375190735,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
b-509juoP58,fire,0.0,0.5722551345825195,OTHER,/m/02_41,,fire,fire,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,fire,1.0,0.7216936945915222,OTHER,/m/02_41,,fire,fire,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,fire,2.0,0.6941108703613281,OTHER,/m/02_41,,fire,fire,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,fire,3.0,0.5218583345413208,OTHER,/m/02_41,,fire,fire,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,fire,5.0,0.4343819320201874,OTHER,/m/02_41,,fire,fire,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,riot,1.0,0.43944188952445984,event,/m/02p0zyj,/m/081pkj,riot,riot,OTHER,,,,,event,event,EVENT,event,EVENT
b-509juoP58,riot,2.0,0.6344319581985474,event,/m/02p0zyj,/m/081pkj,riot,riot,OTHER,,,,,event,event,EVENT,event,EVENT
b-509juoP58,riot,4.0,0.7038606405258179,event,/m/02p0zyj,/m/081pkj,riot,riot,OTHER,,,,,event,event,EVENT,event,EVENT
b-509juoP58,riot,5.0,0.5614981055259705,event,/m/02p0zyj,/m/081pkj,riot,riot,OTHER,,,,,event,event,EVENT,event,EVENT
b-509juoP58,event,4.0,0.5244027376174927,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,event,5.0,0.412146121263504,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
b-509juoP58,midnight,4.0,0.4727176129817962,OTHER,/m/01kv7h,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,midnight,5.0,0.4539878070354462,OTHER,/m/01kv7h,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,0.0,0.6985242366790771,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,1.0,0.6516405940055847,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,2.0,0.6582635641098022,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,3.0,0.7065788507461548,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,4.0,0.6630067825317383,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,text,5.0,0.6886126399040222,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,fast food restaurant,80.0,0.4320844411849976,restaurant,/m/03bwyyr,/m/06l8d,fast food restaurant,fast food restaurant,OTHER,,,,,restaurant,restaurant,restaurant,restaurant,OTHER
b-509juoP58,city,83.0,0.8168436288833618,geographical feature,/m/01n32,/m/043rvww,city,city,OTHER,,http://dbpedia.org/ontology/Settlement,,"LOCATION, ORGANIZATION",LOCATION,geographical feature,geographical feature,geographical feature,LOCATION
b-509juoP58,company,80.0,0.4033831059932709,organization,/m/03bxgrp,/m/0qb7t,company,company,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"ORGANIZATION, PERSON",organization,organization,organization,ORGANIZATION,ORGANIZATION
b-509juoP58,daylighting,80.0,0.5405841469764711,window,/m/0k2n5,/m/0d4v4,daylighting,daylighting,OTHER,,http://dbpedia.org/ontology/Company,,,LOCATION,window,window,window,LOCATION
b-509juoP58,boeing 737,82.0,0.4275090992450714,"aircraft, airplane",/m/0137k8,"/m/0k5j, /m/0cmf2",boeing 737,boeing 737,OTHER,,"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact, http://dbpedia.org/ontology/MeanOfTransportation, http://dbpedia.org/ontology/Aircraft",,,"aircraft, airplane","aircraft, airplane","aircraft, airplane","aircraft, airplane",OTHER
b-509juoP58,daytime,83.0,0.7566004395484924,OTHER,/m/02q7ylj,,daytime,daytime,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
b-509juoP58,banner,80.0,0.4008195400238037,advertising,/m/0m9cj,/m/011s0,banner,banner,OTHER,,http://dbpedia.org/ontology/Album,,,advertising,advertising,advertising,advertising,OTHER
b-509juoP58,metropolitan area,83.0,0.8430885076522827,city,/m/0j_s4,/m/01n32,metropolitan area,metropolitan area,OTHER,,http://dbpedia.org/ontology/Settlement,,,LOCATION,city,city,city,LOCATION
b-509juoP58,road,83.0,0.4160932302474976,OTHER,/m/06gfj,,road,road,OTHER,,http://dbpedia.org/ontology/Road,,,LOCATION,OTHER,OTHER,OTHER,LOCATION
b-509juoP58,boeing,81.0,0.48923513293266296,aircraft,/m/0178g,/m/0k5j,boeing,boeing,"PERSON, ORGANIZATION",,"http://dbpedia.org/ontology/Agent, http://dbpedia.org/ontology/Company, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent, http://dbpedia.org/ontology/Organisation",,,aircraft,aircraft,aircraft,aircraft,OTHER
