storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
hFMAy4euoiY,nose,45.0,0.8677956461906433,OTHER,/m/0k0pj,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
hFMAy4euoiY,nose,46.0,0.9541252851486206,OTHER,/m/0k0pj,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
hFMAy4euoiY,nose,47.0,0.9050671458244324,OTHER,/m/0k0pj,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
hFMAy4euoiY,nose,48.0,0.8790703415870667,OTHER,/m/0k0pj,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
hFMAy4euoiY,nose,49.0,0.8981395363807678,OTHER,/m/0k0pj,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
hFMAy4euoiY,cap,43.0,0.4679338335990906,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,44.0,0.5644317865371704,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,45.0,0.4515725672245026,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,46.0,0.7708924412727356,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,47.0,0.8843382596969604,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,48.0,0.8426042199134827,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,cap,49.0,0.5314661264419556,clothing,/m/02d46y,/m/09j2d,cap,cap,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,facial hair,44.0,0.7895351052284241,hair,/m/0ds5b,/m/03q69,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,,hair,OTHER,hair,hair,OTHER
hFMAy4euoiY,facial hair,45.0,0.7511591911315918,hair,/m/0ds5b,/m/03q69,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,,hair,OTHER,hair,hair,OTHER
hFMAy4euoiY,facial hair,46.0,0.8693156838417053,hair,/m/0ds5b,/m/03q69,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,,hair,OTHER,hair,hair,OTHER
hFMAy4euoiY,facial hair,49.0,0.4837768375873566,hair,/m/0ds5b,/m/03q69,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,,hair,OTHER,hair,hair,OTHER
hFMAy4euoiY,hat,46.0,0.5011138916015625,clothing,/m/02dl1y,/m/09j2d,hat,hat,PERSON,,http://dbpedia.org/ontology/Person,,,clothing,clothing,clothing,clothing,OTHER
hFMAy4euoiY,hat,47.0,0.4812842011451721,clothing,/m/02dl1y,/m/09j2d,hat,hat,PERSON,,http://dbpedia.org/ontology/Person,,,clothing,clothing,clothing,clothing,OTHER
