storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
hUj8_erWh1g,competition event,32.0,0.5481824278831482,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,spring break,34.0,0.5644701719284058,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
hUj8_erWh1g,event,32.0,0.7637704610824585,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,event,33.0,0.4945064783096314,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,event,34.0,0.5540521740913391,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,event,35.0,0.5670623779296875,OTHER,/m/081pkj,,event,event,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,social group,34.0,0.916603684425354,OTHER,/m/01b4q9,,social group,social group,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,parade,32.0,0.4715948402881622,festival,/m/063r3,/m/0hr5k,parade,parade,OTHER,,http://dbpedia.org/ontology/Holiday,,ORGANIZATION,festival,festival,EVENT,festival,EVENT
hUj8_erWh1g,student,33.0,0.4668770134449005,person,/m/014cnc,/m/01g317,student,student,OTHER,,,,PERSON,person,person,person,person,OTHER
hUj8_erWh1g,student,34.0,0.4378205239772797,person,/m/014cnc,/m/01g317,student,student,OTHER,,,,PERSON,person,person,person,person,OTHER
hUj8_erWh1g,crowd,32.0,0.9829181432724,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,crowd,33.0,0.9007452130317688,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,crowd,34.0,0.93264502286911,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,crowd,35.0,0.8719604015350342,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,people,32.0,0.9693752527236938,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
hUj8_erWh1g,people,33.0,0.9730353355407716,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
hUj8_erWh1g,people,34.0,0.9658955931663512,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
hUj8_erWh1g,people,35.0,0.971166968345642,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
hUj8_erWh1g,street,32.0,0.7173759937286377,road,/m/01c8br,/m/06gfj,street,street,OTHER,,http://dbpedia.org/ontology/Road,,ORGANIZATION,LOCATION,road,road,road,LOCATION
hUj8_erWh1g,facial expression,33.0,0.9371699690818788,person,/m/01k74n,/m/01g317,facial expression,facial expression,OTHER,,,,,person,person,person,person,OTHER
hUj8_erWh1g,facial expression,34.0,0.9403938055038452,person,/m/01k74n,/m/01g317,facial expression,facial expression,OTHER,,,,,person,person,person,person,OTHER
hUj8_erWh1g,audience,32.0,0.6432936787605286,people,/m/033lpr,/m/09g5pq,audience,audience,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,audience,33.0,0.6003164052963257,people,/m/033lpr,/m/09g5pq,audience,audience,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,audience,34.0,0.6711916327476501,people,/m/033lpr,/m/09g5pq,audience,audience,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,audience,35.0,0.4444648027420044,people,/m/033lpr,/m/09g5pq,audience,audience,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
hUj8_erWh1g,city,32.0,0.5546132326126099,geographical feature,/m/01n32,/m/043rvww,city,city,OTHER,,http://dbpedia.org/ontology/Settlement,,"LOCATION, ORGANIZATION",LOCATION,geographical feature,geographical feature,geographical feature,LOCATION
hUj8_erWh1g,religion,35.0,0.5293855667114258,OTHER,/m/06bvp,,religion,religion,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,protest,32.0,0.5681731700897217,event,/m/01nd_n,/m/081pkj,protest,protest,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,event,event,EVENT,event,EVENT
hUj8_erWh1g,community,32.0,0.8414618372917175,organization,/m/01qls,/m/0qb7t,community,community,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"ORGANIZATION, LOCATION",organization,organization,organization,ORGANIZATION,ORGANIZATION
hUj8_erWh1g,community,33.0,0.8093838691711426,organization,/m/01qls,/m/0qb7t,community,community,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"ORGANIZATION, LOCATION",organization,organization,organization,ORGANIZATION,ORGANIZATION
hUj8_erWh1g,community,34.0,0.8037097454071045,organization,/m/01qls,/m/0qb7t,community,community,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"ORGANIZATION, LOCATION",organization,organization,organization,ORGANIZATION,ORGANIZATION
hUj8_erWh1g,community,35.0,0.8216283917427063,organization,/m/01qls,/m/0qb7t,community,community,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"ORGANIZATION, LOCATION",organization,organization,organization,ORGANIZATION,ORGANIZATION
hUj8_erWh1g,world,32.0,0.4371482133865357,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,world,33.0,0.404967725276947,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,international student,33.0,0.4880584180355072,person,/m/01mytk,/m/01g317,international student,international student,OTHER,,,,,person,person,person,person,OTHER
hUj8_erWh1g,public event,32.0,0.6730740070343018,event,/g/116c3n66l,/m/081pkj,public event,public event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,public event,34.0,0.6052646636962891,event,/g/116c3n66l,/m/081pkj,public event,public event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,happiness,34.0,0.5918477177619934,person,/m/016pp7,/m/01g317,happiness,happiness,LOCATION,,http://dbpedia.org/ontology/PopulatedPlace,,,person,person,person,person,OTHER
hUj8_erWh1g,sports,32.0,0.4588024616241455,OTHER,/m/06ntj,,sport,sport,OTHER,,,,PERSON,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,smile,33.0,0.7085379958152771,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
hUj8_erWh1g,smile,34.0,0.7594923377037048,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
hUj8_erWh1g,smile,35.0,0.6494158506393433,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
hUj8_erWh1g,fête,32.0,0.4435601532459259,festival,/m/07bb2_,/m/0hr5k,fête,fête,EVENT,,http://dbpedia.org/ontology/SocietalEvent,,,festival,festival,EVENT,festival,EVENT
hUj8_erWh1g,demonstration,32.0,0.6185587644577026,education,/m/026yq0z,/m/02jfc,demonstration,demonstration,OTHER,,,,,education,education,education,education,OTHER
hUj8_erWh1g,tourism,32.0,0.4899213612079621,OTHER,/m/07bxq,,tourism,tourism,OTHER,,http://dbpedia.org/ontology/TelevisionShow,,,OTHER,OTHER,EVENT,OTHER,EVENT
hUj8_erWh1g,pedestrian,32.0,0.6026302576065063,person,/m/017r8p,/m/01g317,pedestrian,pedestrian,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
hUj8_erWh1g,product,32.0,0.6099262237548828,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,product,33.0,0.7567393183708191,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,product,34.0,0.6641608476638794,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,product,35.0,0.7037586569786072,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,cheering,33.0,0.4565619230270386,person,/m/053hz1,/m/01g317,cheer,cheer,OTHER,,,,,person,person,person,person,OTHER
hUj8_erWh1g,cheering,34.0,0.5826670527458191,person,/m/053hz1,/m/01g317,cheer,cheer,OTHER,,,,,person,person,person,person,OTHER
hUj8_erWh1g,day,32.0,0.8905072212219238,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,day,33.0,0.8904891610145569,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,day,34.0,0.8892492651939392,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,day,35.0,0.8891608715057373,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,fun,32.0,0.5773826241493225,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,fun,33.0,0.7301000952720642,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,fun,34.0,0.8386508226394653,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,fun,35.0,0.709116518497467,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,team,32.0,0.5034428238868713,organization,/m/011l78,/m/0qb7t,team,team,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,organization,organization,organization,ORGANIZATION,ORGANIZATION
hUj8_erWh1g,socialite,34.0,0.6303303837776184,person,/m/03gkb0,/m/01g317,socialite,socialite,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
hUj8_erWh1g,socialite,35.0,0.4146801233291626,person,/m/03gkb0,/m/01g317,socialite,socialite,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
hUj8_erWh1g,festival,32.0,0.6398741602897644,event,/m/0hr5k,/m/081pkj,festival,festival,EVENT,,http://dbpedia.org/ontology/SportsEvent,,,event,event,EVENT,event,EVENT
hUj8_erWh1g,festival,33.0,0.6004888415336609,event,/m/0hr5k,/m/081pkj,festival,festival,EVENT,,http://dbpedia.org/ontology/SportsEvent,,,event,event,EVENT,event,EVENT
hUj8_erWh1g,festival,34.0,0.6122418045997621,event,/m/0hr5k,/m/081pkj,festival,festival,EVENT,,http://dbpedia.org/ontology/SportsEvent,,,event,event,EVENT,event,EVENT
hUj8_erWh1g,festival,35.0,0.5100470185279846,event,/m/0hr5k,/m/081pkj,festival,festival,EVENT,,http://dbpedia.org/ontology/SportsEvent,,,event,event,EVENT,event,EVENT
hUj8_erWh1g,recreation,32.0,0.7405387759208679,OTHER,/m/06bm2,,recreation,recreation,OTHER,,http://dbpedia.org/ontology/Sport,,,OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,style,33.0,0.4016473889350891,weak entity,/m/012yh1,/m/0pccj,style,style,OTHER,,,,,weak entity,weak entity,EVENT,weak entity,EVENT
hUj8_erWh1g,headgear,34.0,0.7768381834030151,clothing,/m/01443y,/m/09j2d,headgear,headgear,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hUj8_erWh1g,headgear,35.0,0.7300018072128296,clothing,/m/01443y,/m/09j2d,headgear,headgear,OTHER,,,,,clothing,clothing,clothing,clothing,OTHER
hUj8_erWh1g,abdomen,33.0,0.4545803964138031,trunk,/m/08y7p8,/m/031vtq,abdomen,abdomen,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,trunk,OTHER,trunk,trunk,OTHER
hUj8_erWh1g,abdomen,34.0,0.5013144016265869,trunk,/m/08y7p8,/m/031vtq,abdomen,abdomen,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,trunk,OTHER,trunk,trunk,OTHER
hUj8_erWh1g,competition event,53.0,0.6879122257232666,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,competition event,54.0,0.7150463461875916,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,competition event,55.0,0.7143821716308594,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,competition event,56.0,0.7552119493484497,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
hUj8_erWh1g,ball,55.0,0.4075363874435425,OTHER,/m/018xm,,ball,ball,OTHER,,,,"ORGANIZATION, PERSON, EVENT",OTHER,OTHER,OTHER,OTHER,OTHER
hUj8_erWh1g,basketball court,53.0,0.6941719055175781,"location, structure",/m/0329yh,"/m/078x4m, /m/0n68_",basketball court,basketball court,OTHER,,,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
hUj8_erWh1g,basketball court,54.0,0.5342289805412292,"location, structure",/m/0329yh,"/m/078x4m, /m/0n68_",basketball court,basketball court,OTHER,,,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
hUj8_erWh1g,basketball court,55.0,0.6602360010147095,"location, structure",/m/0329yh,"/m/078x4m, /m/0n68_",basketball court,basketball court,OTHER,,,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
hUj8_erWh1g,basketball court,56.0,0.44929203391075134,"location, structure",/m/0329yh,"/m/078x4m, /m/0n68_",basketball court,basketball court,OTHER,,,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
hUj8_erWh1g,ball over a net games,55.0,0.4867607653141022,sports,/m/0ch36lm,/m/06ntj,ball over a net game,ball over a net game,OTHER,,,,,sports,sports,EVENT,sports,EVENT
hUj8_erWh1g,structure,53.0,0.7890710234642029,OTHER,/m/0n68_,,structure,structure,OTHER,,http://dbpedia.org/ontology/MusicalWork,,ORGANIZATION,LOCATION,OTHER,OTHER,OTHER,LOCATION
hUj8_erWh1g,hobby,54.0,0.4960372745990753,art,/m/03glg,/m/0jjw,hobby,hobby,OTHER,,http://dbpedia.org/ontology/Sport,,,art,art,art,art,OTHER
hUj8_erWh1g,hobby,55.0,0.5180447697639465,art,/m/03glg,/m/0jjw,hobby,hobby,OTHER,,http://dbpedia.org/ontology/Sport,,,art,art,art,art,OTHER
hUj8_erWh1g,hobby,56.0,0.5679752230644226,art,/m/03glg,/m/0jjw,hobby,hobby,OTHER,,http://dbpedia.org/ontology/Sport,,,art,art,art,art,OTHER
