storageLink,label,time_offset,confidence,type,label_entity_id,type_id,WordNet Type Type,WordNet Type,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3,type_v4,type_v5
j_70OVLHHPc,midnight,0.0,0.523617684841156,none,/m/01kv7h,none,OTHER,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,none,none,none,none,OTHER
j_70OVLHHPc,mode of transport,1.0,0.8752251267433167,none,/m/079bkr,none,OTHER,,mode of transport,mode of transport,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,mode of transport,2.0,0.8750941157341003,none,/m/079bkr,none,OTHER,,mode of transport,mode of transport,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,mode of transport,3.0,0.8752555847167969,none,/m/079bkr,none,OTHER,,mode of transport,mode of transport,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,light fixture,0.0,0.4272547960281372,lighting,/m/08jpwt,/m/019sc6,OTHER,,light fixture,light fixture,OTHER,,http://dbpedia.org/ontology/Device,,lighting,lighting,lighting,lighting,OTHER
j_70OVLHHPc,event,1.0,0.4346835017204285,none,/m/081pkj,none,OTHER,,event,event,OTHER,,,,none,none,EVENT,none,EVENT
j_70OVLHHPc,sports car,3.0,0.5201197862625122,car,/m/012mq4,/m/0k4j,OTHER,,sport car,sport car,OTHER,,,,car,car,car,car,OTHER
j_70OVLHHPc,technology,0.0,0.6546806693077087,none,/m/07c1v,none,OTHER,,technology,technology,OTHER,,http://dbpedia.org/ontology/Book,,none,none,none,none,OTHER
j_70OVLHHPc,technology,1.0,0.5927541255950928,none,/m/07c1v,none,OTHER,,technology,technology,OTHER,,http://dbpedia.org/ontology/Book,,none,none,none,none,OTHER
j_70OVLHHPc,technology,2.0,0.8319355845451355,none,/m/07c1v,none,OTHER,,technology,technology,OTHER,,http://dbpedia.org/ontology/Book,,none,none,none,none,OTHER
j_70OVLHHPc,technology,3.0,0.8739608526229858,none,/m/07c1v,none,OTHER,,technology,technology,OTHER,,http://dbpedia.org/ontology/Book,,none,none,none,none,OTHER
j_70OVLHHPc,design,0.0,0.6670471429824829,none,/m/02cwm,none,OTHER,,design,design,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,none,none,none,none,OTHER
j_70OVLHHPc,design,2.0,0.7193746566772461,none,/m/02cwm,none,OTHER,,design,design,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,none,none,none,none,OTHER
j_70OVLHHPc,design,3.0,0.6958792805671692,none,/m/02cwm,none,OTHER,,design,design,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,none,none,none,none,OTHER
j_70OVLHHPc,city car,3.0,0.6104471683502197,car,/m/0369ss,/m/0k4j,OTHER,,city car,city car,OTHER,,http://dbpedia.org/ontology/Automobile,,car,car,car,car,OTHER
j_70OVLHHPc,symmetry,0.0,0.4058132767677307,none,/m/0f28m,none,OTHER,,symmetry,symmetry,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,auditorium,0.0,0.8211222290992737,building,/m/039l3v,/m/0cgh4,ORGANIZATION,,auditorium,auditorium,OTHER,,http://dbpedia.org/ontology/Building,,LOCATION,building,building,building,LOCATION
j_70OVLHHPc,auditorium,1.0,0.5738401412963867,building,/m/039l3v,/m/0cgh4,ORGANIZATION,,auditorium,auditorium,OTHER,,http://dbpedia.org/ontology/Building,,LOCATION,building,building,building,LOCATION
j_70OVLHHPc,executive car,3.0,0.4039763510227203,car,/m/0crtnw,/m/0k4j,OTHER,,executive car,executive car,OTHER,,,,car,car,car,car,OTHER
j_70OVLHHPc,luxury vehicle,3.0,0.6782698631286621,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
j_70OVLHHPc,electric vehicle,3.0,0.4059236347675324,vehicle,/m/01pmdg,/m/07yv9,OTHER,,electric vehicle,electric vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
j_70OVLHHPc,product design,2.0,0.6421117186546326,person,/m/03y18t,/m/01g317,OTHER,,product design,product design,OTHER,,http://dbpedia.org/ontology/Election,,person,EVENT,EVENT,person,EVENT
j_70OVLHHPc,product design,3.0,0.6694694757461548,person,/m/03y18t,/m/01g317,OTHER,,product design,product design,OTHER,,http://dbpedia.org/ontology/Election,,person,EVENT,EVENT,person,EVENT
j_70OVLHHPc,darkness,0.0,0.7258423566818237,none,/m/01kyr8,none,OTHER,LOCATION,darkness,darkness,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,darkness,1.0,0.4685600399971008,none,/m/01kyr8,none,OTHER,LOCATION,darkness,darkness,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,table,2.0,0.591702938079834,furniture,/m/04bcr3,/m/0c_jw,OTHER,ORGANIZATION,table,table,OTHER,,,,furniture,furniture,furniture,furniture,OTHER
j_70OVLHHPc,amenity,2.0,0.4312877357006073,none,/m/0f3yyn,none,OTHER,,amenity,amenity,PERSON,,http://dbpedia.org/ontology/Person,,none,none,none,none,OTHER
j_70OVLHHPc,ceiling,0.0,0.4468992948532105,none,/m/03gfsp,none,OTHER,,ceiling,ceiling,OTHER,,http://dbpedia.org/ontology/Bone,,none,none,none,none,OTHER
j_70OVLHHPc,function hall,0.0,0.4516460299491882,building,/m/08svdv,/m/0cgh4,ORGANIZATION,,function hall,function hall,OTHER,,http://dbpedia.org/ontology/Building,,LOCATION,building,building,building,LOCATION
j_70OVLHHPc,compact car,2.0,0.4906221926212311,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
j_70OVLHHPc,compact car,3.0,0.6181538105010986,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
j_70OVLHHPc,display device,0.0,0.5993302464485168,technology,/m/029zz6,/m/07c1v,OTHER,,display device,display device,OTHER,,http://dbpedia.org/ontology/Device,,technology,technology,technology,technology,OTHER
j_70OVLHHPc,display device,1.0,0.4706833362579346,technology,/m/029zz6,/m/07c1v,OTHER,,display device,display device,OTHER,,http://dbpedia.org/ontology/Device,,technology,technology,technology,technology,OTHER
j_70OVLHHPc,display device,2.0,0.5129831433296204,technology,/m/029zz6,/m/07c1v,OTHER,,display device,display device,OTHER,,http://dbpedia.org/ontology/Device,,technology,technology,technology,technology,OTHER
j_70OVLHHPc,electric car,3.0,0.470738023519516,car,/m/03nlf2w,/m/0k4j,OTHER,,electric car,electric car,OTHER,,http://dbpedia.org/ontology/Automobile,,car,car,car,car,OTHER
j_70OVLHHPc,stage,0.0,0.8392038941383362,location,/m/04_5hy,/m/078x4m,OTHER,LOCATION,stage,stage,OTHER,,,,LOCATION,location,location,location,LOCATION
j_70OVLHHPc,furniture,2.0,0.5159707069396973,none,/m/0c_jw,none,OTHER,,furniture,furniture,OTHER,,http://dbpedia.org/ontology/Country,,none,none,none,none,OTHER
j_70OVLHHPc,concept car,2.0,0.5025094151496887,car,/m/022ph9,/m/0k4j,OTHER,,concept car,concept car,OTHER,,http://dbpedia.org/ontology/Automobile,,car,car,car,car,OTHER
j_70OVLHHPc,concept car,3.0,0.8374758362770081,car,/m/022ph9,/m/0k4j,OTHER,,concept car,concept car,OTHER,,http://dbpedia.org/ontology/Automobile,,car,car,car,car,OTHER
j_70OVLHHPc,theatre,0.0,0.7812901139259338,building,/m/05npqn,/m/0cgh4,ORGANIZATION,LOCATION,theatre,theatre,OTHER,,,,LOCATION,building,building,building,LOCATION
j_70OVLHHPc,hybrid vehicle,3.0,0.4175918698310852,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
j_70OVLHHPc,fashion,1.0,0.7645019292831421,none,/m/032tl,none,OTHER,,fashion,fashion,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,space,0.0,0.6506747603416443,none,/m/06wqb,none,OTHER,LOCATION,space,space,OTHER,,http://dbpedia.org/ontology/Disease,,none,none,none,none,OTHER
j_70OVLHHPc,space,1.0,0.5775176882743835,none,/m/06wqb,none,OTHER,LOCATION,space,space,OTHER,,http://dbpedia.org/ontology/Disease,,none,none,none,none,OTHER
j_70OVLHHPc,space,2.0,0.5404207706451416,none,/m/06wqb,none,OTHER,LOCATION,space,space,OTHER,,http://dbpedia.org/ontology/Disease,,none,none,none,none,OTHER
