storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
mtLa9D9UWuA,healthcare science,22.0,0.7156368494033813,person,/m/0dczl,/m/01g317,healthcare science,healthcare science,OTHER,,,,,person,person,person,person,OTHER
mtLa9D9UWuA,medical research,22.0,0.5147685408592224,person,/m/06ywtl,/m/01g317,medical research,medical research,OTHER,,,,,person,person,person,person,OTHER
mtLa9D9UWuA,professional,22.0,0.8862068653106691,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
mtLa9D9UWuA,trunk,22.0,0.5483240485191345,human body,/m/031vtq,/m/02p0tk3,trunk,trunk,OTHER,,,,,human body,OTHER,human body,human body,OTHER
mtLa9D9UWuA,operating theater,22.0,0.4291084408760071,room,/m/0221lk,/m/06ht1,operating theater,operating theater,OTHER,,http://dbpedia.org/ontology/ArchitecturalStructure,,,LOCATION,room,room,room,LOCATION
mtLa9D9UWuA,knot,23.0,0.5575019121170044,OTHER,/m/04blr,,knot,knot,OTHER,,http://dbpedia.org/ontology/Software,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,knot,24.0,0.5265088081359863,OTHER,/m/04blr,,knot,knot,OTHER,,http://dbpedia.org/ontology/Software,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,knot,25.0,0.5574002861976624,OTHER,/m/04blr,,knot,knot,OTHER,,http://dbpedia.org/ontology/Software,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,jewellery,23.0,0.7933620810508728,OTHER,/m/0404d,,jewellery,jewellery,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,jewellery,24.0,0.8374158143997192,OTHER,/m/0404d,,jewellery,jewellery,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,jewellery,25.0,0.5273462533950806,OTHER,/m/0404d,,jewellery,jewellery,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
mtLa9D9UWuA,arm,22.0,0.6722434163093567,human body,/m/0dzf4,/m/02p0tk3,arm,arm,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
mtLa9D9UWuA,arm,23.0,0.6727952361106873,human body,/m/0dzf4,/m/02p0tk3,arm,arm,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
mtLa9D9UWuA,arm,25.0,0.6910716891288757,human body,/m/0dzf4,/m/02p0tk3,arm,arm,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
mtLa9D9UWuA,patient,22.0,0.9258878231048584,person,/m/028hfb,/m/01g317,patient,patient,OTHER,,,,PERSON,person,person,person,person,OTHER
mtLa9D9UWuA,registered nurse,22.0,0.4663405418395996,person,/m/0fd02,/m/01g317,registered nurse,registered nurse,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
mtLa9D9UWuA,dentistry,22.0,0.474346399307251,service,/m/0277g,/m/018tkd,dentistry,dentistry,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,service,service,service,service,OTHER
