storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
uNtkEHomjVM,art,7.0,0.5245351195335388,OTHER,/m/0jjw,,art,art,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,art,8.0,0.5214059948921204,OTHER,/m/0jjw,,art,art,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,art,9.0,0.4902214109897614,OTHER,/m/0jjw,,art,art,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,art,10.0,0.5209781527519226,OTHER,/m/0jjw,,art,art,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,sky,2.0,0.6138978004455566,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Organisation, http://dbpedia.org/ontology/Album",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
uNtkEHomjVM,membrane winged insect,9.0,0.4548227488994598,insect,/m/03mp1,/m/03vt0,membrane wing insect,membrane wing insect,OTHER,,,,,insect,insect,insect,insect,OTHER
uNtkEHomjVM,material,7.0,0.5820397734642029,OTHER,/m/01l0y0,,material,material,OTHER,,,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,material,10.0,0.5813092589378357,OTHER,/m/01l0y0,,material,material,OTHER,,,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,decor,4.0,0.4147769212722778,OTHER,/m/0h8nzzj,,decor,decor,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,decor,5.0,0.4396872520446777,OTHER,/m/0h8nzzj,,decor,decor,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,skeleton,10.0,0.5088446736335754,OTHER,/m/06w6h,,skeleton,skeleton,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,font,2.0,0.4531300663948059,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,font,7.0,0.5706918835639954,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,font,8.0,0.5595011711120605,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,font,9.0,0.5691424608230591,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,font,10.0,0.535904586315155,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,headpiece,3.0,0.4301720857620239,clothing,/m/02fbqn,/m/09j2d,headpiece,headpiece,OTHER,,"http://dbpedia.org/ontology/TopicalConcept, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Concept, http://dbpedia.org/ontology/MilitaryUnit, http://dbpedia.org/ontology/Fashion",,,clothing,clothing,clothing,clothing,OTHER
uNtkEHomjVM,headpiece,5.0,0.4029694199562073,clothing,/m/02fbqn,/m/09j2d,headpiece,headpiece,OTHER,,"http://dbpedia.org/ontology/TopicalConcept, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Concept, http://dbpedia.org/ontology/MilitaryUnit, http://dbpedia.org/ontology/Fashion",,,clothing,clothing,clothing,clothing,OTHER
uNtkEHomjVM,religion,4.0,0.6841250658035278,OTHER,/m/06bvp,,religion,religion,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,religion,5.0,0.6850850582122803,OTHER,/m/06bvp,,religion,religion,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,religion,6.0,0.6174414157867432,OTHER,/m/06bvp,,religion,religion,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,adaptation,7.0,0.40077000856399536,OTHER,/m/03r_vp,,adaptation,adaptation,OTHER,,http://dbpedia.org/ontology/Disease,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,adaptation,8.0,0.40077000856399536,OTHER,/m/03r_vp,,adaptation,adaptation,OTHER,,http://dbpedia.org/ontology/Disease,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,adaptation,9.0,0.40077000856399536,OTHER,/m/03r_vp,,adaptation,adaptation,OTHER,,http://dbpedia.org/ontology/Disease,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,adaptation,10.0,0.40077000856399536,OTHER,/m/03r_vp,,adaptation,adaptation,OTHER,,http://dbpedia.org/ontology/Disease,,,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,flora,2.0,0.7854759097099304,plant,/m/03bmqb,/m/05s2s,flora,flora,PERSON,,http://dbpedia.org/ontology/Person,,ORGANIZATION,plant,plant,plant,plant,OTHER
uNtkEHomjVM,flora,3.0,0.8565554618835449,plant,/m/03bmqb,/m/05s2s,flora,flora,PERSON,,http://dbpedia.org/ontology/Person,,ORGANIZATION,plant,plant,plant,plant,OTHER
uNtkEHomjVM,wheat,2.0,0.7254992127418518,food,/m/09696,/m/02wbm,wheat,wheat,OTHER,,"http://dbpedia.org/ontology/Eukaryote, http://dbpedia.org/ontology/Species, http://dbpedia.org/ontology/Plant",,,food,food,food,food,OTHER
uNtkEHomjVM,computer wallpaper,2.0,0.6182264089584351,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,3.0,0.5244905948638916,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,4.0,0.5955899953842163,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,5.0,0.5923808217048645,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,6.0,0.5353581309318542,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,7.0,0.4989271759986877,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,8.0,0.5328161716461182,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,9.0,0.5325762629508972,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,computer wallpaper,10.0,0.5102657675743103,software,/m/03w43x,/m/01mf0,computer wallpaper,computer wallpaper,OTHER,,,,,software,software,software,software,OTHER
uNtkEHomjVM,organism,3.0,0.6520422101020813,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,4.0,0.730712354183197,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,5.0,0.7412312030792236,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,6.0,0.7589140534400941,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,7.0,0.8208780288696289,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,8.0,0.8170737624168396,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,9.0,0.8228339552879333,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,organism,10.0,0.8178836703300476,OTHER,/m/05nnm,,organism,organism,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,plant stem,2.0,0.5943437814712524,plant,/m/01ttd6,/m/05s2s,plant stem,plant stem,OTHER,,,,,plant,plant,plant,plant,OTHER
uNtkEHomjVM,plant stem,3.0,0.541126549243927,plant,/m/01ttd6,/m/05s2s,plant stem,plant stem,OTHER,,,,,plant,plant,plant,plant,OTHER
uNtkEHomjVM,plant,2.0,0.7328872084617615,OTHER,/m/05s2s,,plant,plant,OTHER,,"http://dbpedia.org/ontology/Eukaryote, http://dbpedia.org/ontology/Species",,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,plant,3.0,0.6168925166130066,OTHER,/m/05s2s,,plant,plant,OTHER,,"http://dbpedia.org/ontology/Eukaryote, http://dbpedia.org/ontology/Species",,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,grass family,2.0,0.8673654794692993,plant,/m/0fkrk,/m/05s2s,grass family,grass family,OTHER,,,,,plant,plant,plant,plant,OTHER
uNtkEHomjVM,grass family,3.0,0.8295865058898926,plant,/m/0fkrk,/m/05s2s,grass family,grass family,OTHER,,,,,plant,plant,plant,plant,OTHER
uNtkEHomjVM,black and white,2.0,0.5320494174957275,style,/m/01g6gs,/m/012yh1,black and white,black and white,OTHER,,,,,style,style,style,style,OTHER
uNtkEHomjVM,food grain,2.0,0.5998026728630066,food,/m/0ch47tv,/m/02wbm,food grain,food grain,OTHER,,,,,food,food,food,food,OTHER
uNtkEHomjVM,organ,4.0,0.6744123697280884,human body,/m/013y0j,/m/02p0tk3,organ,organ,OTHER,,,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
uNtkEHomjVM,organ,5.0,0.6726511716842651,human body,/m/013y0j,/m/02p0tk3,organ,organ,OTHER,,,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
uNtkEHomjVM,organ,6.0,0.6910977363586426,human body,/m/013y0j,/m/02p0tk3,organ,organ,OTHER,,,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
uNtkEHomjVM,organ,7.0,0.6577721834182739,human body,/m/013y0j,/m/02p0tk3,organ,organ,OTHER,,,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
uNtkEHomjVM,organ,10.0,0.6724867224693298,human body,/m/013y0j,/m/02p0tk3,organ,organ,OTHER,,,,ORGANIZATION,human body,OTHER,human body,human body,OTHER
uNtkEHomjVM,grain,2.0,0.576255202293396,food,/m/016sl1,/m/02wbm,grain,grain,OTHER,,,,,food,food,food,food,OTHER
uNtkEHomjVM,display window,4.0,0.4607644379138946,building,/m/02phwj2,/m/0cgh4,display window,display window,OTHER,,http://dbpedia.org/ontology/Company,,,LOCATION,building,building,building,LOCATION
uNtkEHomjVM,display window,5.0,0.558404266834259,building,/m/02phwj2,/m/0cgh4,display window,display window,OTHER,,http://dbpedia.org/ontology/Company,,,LOCATION,building,building,building,LOCATION
uNtkEHomjVM,display window,6.0,0.5272406935691833,building,/m/02phwj2,/m/0cgh4,display window,display window,OTHER,,http://dbpedia.org/ontology/Company,,,LOCATION,building,building,building,LOCATION
uNtkEHomjVM,twig,3.0,0.4149045646190643,branch,/m/016nqt,/m/0b5gs,twig,twig,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,branch,branch,branch,branch,OTHER
uNtkEHomjVM,carving,6.0,0.4269348382949829,art,/m/0jwzhtg,/m/0jjw,carve,carve,OTHER,,http://dbpedia.org/ontology/Band,,,art,art,art,art,OTHER
uNtkEHomjVM,carnivoran,8.0,0.4075467586517334,mammal,/m/01lrl,/m/04rky,carnivoran,carnivoran,OTHER,,,,,mammal,mammal,mammal,mammal,OTHER
uNtkEHomjVM,stock photography,2.0,0.5228067636489868,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,3.0,0.4697170853614807,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,4.0,0.4773750305175781,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,5.0,0.4816824495792389,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,6.0,0.4610738754272461,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,7.0,0.4892271757125855,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,8.0,0.4949667453765869,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,9.0,0.5042726397514343,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,stock photography,10.0,0.4836928844451904,photography,/m/036jvk,/m/05wkw,stock photography,stock photography,OTHER,,http://dbpedia.org/ontology/Ship,,,photography,photography,photography,photography,OTHER
uNtkEHomjVM,crowd,4.0,0.7709388732910156,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
uNtkEHomjVM,crowd,5.0,0.7495682239532471,people,/m/03qtwd,/m/09g5pq,crowd,crowd,OTHER,,http://dbpedia.org/ontology/Band,,ORGANIZATION,people,PERSON,people,people,PERSON
uNtkEHomjVM,phenomenon,2.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,3.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,4.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,5.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,6.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,8.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,9.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,phenomenon,10.0,0.7547649145126343,OTHER,/m/0gjyk,,phenomenon,phenomenon,OTHER,,,,EVENT,OTHER,OTHER,OTHER,OTHER,OTHER
uNtkEHomjVM,lighting,2.0,0.7361592054367065,OTHER,/m/019sc6,,light,light,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
uNtkEHomjVM,lighting,5.0,0.7155801653862,OTHER,/m/019sc6,,light,light,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
uNtkEHomjVM,mecca,6.0,0.4042557179927826,city,/m/058wp,/m/01n32,mecca,mecca,LOCATION,,"http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Settlement, http://dbpedia.org/ontology/City, http://dbpedia.org/ontology/PopulatedPlace",,LOCATION,LOCATION,city,city,city,LOCATION
uNtkEHomjVM,fashion accessory,6.0,0.8134789466857909,OTHER,/m/0463sg,,fashion accessory,fashion accessory,OTHER,,http://dbpedia.org/ontology/Food,,,OTHER,OTHER,OTHER,OTHER,OTHER
