storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
0pw7ni8GH6Q,day,13.0,0.8941693902015686,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,18.0,0.8954586386680603,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,19.0,0.8971648812294006,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,20.0,0.8955565094947815,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,32.0,0.9052016735076904,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,33.0,0.9091902375221252,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,34.0,0.8964492082595825,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,35.0,0.9114612936973572,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,36.0,0.9080234169960022,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,37.0,0.9057016968727112,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,38.0,0.9073481559753418,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,40.0,0.8956764936447144,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,41.0,0.9084512591362,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,42.0,0.890156090259552,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,43.0,0.9094504117965698,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,44.0,0.8984678387641907,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,day,46.0,0.8912284374237059,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,fitness professional,27.0,0.4872011542320252,person,/m/0bxzbs3,/m/01g317,fitness professional,fitness professional,PERSON,,http://dbpedia.org/ontology/Person,,,person,person,person,person,OTHER
0pw7ni8GH6Q,night,60.0,0.6920313239097595,OTHER,/m/01d74z,,night,night,OTHER,,http://dbpedia.org/ontology/Country,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,freebord,59.0,0.4223330616950989,skateboard,/m/0fbrr4,/m/06_fw,freebord,freebord,OTHER,,,,,skateboard,skateboard,skateboard,skateboard,OTHER
0pw7ni8GH6Q,endurance sports,13.0,0.5977129340171814,sports,/m/0bpxlzj,/m/06ntj,endurance sport,endurance sport,OTHER,,,,,sports,sports,EVENT,sports,EVENT
0pw7ni8GH6Q,endurance sports,15.0,0.4249840974807739,sports,/m/0bpxlzj,/m/06ntj,endurance sport,endurance sport,OTHER,,,,,sports,sports,EVENT,sports,EVENT
0pw7ni8GH6Q,muscle,17.0,0.7820850610733032,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,18.0,0.7922004461288452,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,19.0,0.7982301712036133,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,20.0,0.8017145991325378,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,21.0,0.7697632312774658,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,22.0,0.7776296734809875,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,23.0,0.7973693013191223,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,24.0,0.7912949323654175,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,25.0,0.7816044688224792,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,26.0,0.7774689793586731,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,32.0,0.7995022535324097,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,33.0,0.714981198310852,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,34.0,0.7781385779380798,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,44.0,0.8125284910202026,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,45.0,0.7910669445991516,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,muscle,46.0,0.7894392609596252,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
0pw7ni8GH6Q,modern art,21.0,0.416704922914505,"artwork, art",/m/015r61,"/m/0dgsmq8, /m/0jjw",modern art,modern art,OTHER,,,,,"artwork, art","artwork, art","artwork, art","artwork, art",OTHER
