storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
L6wLxjzUqmc,race track,18.0,0.4295903146266937,"location, structure",/m/01r_pn,"/m/078x4m, /m/0n68_",race track,race track,OTHER,,http://dbpedia.org/ontology/ArchitecturalStructure,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
L6wLxjzUqmc,race track,65.0,0.5796910524368286,"location, structure",/m/01r_pn,"/m/078x4m, /m/0n68_",race track,race track,OTHER,,http://dbpedia.org/ontology/ArchitecturalStructure,,,LOCATION,"location, structure","location, structure","location, structure",LOCATION
L6wLxjzUqmc,product,38.0,0.7150809168815613,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,39.0,0.7450224757194519,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,88.0,0.6492122411727905,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,89.0,0.6880026459693909,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,90.0,0.7152257561683655,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,94.0,0.5666399002075195,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,95.0,0.5998163223266602,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,96.0,0.6133692264556885,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,97.0,0.4550526142120361,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,98.0,0.4530184268951416,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,99.0,0.485081285238266,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,100.0,0.4695535600185394,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,product,101.0,0.458154022693634,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,mini sport utility vehicle,19.0,0.4214118421077728,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,mini sport utility vehicle,21.0,0.4054643213748932,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,mini sport utility vehicle,61.0,0.4184250831604004,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,mini sport utility vehicle,63.0,0.4157160520553589,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,mini sport utility vehicle,66.0,0.4877020120620728,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,mini sport utility vehicle,69.0,0.5103464126586914,car,/m/0cbkkk,/m/0k4j,mini sport utility vehicle,mini sport utility vehicle,OTHER,,http://dbpedia.org/ontology/Automobile,,,car,car,car,car,OTHER
L6wLxjzUqmc,muscle,78.0,0.6469391584396362,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,muscle,82.0,0.647162139415741,OTHER,/m/04_fs,,muscle,muscle,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,label,88.0,0.6042971014976501,OTHER,/m/05c0n6k,,label,label,OTHER,,http://dbpedia.org/ontology/MusicalWork,,,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,label,89.0,0.6304166913032532,OTHER,/m/05c0n6k,,label,label,OTHER,,http://dbpedia.org/ontology/MusicalWork,,,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,label,90.0,0.6018478870391846,OTHER,/m/05c0n6k,,label,label,OTHER,,http://dbpedia.org/ontology/MusicalWork,,,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,signage,88.0,0.6541637182235718,OTHER,/m/0bkqqh,,signage,signage,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,signage,89.0,0.5903077125549316,OTHER,/m/0bkqqh,,signage,signage,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,signage,90.0,0.61305171251297,OTHER,/m/0bkqqh,,signage,signage,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
L6wLxjzUqmc,electronic device,90.0,0.4876975119113922,technology,/m/0bs7_0t,/m/07c1v,electronic device,electronic device,OTHER,,,,,technology,technology,technology,technology,OTHER
L6wLxjzUqmc,electronic device,94.0,0.4426863193511963,technology,/m/0bs7_0t,/m/07c1v,electronic device,electronic device,OTHER,,,,,technology,technology,technology,technology,OTHER
L6wLxjzUqmc,electronic device,96.0,0.4502853453159332,technology,/m/0bs7_0t,/m/07c1v,electronic device,electronic device,OTHER,,,,,technology,technology,technology,technology,OTHER
L6wLxjzUqmc,mid size car,15.0,0.6234984397888184,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,16.0,0.7934204339981079,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,17.0,0.6426470279693604,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,18.0,0.5359776616096497,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,19.0,0.6363234519958496,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,20.0,0.6208999156951904,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,21.0,0.6437990665435791,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,22.0,0.7867370843887329,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,23.0,0.6449263691902161,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,24.0,0.6544023752212524,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,25.0,0.6987455487251282,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,26.0,0.6657400131225586,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,27.0,0.6316214203834534,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,28.0,0.5618280172348022,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,29.0,0.6892157196998596,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,30.0,0.6749399900436401,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,31.0,0.6161013841629028,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,32.0,0.6348937153816223,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,33.0,0.6888924241065979,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,34.0,0.7041225433349609,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,35.0,0.7023298144340515,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,36.0,0.6855934262275696,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,37.0,0.6940270662307739,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,40.0,0.8245199918746948,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,41.0,0.7821323871612549,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,42.0,0.7685474157333374,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,43.0,0.7161352038383484,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,44.0,0.7401477694511414,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,45.0,0.8522915244102478,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,46.0,0.8430593609809875,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,47.0,0.8440980911254883,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,48.0,0.7378830313682556,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,49.0,0.704131543636322,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,50.0,0.7375211119651794,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,61.0,0.8846654891967773,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,62.0,0.8867690563201904,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
L6wLxjzUqmc,mid size car,63.0,0.8877192735671997,car,/m/03vnt4,/m/0k4j,mid size car,mid size car,OTHER,,,,,car,car,car,car,OTHER
