storageLink,label,time_offset,confidence,type,label_entity_id,type_id,WordNet Type Type,WordNet Type,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3,type_v4,type_v5
X-zLKAGEFmg,midnight,0.0,0.4674353003501892,none,/m/01kv7h,none,OTHER,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,none,none,none,none,OTHER
X-zLKAGEFmg,midnight,2.0,0.42797207832336426,none,/m/01kv7h,none,OTHER,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,none,none,none,none,OTHER
X-zLKAGEFmg,midnight,4.0,0.4251720607280731,none,/m/01kv7h,none,OTHER,,midnight,midnight,OTHER,,http://dbpedia.org/ontology/Country,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive window part,0.0,0.4886813163757324,none,/m/0h8lhq_,none,OTHER,,automotive window part,automotive window part,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,mammal,19.0,0.9251649379730223,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,28.0,0.9260883927345276,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,31.0,0.9246302247047424,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,38.0,0.9269844293594359,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,39.0,0.923852264881134,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,41.0,0.9235117435455322,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,mammal,42.0,0.92607581615448,animal,/m/04rky,/m/0jbk,OTHER,,mammal,mammal,OTHER,,,,animal,animal,animal,animal,OTHER
X-zLKAGEFmg,automotive design,6.0,0.8095061779022217,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,7.0,0.7189704179763794,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,8.0,0.8208100199699402,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,9.0,0.7756552696228027,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,56.0,0.7514227628707886,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,57.0,0.8189983367919922,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,58.0,0.7324907183647156,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,62.0,0.7024928331375122,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,63.0,0.7043562531471252,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,automotive design,64.0,0.7720653414726257,none,/m/068mqj,none,OTHER,,automotive design,automotive design,OTHER,,,,none,none,none,none,OTHER
X-zLKAGEFmg,endurance sports,20.0,0.42932093143463135,sports,/m/0bpxlzj,/m/06ntj,PERSON,,endurance sport,endurance sport,OTHER,,,,sports,sports,EVENT,sports,EVENT
X-zLKAGEFmg,endurance sports,28.0,0.4683981239795685,sports,/m/0bpxlzj,/m/06ntj,PERSON,,endurance sport,endurance sport,OTHER,,,,sports,sports,EVENT,sports,EVENT
X-zLKAGEFmg,endurance sports,31.0,0.5144731998443604,sports,/m/0bpxlzj,/m/06ntj,PERSON,,endurance sport,endurance sport,OTHER,,,,sports,sports,EVENT,sports,EVENT
X-zLKAGEFmg,endurance sports,54.0,0.535591185092926,sports,/m/0bpxlzj,/m/06ntj,PERSON,,endurance sport,endurance sport,OTHER,,,,sports,sports,EVENT,sports,EVENT
X-zLKAGEFmg,fashion accessory,21.0,0.7983381152153015,none,/m/0463sg,none,OTHER,,fashion accessory,fashion accessory,OTHER,,http://dbpedia.org/ontology/Food,,none,none,none,none,OTHER
X-zLKAGEFmg,fashion accessory,23.0,0.7966217994689941,none,/m/0463sg,none,OTHER,,fashion accessory,fashion accessory,OTHER,,http://dbpedia.org/ontology/Food,,none,none,none,none,OTHER
X-zLKAGEFmg,fashion accessory,24.0,0.8566522002220154,none,/m/0463sg,none,OTHER,,fashion accessory,fashion accessory,OTHER,,http://dbpedia.org/ontology/Food,,none,none,none,none,OTHER
X-zLKAGEFmg,physical fitness,28.0,0.6434937119483948,sports,/m/027x7n,/m/06ntj,PERSON,,physical fitness,physical fitness,LOCATION,,http://dbpedia.org/ontology/PopulatedPlace,,sports,sports,EVENT,sports,EVENT
X-zLKAGEFmg,facial hair,10.0,0.4097765684127808,hair,/m/0ds5b,/m/03q69,OTHER,,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,hair,OTHER,hair,hair,OTHER
X-zLKAGEFmg,facial hair,15.0,0.4019133150577545,hair,/m/0ds5b,/m/03q69,OTHER,,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,hair,OTHER,hair,hair,OTHER
X-zLKAGEFmg,facial hair,16.0,0.7269619703292847,hair,/m/0ds5b,/m/03q69,OTHER,,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,hair,OTHER,hair,hair,OTHER
