storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
joVbKTnNF8Q,antique,10.0,0.4130620956420897,OTHER,/m/01ys2s,,antique,antique,OTHER,,http://dbpedia.org/ontology/Food,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
joVbKTnNF8Q,metalworking,10.0,0.41801297664642334,OTHER,/m/01ng72,,metalworking,metalworking,OTHER,,http://dbpedia.org/ontology/Election,,,OTHER,OTHER,EVENT,OTHER,EVENT
joVbKTnNF8Q,beanie,31.0,0.765478253364563,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,32.0,0.7064462304115295,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,33.0,0.67014080286026,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,34.0,0.625081479549408,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,35.0,0.6116001605987549,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,36.0,0.5875158905982971,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,37.0,0.5561208724975586,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,38.0,0.5312334895133972,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,39.0,0.5916827917098999,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
joVbKTnNF8Q,beanie,40.0,0.5283098220825195,cap,/m/02gw_5,/m/02d46y,beanie,beanie,OTHER,,,,,cap,cap,cap,cap,OTHER
