storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
ucEhLRZU7yY,sky,0.0,0.6693461537361145,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,1.0,0.7275599837303162,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,8.0,0.4390678107738495,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,9.0,0.8116378188133241,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,10.0,0.6575316786766052,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,11.0,0.6536991000175476,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,12.0,0.7852540612220764,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,13.0,0.7147300839424133,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,14.0,0.495721846818924,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,15.0,0.6492963433265686,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,37.0,0.5501919388771057,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,47.0,0.7435728311538696,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,sky,48.0,0.7663144469261169,OTHER,/m/01bqvp,,sky,sky,ORGANIZATION,,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Organisation",,,LOCATION,OTHER,OTHER,OTHER,LOCATION
ucEhLRZU7yY,surfing equipment and supplies,6.0,0.9557479619979858,OTHER,/m/0bq66hh,,surf equipment and supply,surf equipment and supply,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
ucEhLRZU7yY,surfing equipment and supplies,7.0,0.9341477155685424,OTHER,/m/0bq66hh,,surf equipment and supply,surf equipment and supply,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
ucEhLRZU7yY,surfing equipment and supplies,9.0,0.47166508436203,OTHER,/m/0bq66hh,,surf equipment and supply,surf equipment and supply,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
ucEhLRZU7yY,surfing equipment and supplies,10.0,0.4813410639762878,OTHER,/m/0bq66hh,,surf equipment and supply,surf equipment and supply,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
ucEhLRZU7yY,surfing equipment and supplies,32.0,0.8234608173370361,OTHER,/m/0bq66hh,,surf equipment and supply,surf equipment and supply,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
