storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
2TDIkk_CUTU,Dean,PERSON,,,star,65,0.4000000059604645,-0.4000000059604645,COMMON,0.2380638867616653,0.4000000059604645,-0.10000000149011612,Dean,dean,OTHER,PERSON,,"Thing, Person",PERSON,PERSON,PERSON,PERSON
2TDIkk_CUTU,Dean,PERSON,,,Dean,70,0.0,0.0,PROPER,0.2380638867616653,0.4000000059604645,-0.10000000149011612,Dean,dean,OTHER,PERSON,,"Thing, Person",PERSON,PERSON,PERSON,PERSON
2TDIkk_CUTU,side,OTHER,,,side,109,0.0,0.0,COMMON,0.1347474306821823,0.0,0.0,side,side,OTHER,LOCATION,http://dbpedia.org/ontology/City,"Thing, Place, City","LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
2TDIkk_CUTU,crystal balls,OTHER,,,crystal balls,172,0.10000000149011612,-0.10000000149011612,COMMON,0.10844426602125168,0.10000000149011612,-0.10000000149011612,crystal ball,crystal ball,OTHER,OTHER,,"Thing, MusicRecording",,OTHER,OTHER,OTHER
2TDIkk_CUTU,American,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,American,100,0.0,0.0,PROPER,0.06457342207431792,0.0,0.0,American,american,OTHER,OTHER,,OTHER,PERSON,LOCATION,PERSON,PERSON
2TDIkk_CUTU,Times Square,LOCATION,/m/02qb4mp,"https://en.wikipedia.org/wiki/Theater_District,_Manhattan",Times Square,150,0.0,0.0,PROPER,0.06457342207431792,0.0,0.0,Times Square,time square,OTHER,LOCATION,,"TouristAttraction, Place, Thing",LOCATION,LOCATION,LOCATION,LOCATION
2TDIkk_CUTU,Giant,ORGANIZATION,,,Giant,59,0.0,0.0,PROPER,0.06457342207431792,0.0,0.0,Giant,giant,OTHER,OTHER,,OTHER,"PERSON, ORGANIZATION",ORGANIZATION,ORGANIZATION,ORGANIZATION
2TDIkk_CUTU,money,OTHER,,,money,609,0.10000000149011612,0.10000000149011612,COMMON,0.031206222251057625,0.10000000149011612,0.10000000149011612,money,money,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
2TDIkk_CUTU,money,OTHER,,,money,544,0.10000000149011612,-0.10000000149011612,COMMON,0.02386673912405968,0.10000000149011612,-0.10000000149011612,money,money,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
2TDIkk_CUTU,money,OTHER,,,money,982,0.0,0.0,COMMON,0.021490138024091717,0.0,0.0,money,money,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
