storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
3DQirov8H74,girl,PERSON,,,girl,713,0.20000000298023224,0.20000000298023224,COMMON,0.2482123523950577,0.8000000119209291,0.0,girl,girl,PERSON,OTHER,"http://dbpedia.org/ontology/Album, http://dbpedia.org/ontology/Person","MusicAlbum, Thing, CreativeWork, Movie",PERSON,PERSON,PERSON,PERSON
3DQirov8H74,pride,OTHER,,,pride,8,0.0,0.0,COMMON,0.10845960676670073,0.0,0.0,pride,pride,OTHER,OTHER,,"Thing, TVSeries",ORGANIZATION,OTHER,OTHER,OTHER
3DQirov8H74,gold,OTHER,,,gold,68,0.0,0.0,COMMON,0.1062544509768486,0.0,0.0,gold,gold,OTHER,ORGANIZATION,http://dbpedia.org/ontology/MilitaryUnit,"Corporation, Thing, Organization",,OTHER,OTHER,OTHER
3DQirov8H74,Powerhouse,LOCATION,,,Powerhouse,44,0.0,0.0,PROPER,0.0570889450609684,0.0,0.0,Powerhouse,powerhouse,OTHER,OTHER,,Thing,"PERSON, ORGANIZATION",LOCATION,LOCATION,LOCATION
3DQirov8H74,America,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,America,17,0.20000000298023224,0.20000000298023224,PROPER,0.05408412963151932,0.20000000298023224,0.20000000298023224,America,america,OTHER,OTHER,,OTHER,LOCATION,LOCATION,LOCATION,LOCATION
3DQirov8H74,world,LOCATION,,,world,96,0.0,0.0,COMMON,0.041998907923698425,0.0,0.0,world,world,OTHER,LOCATION,,"Thing, Place",ORGANIZATION,LOCATION,LOCATION,LOCATION
3DQirov8H74,gold,OTHER,,,gold,524,0.0,0.0,COMMON,0.04162229970097542,0.0,0.0,gold,gold,OTHER,ORGANIZATION,http://dbpedia.org/ontology/MilitaryUnit,"Corporation, Thing, Organization",,OTHER,OTHER,OTHER
3DQirov8H74,gold,OTHER,,,gold,605,0.0,0.0,COMMON,0.04162229970097542,0.0,0.0,gold,gold,OTHER,ORGANIZATION,http://dbpedia.org/ontology/MilitaryUnit,"Corporation, Thing, Organization",,OTHER,OTHER,OTHER
3DQirov8H74,Aly Raisman,PERSON,/m/0cmbj2h,https://en.wikipedia.org/wiki/Aly_Raisman,Aly Raisman,73,0.10000000149011612,0.10000000149011612,PROPER,0.03964453935623169,0.10000000149011612,0.10000000149011612,Aly Raisman,aly raisman,OTHER,PERSON,,"Thing, Person",,PERSON,PERSON,PERSON
3DQirov8H74,u.s.,LOCATION,,,u.s.,155,0.10000000149011612,0.10000000149011612,PROPER,0.022967206314206123,0.10000000149011612,0.10000000149011612,u.s .,u.s .,OTHER,OTHER,,OTHER,"ORGANIZATION, LOCATION",LOCATION,LOCATION,LOCATION
3DQirov8H74,Fab Five,ORGANIZATION,,,Fab Five,122,0.699999988079071,0.699999988079071,PROPER,0.022967206314206123,0.699999988079071,0.699999988079071,Fab Five,fab five,OTHER,OTHER,,"MusicAlbum, Thing",,ORGANIZATION,ORGANIZATION,ORGANIZATION
3DQirov8H74,lie,OTHER,,,lie,335,0.10000000149011612,0.10000000149011612,COMMON,0.01925064064562321,0.10000000149011612,0.10000000149011612,lie,lie,OTHER,OTHER,,"Thing, Movie","PERSON, LOCATION",OTHER,OTHER,OTHER
3DQirov8H74,bronze medal,OTHER,,,bronze medal,292,0.20000000298023224,0.20000000298023224,COMMON,0.01641501672565937,0.20000000298023224,0.20000000298023224,bronze medal,bronze medal,PERSON,OTHER,http://dbpedia.org/ontology/Person,"Thing, MusicRecording",,OTHER,OTHER,OTHER
