storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
4q3nUZelZkE,people,PERSON,,,people,74,0.699999988079071,-0.699999988079071,COMMON,0.2451726943254471,3.400000095367432,-0.8000000119209291,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
4q3nUZelZkE,things,OTHER,,,things,202,0.5,-0.5,COMMON,0.12252730876207353,0.8999999761581421,-0.4000000059604645,thing,thing,OTHER,OTHER,,"Thing, CreativeWork, Movie",EVENT,OTHER,OTHER,OTHER
4q3nUZelZkE,somebody,PERSON,,,somebody,145,0.699999988079071,-0.699999988079071,COMMON,0.10889225453138353,1.100000023841858,-0.5,somebody,somebody,OTHER,OTHER,,"Thing, Movie",,PERSON,PERSON,PERSON
4q3nUZelZkE,mom,PERSON,,,mom,573,0.30000001192092896,0.30000001192092896,COMMON,0.06432117521762848,1.2000000476837158,0.10000000149011612,mom,mom,OTHER,OTHER,,"Thing, TVSeries, CreativeWork",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,mom,PERSON,,,two,583,0.6000000238418579,0.6000000238418579,COMMON,0.06432117521762848,1.2000000476837158,0.10000000149011612,mom,mom,OTHER,OTHER,,"Thing, TVSeries, CreativeWork",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,mom,PERSON,,,mom,873,0.10000000149011612,-0.10000000149011612,COMMON,0.06432117521762848,1.2000000476837158,0.10000000149011612,mom,mom,OTHER,OTHER,,"Thing, TVSeries, CreativeWork",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,mom,PERSON,,,mom,981,0.0,0.0,COMMON,0.06432117521762848,1.2000000476837158,0.10000000149011612,mom,mom,OTHER,OTHER,,"Thing, TVSeries, CreativeWork",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,mom,PERSON,,,mom,1252,0.0,0.0,COMMON,0.06432117521762848,1.2000000476837158,0.10000000149011612,mom,mom,OTHER,OTHER,,"TVSeries, Thing, CreativeWork",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,gay marriage,OTHER,,,gay marriage,113,0.0,0.0,COMMON,0.04779680073261261,0.0,0.0,gay marriage,gay marriage,OTHER,OTHER,,"Book, Thing, MusicRecording",,OTHER,OTHER,OTHER
4q3nUZelZkE,gay marriage,OTHER,,,gay marriage,46,0.0,0.0,COMMON,0.04779680073261261,0.0,0.0,gay marriage,gay marriage,OTHER,OTHER,,"Book, Thing, MusicRecording",,OTHER,OTHER,OTHER
4q3nUZelZkE,Terry,PERSON,,,Terry,713,0.10000000149011612,-0.10000000149011612,PROPER,0.0405738390982151,0.20000000298023224,0.0,Terry,terry,OTHER,OTHER,"http://dbpedia.org/ontology/Name, http://dbpedia.org/ontology/GivenName",OTHER,PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,Terry,PERSON,,,Terry,764,0.0,0.0,PROPER,0.0405738390982151,0.20000000298023224,0.0,Terry,terry,OTHER,OTHER,"http://dbpedia.org/ontology/Name, http://dbpedia.org/ontology/GivenName",OTHER,PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,issue,OTHER,,,issue,37,0.8000000119209291,-0.8000000119209291,COMMON,0.03841505944728851,0.8000000119209291,-0.8000000119209291,issue,issue,OTHER,"EVENT, ORGANIZATION",,"TVSeries, Organization, Thing, Event, Movie, Corporation","PERSON, EVENT",OTHER,OTHER,OTHER
4q3nUZelZkE,things,OTHER,,,things,466,0.699999988079071,-0.699999988079071,COMMON,0.02587481215596199,0.699999988079071,-0.699999988079071,thing,thing,OTHER,OTHER,,"Thing, CreativeWork, Movie",EVENT,OTHER,OTHER,OTHER
4q3nUZelZkE,people,PERSON,,,people,284,0.20000000298023224,-0.20000000298023224,COMMON,0.020773839205503464,0.20000000298023224,-0.20000000298023224,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
4q3nUZelZkE,love,OTHER,,,love,899,0.10000000149011612,-0.10000000149011612,COMMON,0.02002494037151337,0.8999999761581421,-0.10000000149011612,love,love,OTHER,OTHER,http://dbpedia.org/ontology/Grape,"Thing, Movie",PERSON,OTHER,OTHER,OTHER
4q3nUZelZkE,Jackie,PERSON,,,Jackie,698,0.10000000149011612,-0.10000000149011612,PROPER,0.019722037017345432,1.100000023841858,-0.30000001192092896,Jackie,jackie,OTHER,OTHER,,OTHER,,PERSON,PERSON,PERSON
4q3nUZelZkE,lot,OTHER,,,lot,319,0.5,-0.5,COMMON,0.0187082402408123,0.5,-0.5,lot,lot,OTHER,"LOCATION, PERSON",,"Person, AdministrativeArea, Place, Thing","LOCATION, ORGANIZATION, PERSON",OTHER,OTHER,OTHER
4q3nUZelZkE,family,PERSON,,,family,238,0.0,0.0,COMMON,0.01826088689267636,0.0,0.0,family,family,OTHER,OTHER,http://dbpedia.org/ontology/Band,"MusicGroup, TVSeries, Thing, Movie","ORGANIZATION, PERSON",PERSON,PERSON,PERSON
4q3nUZelZkE,times,OTHER,,,times,326,0.5,-0.5,COMMON,0.01464497298002243,0.5,-0.5,time,time,OTHER,EVENT,,"MusicAlbum, VideoGame, Thing, Event",EVENT,OTHER,OTHER,OTHER
4q3nUZelZkE,terms,OTHER,,,terms,252,0.20000000298023224,-0.20000000298023224,COMMON,0.01464497298002243,0.20000000298023224,-0.20000000298023224,term,term,OTHER,OTHER,,"Thing, MusicRecording",,OTHER,OTHER,OTHER
4q3nUZelZkE,family values,OTHER,,,family values,372,0.4000000059604645,-0.4000000059604645,COMMON,0.014466629363596441,0.4000000059604645,-0.4000000059604645,family value,family value,OTHER,OTHER,,"Thing, MusicRecording",,OTHER,OTHER,OTHER
4q3nUZelZkE,family,PERSON,,,family,425,0.4000000059604645,-0.4000000059604645,COMMON,0.012188552878797054,0.4000000059604645,-0.4000000059604645,family,family,OTHER,OTHER,http://dbpedia.org/ontology/Band,"MusicGroup, TVSeries, Thing, Movie","ORGANIZATION, PERSON",PERSON,PERSON,PERSON
4q3nUZelZkE,people,PERSON,,,people,620,0.8999999761581421,0.8999999761581421,COMMON,0.006715255789458753,0.8999999761581421,0.8999999761581421,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
4q3nUZelZkE,people,PERSON,,,people,1178,0.0,0.0,COMMON,0.006688967812806368,0.5,-0.20000000298023224,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
4q3nUZelZkE,matter,OTHER,,,matter,537,0.8000000119209291,0.8000000119209291,COMMON,0.006000418681651354,0.8000000119209291,0.8000000119209291,matter,matter,OTHER,OTHER,,"VideoGame, MusicGroup, Thing",,OTHER,OTHER,OTHER
4q3nUZelZkE,power,OTHER,,,power,927,0.699999988079071,-0.699999988079071,COMMON,0.005460449494421482,0.699999988079071,-0.699999988079071,power,power,OTHER,ORGANIZATION,,"TVSeries, Thing, Organization, Movie, Corporation","PERSON, ORGANIZATION",OTHER,OTHER,OTHER
4q3nUZelZkE,somebody,PERSON,,,somebody,914,0.0,0.0,COMMON,0.004980701953172686,0.0,0.0,somebody,somebody,OTHER,OTHER,,"Thing, Movie",,PERSON,PERSON,PERSON
4q3nUZelZkE,pleasure,OTHER,,,pleasure,645,0.8999999761581421,0.8999999761581421,COMMON,0.004785326309502125,0.8999999761581421,0.8999999761581421,pleasure,pleasure,OTHER,OTHER,,"Thing, Movie",,OTHER,OTHER,OTHER
4q3nUZelZkE,sclerosis,OTHER,,,sclerosis,828,0.699999988079071,-0.699999988079071,COMMON,0.004768428392708302,0.699999988079071,-0.699999988079071,sclerosis,sclerosis,OTHER,OTHER,,"MusicAlbum, Thing",,OTHER,OTHER,OTHER
4q3nUZelZkE,pain,OTHER,,,pain,805,0.8999999761581421,-0.8999999761581421,COMMON,0.004768428392708302,0.8999999761581421,-0.8999999761581421,pain,pain,OTHER,OTHER,,"MusicGroup, Thing",PERSON,OTHER,OTHER,OTHER
4q3nUZelZkE,bed whimpering,OTHER,,,bed whimpering,787,0.0,0.0,COMMON,0.004768428392708302,0.0,0.0,bed whimper,bed whimper,OTHER,OTHER,,OTHER,,OTHER,OTHER,OTHER
4q3nUZelZkE,love,OTHER,,,love,1493,0.4000000059604645,-0.4000000059604645,COMMON,0.004672122653573752,0.4000000059604645,-0.4000000059604645,love,love,OTHER,OTHER,http://dbpedia.org/ontology/Grape,"Thing, Movie",PERSON,OTHER,OTHER,OTHER
4q3nUZelZkE,people,PERSON,,,people,1446,0.20000000298023224,-0.20000000298023224,COMMON,0.004672122653573752,0.20000000298023224,-0.20000000298023224,people,people,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,PERSON,PERSON,PERSON
4q3nUZelZkE,morals,OTHER,,,morals,507,0.10000000149011612,0.10000000149011612,COMMON,0.0046350620687007895,0.10000000149011612,0.10000000149011612,moral,moral,OTHER,OTHER,,"MusicAlbum, Thing",,OTHER,OTHER,OTHER
4q3nUZelZkE,sister,PERSON,,,sister,1057,0.10000000149011612,0.10000000149011612,COMMON,0.004375121090561152,0.10000000149011612,0.10000000149011612,sister,sister,OTHER,OTHER,http://dbpedia.org/ontology/Mammal,"Thing, Movie",PERSON,PERSON,PERSON,PERSON
4q3nUZelZkE,relationship,OTHER,,,relationship,1416,0.30000001192092896,0.30000001192092896,COMMON,0.003287960542365909,0.30000001192092896,0.30000001192092896,relationship,relationship,OTHER,OTHER,,"MusicRecording, Thing, Movie",,OTHER,OTHER,OTHER
4q3nUZelZkE,idea,OTHER,,,idea,1353,0.699999988079071,0.699999988079071,COMMON,0.003287960542365909,0.699999988079071,0.699999988079071,idea,idea,OTHER,ORGANIZATION,,"Corporation, Thing, Organization",,OTHER,OTHER,OTHER
4q3nUZelZkE,level,OTHER,,,level,1296,0.0,0.0,COMMON,0.003287960542365909,0.0,0.0,level,level,OTHER,ORGANIZATION,,"Thing, Corporation, Airline, Organization",,OTHER,OTHER,OTHER
