storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
60qwSBbdBkM,Chris Stevens,PERSON,/m/0n46_gt,https://en.wikipedia.org/wiki/J._Christopher_Stevens,Chris Stevens,23,0.10000000149011612,-0.10000000149011612,PROPER,0.3491736352443695,1.100000023841858,-0.20000000298023224,Chris Stevens,chris stevens,OTHER,PERSON,,"Person, Thing",,PERSON,PERSON,PERSON
60qwSBbdBkM,Chris Stevens,PERSON,/m/0n46_gt,https://en.wikipedia.org/wiki/J._Christopher_Stevens,Chris Stevens,243,0.10000000149011612,0.10000000149011612,PROPER,0.3491736352443695,1.100000023841858,-0.20000000298023224,Chris Stevens,chris stevens,OTHER,PERSON,,"Person, Thing",,PERSON,PERSON,PERSON
60qwSBbdBkM,thing,OTHER,,,thing,4,0.30000001192092896,0.30000001192092896,COMMON,0.18157708644866946,0.8999999761581421,-0.10000000149011612,thing,thing,OTHER,OTHER,,Thing,EVENT,OTHER,OTHER,OTHER
60qwSBbdBkM,information,OTHER,,,information,634,0.6000000238418579,-0.6000000238418579,COMMON,0.08109074831008911,1.2000000476837158,0.0,information,information,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,OTHER,OTHER,OTHER
60qwSBbdBkM,information,OTHER,,,attack,686,0.20000000298023224,0.20000000298023224,COMMON,0.08109074831008911,1.2000000476837158,0.0,information,information,OTHER,OTHER,,"TVSeries, Thing",ORGANIZATION,OTHER,OTHER,OTHER
60qwSBbdBkM,reason,OTHER,,,reason,75,0.0,0.0,COMMON,0.06233670562505723,0.0,0.0,reason,reason,OTHER,PERSON,http://dbpedia.org/ontology/ArchitecturalStructure,"Person, Thing",,OTHER,OTHER,OTHER
60qwSBbdBkM,extremists,PERSON,,,people,709,0.0,0.0,COMMON,0.030193082988262177,2.299999952316284,0.0,extremist,extremist,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON,PERSON
60qwSBbdBkM,extremists,PERSON,,,extremists,741,0.20000000298023224,-0.20000000298023224,COMMON,0.030193082988262177,2.299999952316284,0.0,extremist,extremist,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON,PERSON
60qwSBbdBkM,democracy,OTHER,,,democracy,150,0.699999988079071,0.699999988079071,COMMON,0.024115657433867455,0.699999988079071,0.699999988079071,democracy,democracy,OTHER,OTHER,,OTHER,ORGANIZATION,OTHER,OTHER,OTHER
60qwSBbdBkM,Cairo,LOCATION,/m/01w2v,https://en.wikipedia.org/wiki/Cairo,Cairo,934,0.0,0.0,PROPER,0.0238464679569006,0.20000000298023224,0.0,Cairo,cairo,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/City, http://dbpedia.org/ontology/Settlement","LandmarksOrHistoricalBuildings, Place, DefenceEstablishment, City, Thing, AdministrativeArea",LOCATION,LOCATION,LOCATION,LOCATION
