storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
7e3biwVZHBc,refugees,PERSON,,,refugees,138,0.0,0.0,COMMON,0.1124681755900383,0.0,0.0,refugee,refugee,OTHER,OTHER,,"VisualArtwork, Book, Thing",PERSON,PERSON,PERSON,PERSON
7e3biwVZHBc,desert Crossing,EVENT,,,desert Crossing,16,0.0,0.0,COMMON,0.06532111763954163,0.0,0.0,desert Crossing,desert cross,OTHER,OTHER,,"Thing, MusicRecording",,EVENT,EVENT,EVENT
7e3biwVZHBc,border,LOCATION,,,border,80,0.0,0.0,COMMON,0.06532111763954163,0.0,0.0,border,border,OTHER,OTHER,,"TVSeries, Thing",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,Khalil,LOCATION,,,Khalil,51,0.0,0.0,PROPER,0.038838319480419166,0.0,0.0,Khalil,khalil,OTHER,OTHER,,OTHER,,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,algeria,LOCATION,/m/0h3y,https://en.wikipedia.org/wiki/Algeria,algeria,61,0.0,0.0,PROPER,0.038838319480419166,0.0,0.0,algeria,algeria,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country","Country, Thing, AdministrativeArea, Place",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,Mali,LOCATION,/m/04v09,https://en.wikipedia.org/wiki/Mali,Mali,504,0.10000000149011612,-0.10000000149011612,PROPER,0.0362965539097786,1.0,-0.20000000298023224,Mali,mali,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/MusicalArtist","Country, AdministrativeArea, Place, Thing",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,Mali,LOCATION,/m/04v09,https://en.wikipedia.org/wiki/Mali,Mali,952,0.30000001192092896,-0.30000001192092896,PROPER,0.0362965539097786,1.0,-0.20000000298023224,Mali,mali,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/MusicalArtist","Country, Thing, AdministrativeArea, Place",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,Mali,LOCATION,/m/04v09,https://en.wikipedia.org/wiki/Mali,Mali,1071,0.5,-0.5,PROPER,0.0362965539097786,1.0,-0.20000000298023224,Mali,mali,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/MusicalArtist","Country, Place, AdministrativeArea, Thing",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,Mali,LOCATION,/m/04v09,https://en.wikipedia.org/wiki/Mali,Mali,1412,0.0,0.0,PROPER,0.0362965539097786,1.0,-0.20000000298023224,Mali,mali,LOCATION,LOCATION,"http://dbpedia.org/ontology/PopulatedPlace, http://dbpedia.org/ontology/Place, http://dbpedia.org/ontology/Country, http://dbpedia.org/ontology/Location, http://dbpedia.org/ontology/MusicalArtist","Country, Place, AdministrativeArea, Thing",LOCATION,LOCATION,LOCATION,LOCATION
7e3biwVZHBc,other,OTHER,,,other,174,0.0,0.0,COMMON,0.03591353818774223,0.0,0.0,other,other,OTHER,EVENT,,"Thing, Event",,OTHER,OTHER,OTHER
7e3biwVZHBc,some,OTHER,,,some,916,0.30000001192092896,-0.30000001192092896,COMMON,0.032842259854078286,0.8999999761581421,-0.4000000059604645,some,some,OTHER,OTHER,,"Thing, Movie",,OTHER,OTHER,OTHER
7e3biwVZHBc,war,EVENT,,,war,160,0.8999999761581421,-0.8999999761581421,COMMON,0.03197040036320686,0.8999999761581421,-0.8999999761581421,war,war,LOCATION,OTHER,http://dbpedia.org/ontology/PopulatedPlace,"Thing, Movie",,EVENT,EVENT,EVENT
