storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,WordNet Type Type,WordNet Type,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3
8vdw-1aK6-o,ice screws,OTHER,none,none,ice screws,846,0.6000000238418579,-0.6000000238418579,COMMON,0.08674035221338272,0.8000000119209291,-0.10000000149011612,OTHER,,ice screw,ice screw,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER
8vdw-1aK6-o,ice screws,OTHER,none,none,things,925,0.0,0.0,COMMON,0.08674035221338272,0.8000000119209291,-0.10000000149011612,OTHER,,ice screw,ice screw,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER
8vdw-1aK6-o,news,OTHER,none,none,news,16,0.8999999761581421,0.8999999761581421,COMMON,0.08622203767299652,0.8999999761581421,0.8999999761581421,OTHER,,news,news,OTHER,OTHER,http://dbpedia.org/ontology/Company,"MusicGroup, Thing",OTHER,OTHER,OTHER
8vdw-1aK6-o,radio contact,OTHER,none,none,radio contact,180,0.0,0.0,COMMON,0.06513681262731552,0.0,0.0,OTHER,,radio contact,radio contact,OTHER,OTHER,,"MusicAlbum, Thing",OTHER,OTHER,OTHER
8vdw-1aK6-o,feli,PERSON,none,none,feli,92,0.4000000059604645,0.4000000059604645,COMMON,0.0639023631811142,0.4000000059604645,0.4000000059604645,OTHER,,feli,feli,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON
8vdw-1aK6-o,comet,OTHER,none,none,comet,66,0.10000000149011612,0.10000000149011612,COMMON,0.058340545743703835,0.10000000149011612,0.10000000149011612,OTHER,,comet,comet,ORGANIZATION,ORGANIZATION,http://dbpedia.org/ontology/Organisation,"Corporation, Thing, Organization",OTHER,OTHER,OTHER
8vdw-1aK6-o,instrument scientists,PERSON,none,none,instrument scientists,344,0.4000000059604645,-0.4000000059604645,COMMON,0.05610037222504617,0.699999988079071,-0.30000001192092896,OTHER,,instrument scientist,instrument scientist,OTHER,OTHER,,OTHER,PERSON,PERSON,PERSON
8vdw-1aK6-o,signal,OTHER,none,none,signal,26,0.20000000298023224,-0.20000000298023224,COMMON,0.051305584609508514,0.20000000298023224,-0.20000000298023224,OTHER,,signal,signal,OTHER,OTHER,,"MusicGroup, Thing, TVSeries",OTHER,OTHER,OTHER
8vdw-1aK6-o,fact,OTHER,none,none,fact,161,0.0,0.0,COMMON,0.04356114938855171,0.0,0.0,OTHER,,fact,fact,PERSON,OTHER,http://dbpedia.org/ontology/Person,"MusicGroup, Thing",OTHER,OTHER,OTHER
8vdw-1aK6-o,batteries,CONSUMER_GOOD,none,none,batteries,1345,0.0,0.0,COMMON,0.0317901186645031,0.0,0.0,OTHER,ORGANIZATION,battery,battery,OTHER,OTHER,,"Thing, MusicRecording",OTHER,OTHER,OTHER
8vdw-1aK6-o,lot,OTHER,none,none,lot,258,0.20000000298023224,-0.20000000298023224,COMMON,0.028929103165864944,0.20000000298023224,-0.20000000298023224,OTHER,"LOCATION, ORGANIZATION, PERSON",lot,lot,OTHER,"LOCATION, PERSON",,"Thing, AdministrativeArea, Place, Person",OTHER,OTHER,OTHER
8vdw-1aK6-o,instruments,OTHER,none,none,instruments,297,0.0,0.0,COMMON,0.025997916236519814,0.0,0.0,OTHER,PERSON,instrument,instrument,OTHER,OTHER,,"Thing, MusicRecording",OTHER,OTHER,OTHER
