storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
AG4FbvMUM6M,thing,OTHER,,,thing,81,0.6000000238418579,0.6000000238418579,COMMON,0.11005532741546632,1.5,0.699999988079071,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
AG4FbvMUM6M,thing,OTHER,,,part,139,0.8000000119209291,0.8000000119209291,COMMON,0.11005532741546632,1.5,0.699999988079071,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
AG4FbvMUM6M,twist,OTHER,,,twist,162,0.20000000298023224,0.20000000298023224,COMMON,0.10251033306121826,0.30000001192092896,0.10000000149011612,twist,twist,,,,,EVENT,OTHER,OTHER,OTHER
AG4FbvMUM6M,twist,OTHER,,,Oreos,233,0.0,0.0,COMMON,0.10251033306121826,0.30000001192092896,0.10000000149011612,twist,twist,,,,,EVENT,OTHER,OTHER,OTHER
AG4FbvMUM6M,lovers,PERSON,,,lovers,97,0.4000000059604645,0.4000000059604645,COMMON,0.06341654062271118,0.699999988079071,0.0,lover,lover,,,,,PERSON,PERSON,PERSON,PERSON
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreo,92,0.30000001192092896,0.30000001192092896,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreo,445,0.30000001192092896,-0.30000001192092896,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreo,1413,0.6000000238418579,-0.6000000238418579,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreo,1574,0.30000001192092896,-0.30000001192092896,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreos,835,0.0,0.0,COMMON,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Say It Ain't So,841,0.20000000298023224,-0.20000000298023224,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,Oreos,1109,0.4000000059604645,0.4000000059604645,PROPER,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo,OTHER,/m/0x1bbzb,https://en.wikipedia.org/wiki/Oreo,selling cookie,1143,0.8000000119209291,0.8000000119209291,COMMON,0.059939049184322364,3.2999999523162837,0.0,Oreo,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,matter,OTHER,,,matter,45,0.0,0.0,COMMON,0.04517397657036781,0.0,0.0,matter,matter,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreos,CONSUMER_GOOD,,,Oreos,70,0.0,0.0,COMMON,0.039520177990198135,0.0,0.0,Oreos,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,cream,CONSUMER_GOOD,,,cream,121,0.5,0.5,COMMON,0.02906948700547218,0.5,0.5,cream,cream,,,,,ORGANIZATION,OTHER,OTHER,OTHER
AG4FbvMUM6M,Subway,ORGANIZATION,/m/0f7q4,https://en.wikipedia.org/wiki/Subway_(restaurant),Subway,1020,0.0,0.0,PROPER,0.02747529931366444,0.30000001192092896,0.0,Subway,subway,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
AG4FbvMUM6M,Subway,ORGANIZATION,/m/0f7q4,https://en.wikipedia.org/wiki/Subway_(restaurant),Subway,1699,0.0,0.0,PROPER,0.02747529931366444,0.30000001192092896,0.0,Subway,subway,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
AG4FbvMUM6M,dalkom,OTHER,,,dalkom,11,0.4000000059604645,-0.4000000059604645,PROPER,0.0268673375248909,0.4000000059604645,-0.4000000059604645,dalkom,dalkom,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,creme,OTHER,,,creme,181,0.6000000238418579,0.6000000238418579,COMMON,0.026104345917701718,0.6000000238418579,0.6000000238418579,creme,creme,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreos,OTHER,,,Oreos,633,0.10000000149011612,0.10000000149011612,COMMON,0.02558334544301033,0.20000000298023224,0.0,Oreos,oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,center,LOCATION,,,center,197,0.4000000059604645,-0.4000000059604645,COMMON,0.02173561416566372,0.4000000059604645,-0.4000000059604645,center,center,,,,,"LOCATION, ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
AG4FbvMUM6M,scandal,EVENT,,,scandal,209,0.30000001192092896,-0.30000001192092896,COMMON,0.02173561416566372,0.30000001192092896,-0.30000001192092896,scandal,scandal,,,,,EVENT,EVENT,EVENT,EVENT
AG4FbvMUM6M,size,OTHER,,,size,819,0.0,0.0,COMMON,0.018427887931466103,0.10000000149011612,0.0,size,size,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,stuff,OTHER,,,stuff,537,0.6000000238418579,-0.6000000238418579,COMMON,0.015674136579036713,0.6000000238418579,-0.6000000238418579,stuff,stuff,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,stuf Oreos,OTHER,,,stuf Oreos,372,0.0,0.0,COMMON,0.014996279031038284,0.0,0.0,stuf Oreos,stuf oreo,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,high school math class,PERSON,,,high school math class,277,0.0,0.0,COMMON,0.014697085134685041,0.0,0.0,high school math class,high school math class,,,,,,PERSON,PERSON,PERSON
AG4FbvMUM6M,stuff,OTHER,,,stuff,344,0.0,0.0,COMMON,0.01408738736063242,0.0,0.0,stuff,stuff,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,foot,OTHER,,,foot,1742,0.30000001192092896,0.30000001192092896,COMMON,0.012796140275895596,0.8999999761581421,0.4000000059604645,foot,foot,,,,,"LOCATION, PERSON, ORGANIZATION",OTHER,OTHER,OTHER
AG4FbvMUM6M,foot,OTHER,,,name,1770,0.6000000238418579,0.6000000238418579,COMMON,0.012796140275895596,0.8999999761581421,0.4000000059604645,foot,foot,,,,,"LOCATION, PERSON, ORGANIZATION",OTHER,OTHER,OTHER
AG4FbvMUM6M,Most,PERSON,,,Most,384,0.5,-0.5,COMMON,0.01020250003784895,0.5,-0.5,Most,most,,,,,,PERSON,PERSON,PERSON
AG4FbvMUM6M,stuff,OTHER,,,stuff,774,0.0,0.0,COMMON,0.008981590159237385,0.0,0.0,stuff,stuff,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,practice,OTHER,,,practice,406,0.0,0.0,COMMON,0.008225815370678902,0.0,0.0,practice,practice,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,class,OTHER,,,class,870,0.20000000298023224,0.20000000298023224,COMMON,0.00789098534733057,0.20000000298023224,0.20000000298023224,class,class,,,,,ORGANIZATION,OTHER,OTHER,OTHER
AG4FbvMUM6M,time,OTHER,,,time,946,0.10000000149011612,0.10000000149011612,COMMON,0.007844625972211361,0.10000000149011612,0.10000000149011612,time,time,,,,,EVENT,OTHER,OTHER,OTHER
AG4FbvMUM6M,statement,OTHER,,,statement,1450,0.20000000298023224,-0.20000000298023224,COMMON,0.007382076233625413,0.20000000298023224,-0.20000000298023224,statement,statement,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,sub,OTHER,,,sub,1076,0.20000000298023224,-0.20000000298023224,COMMON,0.007238877471536399,0.20000000298023224,-0.20000000298023224,sub,sub,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,food favorite,OTHER,,,food favorite,953,0.10000000149011612,0.10000000149011612,COMMON,0.006724431179463863,0.10000000149011612,0.10000000149011612,food favorite,food favorite,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreos cream content,OTHER,,,Oreos cream content,705,0.30000001192092896,0.30000001192092896,COMMON,0.006380249746143818,0.30000001192092896,0.30000001192092896,Oreos cream content,oreos cream content,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,sides,OTHER,,,sides,506,0.10000000149011612,0.10000000149011612,COMMON,0.0063196271657943726,0.10000000149011612,0.10000000149011612,side,side,,,,,"LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
AG4FbvMUM6M,side,OTHER,,,side,479,0.699999988079071,0.699999988079071,COMMON,0.0063196271657943726,0.699999988079071,0.699999988079071,side,side,,,,,"LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
AG4FbvMUM6M,original,WORK_OF_ART,,,original,604,0.0,0.0,COMMON,0.006302320398390293,0.0,0.0,original,original,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
AG4FbvMUM6M,cookie calculations,OTHER,,,cookie calculations,742,0.0,0.0,COMMON,0.0056048636324703685,0.0,0.0,cookie calculation,cookie calculation,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,equation,OTHER,,,equation,679,0.0,0.0,COMMON,0.0056048636324703685,0.0,0.0,equation,equation,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,whole,OTHER,,,whole,881,0.0,0.0,COMMON,0.005592315923422575,0.0,0.0,whole,whole,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,half,OTHER,,,half,454,0.20000000298023224,-0.20000000298023224,COMMON,0.005551593378186226,0.20000000298023224,-0.20000000298023224,half,half,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,data,OTHER,,,data,644,0.0,0.0,COMMON,0.00553638581186533,0.0,0.0,datum,datum,,,,,ORGANIZATION,OTHER,OTHER,OTHER
AG4FbvMUM6M,photo,WORK_OF_ART,,,photo,1037,0.10000000149011612,-0.10000000149011612,COMMON,0.005131186451762915,0.10000000149011612,-0.10000000149011612,photo,photo,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
AG4FbvMUM6M,customers,PERSON,,,customers,1027,0.20000000298023224,0.20000000298023224,COMMON,0.005131186451762915,0.20000000298023224,0.20000000298023224,customer,customer,,,,,PERSON,PERSON,PERSON,PERSON
AG4FbvMUM6M,nation,LOCATION,,,nation,1129,0.6000000238418579,0.6000000238418579,COMMON,0.005131186451762915,0.6000000238418579,0.6000000238418579,nation,nation,,,,,"ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
AG4FbvMUM6M,Upstate New York,LOCATION,/m/029mpb,https://en.wikipedia.org/wiki/Upstate_New_York,Upstate New York,303,0.0,0.0,PROPER,0.004882310051470995,0.0,0.0,Upstate New York,upstate new york,,,,,,LOCATION,LOCATION,LOCATION
AG4FbvMUM6M,recipe,WORK_OF_ART,,,recipe,1558,0.6000000238418579,-0.6000000238418579,COMMON,0.004514924716204405,0.6000000238418579,-0.6000000238418579,recipe,recipe,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
AG4FbvMUM6M,amount,OTHER,,,amount,1298,0.0,0.0,COMMON,0.004321677144616842,0.20000000298023224,-0.10000000149011612,amount,amount,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,classroom setting,OTHER,,,classroom setting,1509,0.20000000298023224,-0.20000000298023224,COMMON,0.0038477911148220296,0.20000000298023224,-0.20000000298023224,classroom set,classroom set,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Oreo cookie,OTHER,,,Oreo cookie,1676,0.5,-0.5,COMMON,0.003827206324785948,0.5,-0.5,Oreo cookie,oreo cookie,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,cookie,OTHER,,,cookie,1591,0.0,0.0,COMMON,0.003827206324785948,0.0,0.0,cookie,cookie,,,,,PERSON,OTHER,OTHER,OTHER
AG4FbvMUM6M,stuff,OTHER,,,stuff,1613,0.4000000059604645,-0.4000000059604645,COMMON,0.003827206324785948,0.4000000059604645,-0.4000000059604645,stuff,stuff,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,students,PERSON,,,students,571,0.0,0.0,COMMON,0.003644517855718732,0.0,0.0,student,student,,,,,PERSON,PERSON,PERSON,PERSON
AG4FbvMUM6M,measurement,OTHER,,,measurement,1805,0.0,0.0,COMMON,0.003315407084301114,0.0,0.0,measurement,measurement,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,Dan Anderson,PERSON,,,Dan Anderson,558,0.0,0.0,PROPER,0.003273108741268516,0.0,0.0,Dan Anderson,dan anderson,,,,,,PERSON,PERSON,PERSON
AG4FbvMUM6M,Fire,ORGANIZATION,,,Fire,982,0.0,0.0,PROPER,0.003033369779586792,0.0,0.0,Fire,fire,,,,,EVENT,ORGANIZATION,ORGANIZATION,ORGANIZATION
AG4FbvMUM6M,base,OTHER,,,base,1659,0.10000000149011612,-0.10000000149011612,COMMON,0.002693118993192911,0.10000000149011612,-0.10000000149011612,base,base,,,,,"LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
AG4FbvMUM6M,cream filling,OTHER,,,cream filling,1622,0.6000000238418579,-0.6000000238418579,COMMON,0.002693118993192911,0.6000000238418579,-0.6000000238418579,cream filling,cream filling,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,length,OTHER,,,length,1820,0.0,0.0,COMMON,0.002689629327505827,0.0,0.0,length,length,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,cookies,OTHER,,,cookies,1308,0.0,0.0,COMMON,0.002405282109975815,0.0,0.0,cooky,cooky,,,,,PERSON,OTHER,OTHER,OTHER
AG4FbvMUM6M,cream,CONSUMER_GOOD,,,cream,1238,0.20000000298023224,-0.20000000298023224,COMMON,0.002268968382850289,0.20000000298023224,-0.20000000298023224,cream,cream,,,,,ORGANIZATION,OTHER,OTHER,OTHER
AG4FbvMUM6M,spokesman,PERSON,,,spokesman,1418,0.699999988079071,-0.699999988079071,COMMON,0.0021055033430457115,0.699999988079071,-0.699999988079071,spokesman,spokesman,,,,,PERSON,PERSON,PERSON,PERSON
AG4FbvMUM6M,controversy,OTHER,,,controversy,1201,0.8999999761581421,-0.8999999761581421,COMMON,0.0019304370507597925,0.8999999761581421,-0.8999999761581421,controversy,controversy,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,helm,OTHER,,,helm,1272,0.20000000298023224,-0.20000000298023224,COMMON,0.0016922801733016968,0.20000000298023224,-0.20000000298023224,helm,helm,,,,,,OTHER,OTHER,OTHER
AG4FbvMUM6M,mr,PERSON,,,mr,1321,0.0,0.0,COMMON,0.0016922801733016968,0.0,0.0,mr,mr,,,,,,PERSON,PERSON,PERSON
AG4FbvMUM6M,Cuomo,PERSON,/m/02pjpd,https://en.wikipedia.org/wiki/Andrew_Cuomo,Cuomo,1325,0.20000000298023224,0.20000000298023224,PROPER,0.0009982532355934381,0.20000000298023224,0.20000000298023224,Cuomo,cuomo,,,,,,PERSON,PERSON,PERSON
