storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
FfcjCuSgNfY,community game,WORK_OF_ART,,,community game,454,0.0,0.0,COMMON,0.3974523842334747,5.800000190734862,0.20000000298023224,community game,community game,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
FfcjCuSgNfY,community game,WORK_OF_ART,,,game,858,0.8999999761581421,0.8999999761581421,COMMON,0.3974523842334747,5.800000190734862,0.20000000298023224,community game,community game,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
FfcjCuSgNfY,cat,OTHER,,,cat,235,0.10000000149011612,-0.10000000149011612,COMMON,0.28750863671302795,0.30000001192092896,0.0,cat,cat,,,,,PERSON,OTHER,OTHER,OTHER
FfcjCuSgNfY,clips,WORK_OF_ART,,,clips,37,0.0,0.0,COMMON,0.03356223180890083,0.0,0.0,clip,clip,,,,,EVENT,WORK_OF_ART,WORK_OF_ART,EVENT
FfcjCuSgNfY,game players,PERSON,,,game players,197,0.5,-0.5,COMMON,0.03349170461297035,1.7999999523162842,-0.4000000059604645,game player,game player,,,,,,PERSON,PERSON,PERSON
FfcjCuSgNfY,Joseph,PERSON,,,Joseph,385,0.10000000149011612,-0.10000000149011612,PROPER,0.02497907727956772,0.5,0.0,Joseph,joseph,,,,,PERSON,PERSON,PERSON,PERSON
FfcjCuSgNfY,Joseph,PERSON,,,Joseph,429,0.0,0.0,PROPER,0.02497907727956772,0.5,0.0,Joseph,joseph,,,,,PERSON,PERSON,PERSON,PERSON
FfcjCuSgNfY,Joseph,PERSON,,,Joseph,722,0.10000000149011612,0.10000000149011612,PROPER,0.02497907727956772,0.5,0.0,Joseph,joseph,,,,,PERSON,PERSON,PERSON,PERSON
FfcjCuSgNfY,Joseph,PERSON,,,Joseph,930,0.20000000298023224,0.20000000298023224,PROPER,0.02497907727956772,0.5,0.0,Joseph,joseph,,,,,PERSON,PERSON,PERSON,PERSON
FfcjCuSgNfY,YouTube,OTHER,/m/09jcvs,https://en.wikipedia.org/wiki/YouTube,YouTube,25,0.10000000149011612,0.10000000149011612,PROPER,0.0247822254896164,0.20000000298023224,0.0,YouTube,youtube,,,,,,OTHER,OTHER,OTHER
FfcjCuSgNfY,YouTube,OTHER,/m/09jcvs,https://en.wikipedia.org/wiki/YouTube,YouTube,54,0.0,0.0,PROPER,0.0247822254896164,0.20000000298023224,0.0,YouTube,youtube,,,,,,OTHER,OTHER,OTHER
FfcjCuSgNfY,YouTube,OTHER,/m/09jcvs,https://en.wikipedia.org/wiki/YouTube,YouTube,1305,0.0,0.0,PROPER,0.0247822254896164,0.20000000298023224,0.0,YouTube,youtube,,,,,,OTHER,OTHER,OTHER
FfcjCuSgNfY,commentary,WORK_OF_ART,,,commentary,168,0.20000000298023224,-0.20000000298023224,COMMON,0.021580491214990616,0.20000000298023224,-0.20000000298023224,commentary,commentary,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
FfcjCuSgNfY,voice,OTHER,,,voice,139,0.0,0.0,COMMON,0.016210475936532017,0.0,0.0,voice,voice,,,,,"EVENT, PERSON",OTHER,OTHER,OTHER
FfcjCuSgNfY,advert,OTHER,,,advert,1069,0.6000000238418579,-0.6000000238418579,COMMON,0.011875830590724943,0.8999999761581421,-0.20000000298023224,advert,advert,,,,,,OTHER,OTHER,OTHER
FfcjCuSgNfY,game,EVENT,,,game,117,0.0,0.0,COMMON,0.011304367333650587,0.0,0.0,game,game,,,,,,EVENT,EVENT,EVENT
FfcjCuSgNfY,players,PERSON,,,players,750,0.0,0.0,COMMON,0.008797760121524334,0.20000000298023224,0.10000000149011612,player,player,,,,,PERSON,PERSON,PERSON,PERSON
FfcjCuSgNfY,videos,WORK_OF_ART,,,videos,356,0.0,0.0,COMMON,0.007574086543172599,0.0,0.0,video,video,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
