storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
JPNXcOPxYFo,Randy Travis,PERSON,/m/016srn,https://en.wikipedia.org/wiki/Randy_Travis,Randy Travis,42,0.0,0.0,PROPER,0.4272347390651703,0.20000000298023224,0.10000000149011612,Randy Travis,randy travis,,,,,,PERSON,PERSON,PERSON
JPNXcOPxYFo,hand,OTHER,,,hand,123,0.0,0.0,COMMON,0.12701798975467682,0.10000000149011612,0.0,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
JPNXcOPxYFo,hand,OTHER,,,hand,411,0.0,0.0,COMMON,0.12701798975467682,0.10000000149011612,0.0,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
JPNXcOPxYFo,fellas,PERSON,,,fellas,19,0.8000000119209291,0.8000000119209291,COMMON,0.11137323081493378,0.8000000119209291,0.8000000119209291,fella,fella,,,,,PERSON,PERSON,PERSON,PERSON
JPNXcOPxYFo,world,LOCATION,,,world,33,0.0,0.0,COMMON,0.11137323081493378,0.0,0.0,world,world,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
JPNXcOPxYFo,gold,OTHER,,,gold,337,0.10000000149011612,-0.10000000149011612,COMMON,0.03936150670051575,0.4000000059604645,0.0,gold,gold,,,,,,OTHER,OTHER,OTHER
JPNXcOPxYFo,reasons,OTHER,,,reasons,138,0.4000000059604645,0.4000000059604645,COMMON,0.02354704961180687,0.4000000059604645,0.4000000059604645,reason,reason,,,,,,OTHER,OTHER,OTHER
JPNXcOPxYFo,Curtis,PERSON,,,Curtis,511,0.0,0.0,PROPER,0.02162553369998932,0.0,0.0,Curtis,curtis,,,,,PERSON,PERSON,PERSON,PERSON
JPNXcOPxYFo,Curtis,PERSON,,,Mr.,507,0.0,0.0,COMMON,0.02162553369998932,0.0,0.0,Curtis,curtis,,,,,PERSON,PERSON,PERSON,PERSON
JPNXcOPxYFo,person,PERSON,,,person,77,0.20000000298023224,0.20000000298023224,COMMON,0.020802024751901627,0.20000000298023224,0.20000000298023224,person,person,,,,,,PERSON,PERSON,PERSON
JPNXcOPxYFo,lovers games,EVENT,,,lovers games,216,0.5,0.5,COMMON,0.01971040293574333,0.5,0.5,lover game,lover game,,,,,,EVENT,EVENT,EVENT
JPNXcOPxYFo,reason,OTHER,,,reason,281,0.20000000298023224,-0.20000000298023224,COMMON,0.019241157919168472,0.20000000298023224,-0.20000000298023224,reason,reason,,,,,,OTHER,OTHER,OTHER
JPNXcOPxYFo,hand,OTHER,,,hand,264,0.10000000149011612,0.10000000149011612,COMMON,0.018892165273427963,0.10000000149011612,0.10000000149011612,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
JPNXcOPxYFo,hand,OTHER,,,hand,321,0.0,0.0,COMMON,0.01729303039610386,0.0,0.0,hand,hand,,,,,"PERSON, LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
JPNXcOPxYFo,break,EVENT,,,break,566,0.4000000059604645,-0.4000000059604645,COMMON,0.007731180172413588,0.4000000059604645,-0.4000000059604645,break,break,,,,,EVENT,EVENT,EVENT,EVENT
JPNXcOPxYFo,Van,PERSON,,,Van,346,0.0,0.0,PROPER,0.007641618140041828,0.0,0.0,Van,van,,,,,ORGANIZATION,PERSON,PERSON,PERSON
JPNXcOPxYFo,someone,PERSON,,,someone,371,0.0,0.0,COMMON,0.007541663013398647,0.10000000149011612,0.0,someone,someone,,,,,,PERSON,PERSON,PERSON
JPNXcOPxYFo,stay,EVENT,,,stay,435,0.0,0.0,COMMON,0.0071334890089929095,0.0,0.0,stay,stay,,,,,,EVENT,EVENT,EVENT
JPNXcOPxYFo,luck,OTHER,,,luck,524,0.8999999761581421,0.8999999761581421,COMMON,0.00676158769056201,0.8999999761581421,0.8999999761581421,luck,luck,,,,,,OTHER,OTHER,OTHER
JPNXcOPxYFo,Kristen McCoy,PERSON,,,Kristen McCoy,491,0.0,0.0,PROPER,0.0057184044271707535,0.0,0.0,Kristen McCoy,kristen mccoy,,,,,,PERSON,PERSON,PERSON
