storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
QMjnYYZWv4w,boat,OTHER,,,boat,46,0.0,0.0,COMMON,0.2769767642021179,0.30000001192092896,-0.10000000149011612,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,driver,PERSON,,,driver,220,0.20000000298023224,-0.20000000298023224,COMMON,0.08436219394207001,0.30000001192092896,0.0,driver,driver,,,,,PERSON,PERSON,PERSON,PERSON
QMjnYYZWv4w,driver,PERSON,,,driver,356,0.0,0.0,COMMON,0.08436219394207001,0.30000001192092896,0.0,driver,driver,,,,,PERSON,PERSON,PERSON,PERSON
QMjnYYZWv4w,driver,PERSON,,,driver,336,0.0,0.0,COMMON,0.06665271520614624,0.5,0.0,driver,driver,,,,,PERSON,PERSON,PERSON,PERSON
QMjnYYZWv4w,Long Island,LOCATION,/m/04n3l,https://en.wikipedia.org/wiki/Long_Island,Long Island,69,0.0,0.0,PROPER,0.04618069529533386,0.0,0.0,Long Island,long island,,,,,LOCATION,LOCATION,LOCATION,LOCATION
QMjnYYZWv4w,fireworks,OTHER,,,fireworks,183,0.10000000149011612,-0.10000000149011612,COMMON,0.044547323137521744,0.10000000149011612,-0.10000000149011612,firework,firework,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,wave,OTHER,,,wave,615,0.10000000149011612,-0.10000000149011612,COMMON,0.04144981503486633,0.10000000149011612,0.0,wave,wave,,,,,"EVENT, PERSON",OTHER,OTHER,OTHER
QMjnYYZWv4w,New York,LOCATION,/m/02_286,https://en.wikipedia.org/wiki/New_York_City,New York,0,0.4000000059604645,0.4000000059604645,PROPER,0.04061303287744522,0.4000000059604645,0.4000000059604645,New York,new york,,,,,LOCATION,LOCATION,LOCATION,LOCATION
QMjnYYZWv4w,fourth,OTHER,,,fourth,200,0.10000000149011612,-0.10000000149011612,COMMON,0.03301975131034851,0.10000000149011612,-0.10000000149011612,fourth,fourth,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,outing,EVENT,,,outing,163,0.20000000298023224,-0.20000000298023224,COMMON,0.03301975131034851,0.20000000298023224,-0.20000000298023224,out,out,,,,,,EVENT,EVENT,EVENT
QMjnYYZWv4w,children,PERSON,,,children,144,0.8000000119209291,-0.8000000119209291,COMMON,0.03301975131034851,0.8000000119209291,-0.8000000119209291,child,child,,,,,PERSON,PERSON,PERSON,PERSON
QMjnYYZWv4w,News 12 Long Island,ORGANIZATION,/m/02z70zh,,News 12 Long Island,289,0.10000000149011612,-0.10000000149011612,PROPER,0.023708704859018333,0.20000000298023224,-0.10000000149011612,News 12 Long Island,news 12 long island,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
QMjnYYZWv4w,News 12 Long Island,ORGANIZATION,/m/02z70zh,,affiliate,279,0.10000000149011612,-0.10000000149011612,COMMON,0.023708704859018333,0.20000000298023224,-0.10000000149011612,News 12 Long Island,news 12 long island,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
QMjnYYZWv4w,boat,CONSUMER_GOOD,,,boat,234,0.10000000149011612,-0.10000000149011612,COMMON,0.02085207216441632,0.10000000149011612,-0.10000000149011612,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,OTHER,,,boat,320,0.0,0.0,COMMON,0.020778687670826912,0.0,0.0,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,CONSUMER_GOOD,,,boat,370,0.0,0.0,COMMON,0.02072194218635559,0.0,0.0,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,OTHER,,,boat,666,0.0,0.0,COMMON,0.01754210889339447,0.0,0.0,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boats,OTHER,,,boats,581,0.0,0.0,COMMON,0.014109140262007713,0.0,0.0,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,story,OTHER,,,story,266,0.0,0.0,COMMON,0.012479260563850405,0.0,0.0,story,story,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,motion,OTHER,,,motion,1290,0.0,0.0,COMMON,0.011910137720406055,0.5,-0.20000000298023224,motion,motion,,,,,EVENT,OTHER,OTHER,OTHER
QMjnYYZWv4w,side,OTHER,,,side,254,0.0,0.0,COMMON,0.010577846318483351,0.0,0.0,side,side,,,,,"LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
QMjnYYZWv4w,rogue wave,EVENT,,,rogue wave,739,0.10000000149011612,-0.10000000149011612,COMMON,0.01031882781535387,0.10000000149011612,-0.10000000149011612,rogue wave,rogue wave,,,,,,EVENT,EVENT,EVENT
QMjnYYZWv4w,fireworks,OTHER,,,fireworks,438,0.0,0.0,COMMON,0.0101085864007473,0.0,0.0,firework,firework,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,OTHER,,,boat,1197,0.10000000149011612,0.10000000149011612,COMMON,0.009641564451158048,0.10000000149011612,0.10000000149011612,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,weather,OTHER,,,weather,559,0.0,0.0,COMMON,0.009605522267520428,0.0,0.0,weather,weather,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,weather,OTHER,,,weather,840,0.0,0.0,COMMON,0.009542107582092285,0.0,0.0,weather,weather,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,side,OTHER,,,side,761,0.0,0.0,COMMON,0.00876486673951149,0.0,0.0,side,side,,,,,"LOCATION, ORGANIZATION, EVENT",OTHER,OTHER,OTHER
QMjnYYZWv4w,home,LOCATION,,,home,470,0.0,0.0,COMMON,0.00835090596228838,0.0,0.0,home,home,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
QMjnYYZWv4w,wave guys,PERSON,,,wave guys,482,0.20000000298023224,-0.20000000298023224,COMMON,0.00835090596228838,0.20000000298023224,-0.20000000298023224,wave guy,wave guy,,,,,,PERSON,PERSON,PERSON
QMjnYYZWv4w,wave,OTHER,,,wave,1214,0.4000000059604645,-0.4000000059604645,COMMON,0.007720900233834981,0.4000000059604645,-0.4000000059604645,wave,wave,,,,,"EVENT, PERSON",OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,OTHER,,,boat,510,0.20000000298023224,-0.20000000298023224,COMMON,0.00755430245772004,0.20000000298023224,-0.20000000298023224,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,boat,OTHER,,,boat,541,0.4000000059604645,-0.4000000059604645,COMMON,0.00755430245772004,0.4000000059604645,-0.4000000059604645,boat,boat,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,CNN,ORGANIZATION,/m/0gsgr,https://en.wikipedia.org/wiki/CNN,CNN,275,0.0,0.0,PROPER,0.00738086411729455,0.0,0.0,CNN,cnn,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
QMjnYYZWv4w,everybody,PERSON,,,everybody,1074,0.10000000149011612,0.10000000149011612,COMMON,0.0065270005725324145,0.10000000149011612,0.10000000149011612,everybody,everybody,,,,,,PERSON,PERSON,PERSON
QMjnYYZWv4w,ball,OTHER,,,ball,1115,0.10000000149011612,-0.10000000149011612,COMMON,0.005771620199084282,0.10000000149011612,-0.10000000149011612,ball,ball,,,,,"ORGANIZATION, PERSON, EVENT",OTHER,OTHER,OTHER
QMjnYYZWv4w,water,OTHER,,,water,1095,0.10000000149011612,-0.10000000149011612,COMMON,0.005771620199084282,0.10000000149011612,-0.10000000149011612,water,water,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,Sal,PERSON,,,Sal,1000,0.0,0.0,PROPER,0.005685898009687662,0.4000000059604645,0.20000000298023224,Sal,sal,,,,,,PERSON,PERSON,PERSON
QMjnYYZWv4w,Sal,PERSON,,,Uncle,994,0.30000001192092896,0.30000001192092896,COMMON,0.005685898009687662,0.4000000059604645,0.20000000298023224,Sal,sal,,,,,,PERSON,PERSON,PERSON
QMjnYYZWv4w,Chaos,ORGANIZATION,,,Chaos,1105,0.10000000149011612,0.10000000149011612,PROPER,0.003411318641155957,0.10000000149011612,0.10000000149011612,Chaos,chaos,,,,,PERSON,ORGANIZATION,ORGANIZATION,ORGANIZATION
QMjnYYZWv4w,thing,OTHER,,,thing,878,0.10000000149011612,0.10000000149011612,COMMON,0.003266402753069997,0.10000000149011612,0.10000000149011612,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
QMjnYYZWv4w,thing,OTHER,,,thing,1022,0.20000000298023224,0.20000000298023224,COMMON,0.0028812140226364136,0.20000000298023224,0.20000000298023224,thing,thing,,,,,EVENT,OTHER,OTHER,OTHER
QMjnYYZWv4w,rocker,OTHER,,,rocker,953,0.0,0.0,COMMON,0.0025366132613271475,0.0,0.0,rocker,rocker,,,,,PERSON,OTHER,OTHER,OTHER
QMjnYYZWv4w,lightning bolts,OTHER,,,lightning bolts,905,0.0,0.0,COMMON,0.0025366132613271475,0.0,0.0,lightning bolt,lightning bolt,,,,,,OTHER,OTHER,OTHER
QMjnYYZWv4w,Josh Ian,PERSON,,,Josh Ian,1363,0.0,0.0,PROPER,0.0023771002888679504,0.0,0.0,Josh Ian,josh ian,,,,,,PERSON,PERSON,PERSON
QMjnYYZWv4w,nephew,PERSON,,,nephew,935,0.0,0.0,COMMON,0.001819238648749888,0.0,0.0,nephew,nephew,,,,,PERSON,PERSON,PERSON,PERSON
