storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
SCOmqmOI72I,Kenya,LOCATION,/m/019rg5,https://en.wikipedia.org/wiki/Kenya,Kenya,0,0.0,0.0,PROPER,0.10483849793672564,0.30000001192092896,0.10000000149011612,Kenya,kenya,,,,,LOCATION,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,release,EVENT,,,release,24,0.30000001192092896,0.30000001192092896,COMMON,0.065981425344944,0.30000001192092896,0.30000001192092896,release,release,,,,,EVENT,EVENT,EVENT,EVENT
SCOmqmOI72I,mockumentary,WORK_OF_ART,,,mockumentary,45,0.30000001192092896,0.30000001192092896,COMMON,0.06210572272539139,0.30000001192092896,0.30000001192092896,mockumentary,mockumentary,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
SCOmqmOI72I,fun,OTHER,,,fun,68,0.30000001192092896,0.30000001192092896,COMMON,0.06210572272539139,0.30000001192092896,0.30000001192092896,fun,fun,,,,,,OTHER,OTHER,OTHER
SCOmqmOI72I,world,LOCATION,,,world,97,0.10000000149011612,0.10000000149011612,COMMON,0.06210572272539139,0.10000000149011612,0.10000000149011612,world,world,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,Switzerland,LOCATION,/m/06mzp,https://en.wikipedia.org/wiki/Switzerland,Switzerland,1127,0.10000000149011612,-0.10000000149011612,PROPER,0.04259556159377098,0.30000001192092896,0.0,Switzerland,switzerland,,,,,LOCATION,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,Switzerland,LOCATION,/m/06mzp,https://en.wikipedia.org/wiki/Switzerland,Switzerland,1338,0.0,0.0,PROPER,0.04259556159377098,0.30000001192092896,0.0,Switzerland,switzerland,,,,,LOCATION,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,Switzerland,LOCATION,/m/06mzp,https://en.wikipedia.org/wiki/Switzerland,Switzerland,1437,0.0,0.0,PROPER,0.04259556159377098,0.30000001192092896,0.0,Switzerland,switzerland,,,,,LOCATION,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,NGO,OTHER,/m/0ckys,https://en.wikipedia.org/wiki/Non-governmental_organization,NGO,93,0.10000000149011612,0.10000000149011612,PROPER,0.04200198873877525,0.20000000298023224,0.0,NGO,ngo,,,,,ORGANIZATION,OTHER,OTHER,OTHER
SCOmqmOI72I,NGO,OTHER,/m/0ckys,https://en.wikipedia.org/wiki/Non-governmental_organization,NGO,234,0.0,0.0,PROPER,0.04200198873877525,0.20000000298023224,0.0,NGO,ngo,,,,,ORGANIZATION,OTHER,OTHER,OTHER
SCOmqmOI72I,sight,OTHER,,,sight,120,0.20000000298023224,0.20000000298023224,COMMON,0.037658799439668655,0.20000000298023224,0.20000000298023224,sight,sight,,,,,,OTHER,OTHER,OTHER
SCOmqmOI72I,The Perils,LOCATION,,,The Perils,75,0.4000000059604645,0.4000000059604645,PROPER,0.03693753480911255,0.4000000059604645,0.4000000059604645,The Perils,the peril,,,,,,LOCATION,LOCATION,LOCATION
SCOmqmOI72I,comedy,OTHER,,,comedy,173,0.10000000149011612,-0.10000000149011612,COMMON,0.029882380738854405,0.10000000149011612,-0.10000000149011612,comedy,comedy,,,,,,OTHER,OTHER,OTHER
SCOmqmOI72I,Hussein,PERSON,,,Hussein,290,0.0,0.0,PROPER,0.025334056466817856,0.0,0.0,Hussein,hussein,,,,,PERSON,PERSON,PERSON,PERSON
