storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
XdM90yZFW5I,exhibits,OTHER,,,exhibits,619,0.10000000149011612,0.10000000149011612,COMMON,0.09121254831552504,0.4000000059604645,0.0,exhibit,exhibit,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,all,OTHER,,,all,131,0.0,0.0,COMMON,0.07747426629066467,0.0,0.0,all,all,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,staff,PERSON,,,staff,36,0.699999988079071,0.699999988079071,COMMON,0.06753872334957123,0.699999988079071,0.699999988079071,staff,staff,,,,,ORGANIZATION,PERSON,PERSON,PERSON
XdM90yZFW5I,animals,OTHER,,,animals,69,0.0,0.0,COMMON,0.05349264293909073,0.0,0.0,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,route,OTHER,,,snow,1157,0.6000000238418579,0.6000000238418579,COMMON,0.05171302706003189,2.0999999046325684,0.5,route,route,,,,,LOCATION,OTHER,OTHER,OTHER
XdM90yZFW5I,route,OTHER,,,route,1233,0.6000000238418579,0.6000000238418579,COMMON,0.05171302706003189,2.0999999046325684,0.5,route,route,,,,,LOCATION,OTHER,OTHER,OTHER
XdM90yZFW5I,housing,OTHER,,,housing,879,0.10000000149011612,0.10000000149011612,COMMON,0.05076538771390915,0.30000001192092896,0.10000000149011612,housing,housing,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,animal,OTHER,,,animal,868,0.10000000149011612,0.10000000149011612,COMMON,0.03968264907598496,0.10000000149011612,0.0,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,access,OTHER,,,access,112,0.10000000149011612,0.10000000149011612,COMMON,0.03872547298669815,0.10000000149011612,0.10000000149011612,access,access,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,plowing equipment,CONSUMER_GOOD,,,plowing equipment,142,0.10000000149011612,0.10000000149011612,COMMON,0.03446473553776741,0.10000000149011612,0.10000000149011612,plow equipment,plow equipment,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,prep work,OTHER,,,prep work,175,0.0,0.0,COMMON,0.03446473553776741,0.0,0.0,prep work,prep work,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,lot,OTHER,,,lot,168,0.10000000149011612,0.10000000149011612,COMMON,0.03446473553776741,0.10000000149011612,0.10000000149011612,lot,lot,,,,,"LOCATION, ORGANIZATION, PERSON",OTHER,OTHER,OTHER
XdM90yZFW5I,some,PERSON,,,some,675,0.6000000238418579,-0.6000000238418579,COMMON,0.024868307635188103,1.0,-0.5,some,some,,,,,,PERSON,PERSON,PERSON
XdM90yZFW5I,animals,OTHER,,,animals,210,0.4000000059604645,0.4000000059604645,COMMON,0.019875876605510708,0.4000000059604645,0.4000000059604645,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,care,OTHER,,,care,233,0.8000000119209291,0.8000000119209291,COMMON,0.018808344379067414,0.8000000119209291,0.8000000119209291,care,care,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,branch,ORGANIZATION,,,branch,1172,0.4000000059604645,-0.4000000059604645,COMMON,0.01674964651465416,0.4000000059604645,-0.20000000298023224,branch,branch,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
XdM90yZFW5I,grills,OTHER,,,grills,313,0.4000000059604645,-0.4000000059604645,COMMON,0.016526486724615097,0.4000000059604645,-0.4000000059604645,grill,grill,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,storm,EVENT,,,storm,276,0.10000000149011612,-0.10000000149011612,COMMON,0.016329288482666016,0.10000000149011612,-0.10000000149011612,storm,storm,,,,,,EVENT,EVENT,EVENT
XdM90yZFW5I,Animal Care,ORGANIZATION,,,Animal Care,1431,0.20000000298023224,0.20000000298023224,PROPER,0.014393860474228859,0.4000000059604645,0.20000000298023224,Animal Care,animal care,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
XdM90yZFW5I,animals,OTHER,,,animals,693,0.30000001192092896,-0.30000001192092896,COMMON,0.013855265453457829,0.30000001192092896,-0.30000001192092896,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,animals,OTHER,,,animals,493,0.0,0.0,COMMON,0.013754484243690971,0.0,0.0,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,animals,OTHER,,,animals,431,0.0,0.0,COMMON,0.013754484243690971,0.0,0.0,animal,animal,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,advance,OTHER,,,advance,376,0.30000001192092896,0.30000001192092896,COMMON,0.013088149018585682,0.30000001192092896,0.30000001192092896,advance,advance,,,,,EVENT,OTHER,OTHER,OTHER
XdM90yZFW5I,weather events,EVENT,,,weather events,337,0.8999999761581421,-0.8999999761581421,COMMON,0.013088149018585682,0.8999999761581421,-0.8999999761581421,weather event,weather event,,,,,,EVENT,EVENT,EVENT
XdM90yZFW5I,stalls,LOCATION,,,stalls,841,0.10000000149011612,-0.10000000149011612,COMMON,0.011517765931785108,0.10000000149011612,-0.10000000149011612,stall,stall,,,,,EVENT,LOCATION,LOCATION,LOCATION
XdM90yZFW5I,storm,EVENT,,,storm,581,0.5,0.5,COMMON,0.01115939486771822,0.5,0.5,storm,storm,,,,,,EVENT,EVENT,EVENT
XdM90yZFW5I,weather,OTHER,,,weather,650,0.30000001192092896,-0.30000001192092896,COMMON,0.011103938333690166,0.30000001192092896,-0.30000001192092896,weather,weather,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,diets,OTHER,,,diets,367,0.20000000298023224,0.20000000298023224,COMMON,0.010363460518419744,0.20000000298023224,0.20000000298023224,diet,diet,,,,,ORGANIZATION,OTHER,OTHER,OTHER
XdM90yZFW5I,example,OTHER,,,example,723,0.0,0.0,COMMON,0.010128838941454887,0.0,0.0,example,example,,,,,EVENT,OTHER,OTHER,OTHER
XdM90yZFW5I,some,OTHER,,,some,474,0.8000000119209291,0.8000000119209291,COMMON,0.01005510054528713,0.8000000119209291,0.8000000119209291,some,some,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,exhibit,EVENT,,,exhibit,852,0.4000000059604645,-0.4000000059604645,COMMON,0.00929383095353842,0.4000000059604645,-0.4000000059604645,exhibit,exhibit,,,,,,EVENT,EVENT,EVENT
XdM90yZFW5I,access,OTHER,,,access,781,0.20000000298023224,0.20000000298023224,COMMON,0.009180288761854172,0.20000000298023224,0.20000000298023224,access,access,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,kind,OTHER,,,kind,573,0.5,0.5,COMMON,0.008942308835685253,0.5,0.5,kind,kind,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,peacocks,OTHER,,,peacocks,710,0.20000000298023224,-0.20000000298023224,COMMON,0.00889784749597311,0.20000000298023224,-0.20000000298023224,peacock,peacock,,,,,,OTHER,OTHER,OTHER
XdM90yZFW5I,bison,OTHER,,,bison,516,0.4000000059604645,0.4000000059604645,COMMON,0.008833052590489388,0.4000000059604645,0.4000000059604645,bison,bison,,,,,,OTHER,OTHER,OTHER
