storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
XueUJPyDgX8,video,WORK_OF_ART,,,video,53,0.20000000298023224,-0.20000000298023224,COMMON,0.2358475774526596,0.30000001192092896,-0.10000000149011612,video,video,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
XueUJPyDgX8,boys,PERSON,,,boys,74,0.20000000298023224,-0.20000000298023224,COMMON,0.18988889455795288,0.5,-0.10000000149011612,boy,boy,,,,,PERSON,PERSON,PERSON,PERSON
XueUJPyDgX8,people,PERSON,,,people,239,0.10000000149011612,-0.10000000149011612,COMMON,0.05932418629527093,0.699999988079071,-0.30000001192092896,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
XueUJPyDgX8,questions,OTHER,,,questions,96,0.0,0.0,COMMON,0.042341358959674835,0.0,0.0,question,question,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,cheekbones,OTHER,,,cheekbones,129,0.10000000149011612,-0.10000000149011612,COMMON,0.040918808430433266,0.4000000059604645,-0.20000000298023224,cheekbone,cheekbone,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,pictures,WORK_OF_ART,,,pictures,189,0.8000000119209291,-0.8000000119209291,COMMON,0.040717363357543945,0.8000000119209291,-0.4000000059604645,picture,picture,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
XueUJPyDgX8,activist,PERSON,,,activist,500,0.0,0.0,COMMON,0.031619876623153687,0.10000000149011612,0.0,activist,activist,,,,,PERSON,PERSON,PERSON,PERSON
XueUJPyDgX8,madaya,LOCATION,/m/02z2bs2,"https://en.wikipedia.org/wiki/Madaya,_Syria",madaya,512,0.0,0.0,COMMON,0.0265174750238657,0.20000000298023224,-0.10000000149011612,madaya,madaya,,,,,,LOCATION,LOCATION,LOCATION
XueUJPyDgX8,madaya,LOCATION,/m/02z2bs2,"https://en.wikipedia.org/wiki/Madaya,_Syria",madaya,594,0.20000000298023224,-0.20000000298023224,PROPER,0.0265174750238657,0.20000000298023224,-0.10000000149011612,madaya,madaya,,,,,,LOCATION,LOCATION,LOCATION
XueUJPyDgX8,opposition activist,PERSON,,,opposition activist,20,0.4000000059604645,-0.4000000059604645,COMMON,0.026488203555345532,0.4000000059604645,-0.4000000059604645,opposition activist,opposition activist,,,,,,PERSON,PERSON,PERSON
XueUJPyDgX8,Madea,PERSON,/m/07j8jt,https://en.wikipedia.org/wiki/Madea,Madea,64,0.0,0.0,PROPER,0.025138180702924732,0.0,0.0,Madea,madea,,,,,,PERSON,PERSON,PERSON
XueUJPyDgX8,eyes,OTHER,,,eyes,150,0.20000000298023224,-0.20000000298023224,COMMON,0.0161244235932827,0.20000000298023224,-0.20000000298023224,eye,eye,,,,,LOCATION,OTHER,OTHER,OTHER
XueUJPyDgX8,attention,OTHER,,,attention,171,0.20000000298023224,-0.20000000298023224,COMMON,0.0161244235932827,0.20000000298023224,-0.20000000298023224,attention,attention,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,food,OTHER,,,food,559,0.0,0.0,COMMON,0.015912946313619614,0.0,0.0,food,food,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,Foods,OTHER,,,Foods,585,0.10000000149011612,-0.10000000149011612,COMMON,0.01588289998471737,0.10000000149011612,-0.10000000149011612,Foods,food,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,United Nations,ORGANIZATION,/m/07t65,https://en.wikipedia.org/wiki/United_Nations,United Nations,908,0.10000000149011612,-0.10000000149011612,PROPER,0.01566896215081215,0.20000000298023224,-0.10000000149011612,United Nations,united nation,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
XueUJPyDgX8,supplies,OTHER,,,supplies,369,0.4000000059604645,-0.4000000059604645,COMMON,0.012331158854067327,0.4000000059604645,-0.4000000059604645,supply,supply,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,town,LOCATION,,,town,319,0.10000000149011612,-0.10000000149011612,COMMON,0.012331158854067327,0.10000000149011612,-0.10000000149011612,town,town,,,,,"LOCATION, ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
XueUJPyDgX8,rebels,PERSON,,,rebels,439,0.30000001192092896,-0.30000001192092896,COMMON,0.010968058370053768,0.30000001192092896,-0.30000001192092896,rebel,rebel,,,,,PERSON,PERSON,PERSON,PERSON
XueUJPyDgX8,besiegement,OTHER,,,besiegement,450,0.20000000298023224,-0.20000000298023224,COMMON,0.010968058370053768,0.20000000298023224,-0.20000000298023224,besiegement,besiegement,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,tactic,OTHER,,,tactic,478,0.6000000238418579,-0.6000000238418579,COMMON,0.010968058370053768,0.6000000238418579,-0.6000000238418579,tactic,tactic,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,gunfire,OTHER,,,gunfire,534,0.30000001192092896,-0.30000001192092896,COMMON,0.010899477638304234,0.30000001192092896,-0.30000001192092896,gunfire,gunfire,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,anyone,PERSON,,,anyone,329,0.0,0.0,COMMON,0.010834204964339731,0.0,0.0,anyone,anyone,,,,,,PERSON,PERSON,PERSON
XueUJPyDgX8,forces,ORGANIZATION,,,forces,296,0.8000000119209291,-0.8000000119209291,COMMON,0.010571364313364029,0.8000000119209291,-0.8000000119209291,force,force,,,,,"ORGANIZATION, PERSON",ORGANIZATION,ORGANIZATION,ORGANIZATION
XueUJPyDgX8,extortion,OTHER,,,extortion,622,0.8000000119209291,-0.8000000119209291,COMMON,0.009960406459867954,0.8000000119209291,-0.8000000119209291,extortion,extortion,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,Smugglers,PERSON,,,Smugglers,647,0.0,0.0,COMMON,0.009944084100425243,0.0,0.0,Smugglers,smuggler,,,,,PERSON,PERSON,PERSON,PERSON
XueUJPyDgX8,government,ORGANIZATION,,,government,418,0.4000000059604645,-0.4000000059604645,COMMON,0.009297072887420654,0.4000000059604645,-0.4000000059604645,government,government,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION
XueUJPyDgX8,children,PERSON,,,children,856,0.30000001192092896,-0.30000001192092896,COMMON,0.008137581869959831,0.30000001192092896,-0.30000001192092896,child,child,,,,,PERSON,PERSON,PERSON,PERSON
XueUJPyDgX8,woman,PERSON,,,woman,812,0.10000000149011612,-0.10000000149011612,COMMON,0.007475520018488169,0.10000000149011612,-0.10000000149011612,woman,woman,,,,,"PERSON, ORGANIZATION",PERSON,PERSON,PERSON
XueUJPyDgX8,bread,CONSUMER_GOOD,,,bread,881,0.10000000149011612,-0.10000000149011612,COMMON,0.0074667674489319324,0.10000000149011612,-0.10000000149011612,bread,bread,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,name,PERSON,,,name,837,0.0,0.0,COMMON,0.007375551853328944,0.0,0.0,name,name,,,,,"ORGANIZATION, PERSON",PERSON,PERSON,PERSON
XueUJPyDgX8,supplies,OTHER,,,supplies,954,0.0,0.0,COMMON,0.006805398501455786,0.0,0.0,supply,supply,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,Syria,LOCATION,/m/06vbd,https://en.wikipedia.org/wiki/Syria,Syria,397,0.6000000238418579,-0.6000000238418579,PROPER,0.006408111657947303,0.6000000238418579,-0.6000000238418579,Syria,syria,,,,,LOCATION,LOCATION,LOCATION,LOCATION
XueUJPyDgX8,War,WORK_OF_ART,,,War,405,0.4000000059604645,-0.4000000059604645,PROPER,0.006408111657947303,0.4000000059604645,-0.4000000059604645,War,war,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
XueUJPyDgX8,man,PERSON,,,man,712,0.0,0.0,COMMON,0.0060134157538414,0.0,0.0,man,man,,,,,"PERSON, LOCATION",PERSON,PERSON,PERSON
XueUJPyDgX8,town,LOCATION,,,town,981,0.4000000059604645,-0.4000000059604645,COMMON,0.005944511387497187,0.4000000059604645,-0.4000000059604645,town,town,,,,,"LOCATION, ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
XueUJPyDgX8,food,OTHER,,,food,785,0.20000000298023224,0.20000000298023224,COMMON,0.004098409786820412,0.20000000298023224,0.20000000298023224,food,food,,,,,,OTHER,OTHER,OTHER
XueUJPyDgX8,Istanbul,LOCATION,/m/09949m,https://en.wikipedia.org/wiki/Istanbul,Istanbul,1029,0.10000000149011612,-0.10000000149011612,PROPER,0.003533808281645179,0.10000000149011612,-0.10000000149011612,Istanbul,istanbul,,,,,LOCATION,LOCATION,LOCATION,LOCATION
XueUJPyDgX8,government soldiers,PERSON,,,government soldiers,663,0.0,0.0,COMMON,0.003288040170446039,0.0,0.0,government soldier,government soldier,,,,,,PERSON,PERSON,PERSON
XueUJPyDgX8,bags,CONSUMER_GOOD,,,bags,777,0.0,0.0,COMMON,0.0032832776196300983,0.0,0.0,bag,bag,,,,,PERSON,OTHER,OTHER,OTHER
XueUJPyDgX8,BBC News,ORGANIZATION,/m/049rl0,https://en.wikipedia.org/wiki/BBC_News,BBC News,1020,0.0,0.0,PROPER,0.003086406737565995,0.0,0.0,BBC News,bbc news,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
XueUJPyDgX8,James Reynolds,PERSON,,,James Reynolds,1005,0.10000000149011612,-0.10000000149011612,PROPER,0.003086406737565995,0.10000000149011612,-0.10000000149011612,James Reynolds,james reynolds,,,,,,PERSON,PERSON,PERSON
