storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
dpkTq8TVlqc,Iraqi,LOCATION,/m/0d05q4,https://en.wikipedia.org/wiki/Iraq,Iraqi,44,0.0,0.0,PROPER,0.10624047368764876,0.0,0.0,Iraqi,iraqi,,,,,PERSON,LOCATION,PERSON,PERSON
dpkTq8TVlqc,Iraqi,LOCATION,/m/0d05q4,https://en.wikipedia.org/wiki/Iraq,Iraqi,263,0.0,0.0,PROPER,0.10624047368764876,0.0,0.0,Iraqi,iraqi,,,,,PERSON,LOCATION,PERSON,PERSON
dpkTq8TVlqc,Iraqi,LOCATION,/m/0d05q4,https://en.wikipedia.org/wiki/Iraq,Iraqi,388,0.0,0.0,PROPER,0.10624047368764876,0.0,0.0,Iraqi,iraqi,,,,,PERSON,LOCATION,PERSON,PERSON
dpkTq8TVlqc,Iraqi,LOCATION,/m/0d05q4,https://en.wikipedia.org/wiki/Iraq,Iraqi,375,0.0,0.0,PROPER,0.10624047368764876,0.0,0.0,Iraqi,iraqi,,,,,PERSON,LOCATION,PERSON,PERSON
dpkTq8TVlqc,military personnel,PERSON,,,military personnel,171,0.30000001192092896,-0.30000001192092896,COMMON,0.055092528462409966,0.30000001192092896,-0.30000001192092896,military personnel,military personnel,,,,,"ORGANIZATION, PERSON",PERSON,PERSON,PERSON
dpkTq8TVlqc,group,ORGANIZATION,,,group,222,0.5,-0.5,COMMON,0.055092528462409966,0.5,-0.5,group,group,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
dpkTq8TVlqc,assault,EVENT,,,assault,136,0.6000000238418579,-0.6000000238418579,COMMON,0.04775311425328255,0.6000000238418579,-0.6000000238418579,assault,assault,,,,,,EVENT,EVENT,EVENT
dpkTq8TVlqc,AL Asad Airbase,LOCATION,/m/0b29rg,https://en.wikipedia.org/wiki/Al_Asad_Airbase,AL Asad Airbase,298,0.699999988079071,-0.699999988079071,PROPER,0.04743892326951027,0.699999988079071,-0.30000001192092896,AL Asad Airbase,al asad airbase,,,,,,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,town,LOCATION,,,town,50,0.20000000298023224,-0.20000000298023224,COMMON,0.046917449682950974,0.20000000298023224,-0.20000000298023224,town,town,,,,,"LOCATION, ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,town,LOCATION,,,town,107,0.0,0.0,COMMON,0.046917449682950974,0.0,0.0,town,town,,,,,"LOCATION, ORGANIZATION, PERSON",LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,militants,PERSON,,,militants,86,0.0,0.0,COMMON,0.041288189589977264,0.0,0.0,militant,militant,,,,,PERSON,PERSON,PERSON,PERSON
dpkTq8TVlqc,base housing,OTHER,,,base housing,155,0.4000000059604645,-0.4000000059604645,COMMON,0.041288189589977264,0.4000000059604645,-0.4000000059604645,base housing,base housing,,,,,,OTHER,OTHER,OTHER
dpkTq8TVlqc,Coalition warplanes,OTHER,,,Coalition warplanes,0,0.5,-0.5,COMMON,0.041288189589977264,0.5,-0.5,Coalition warplane,coalition warplane,,,,,,OTHER,OTHER,OTHER
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,US,168,0.20000000298023224,-0.20000000298023224,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,US,828,0.30000001192092896,-0.30000001192092896,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,US,1631,0.0,0.0,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,American,334,0.0,0.0,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,American,470,0.0,0.0,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,u.s.,1586,0.0,0.0,PROPER,0.03320251405239105,0.5,-0.10000000149011612,US,u,,,,,LOCATION,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,Isis,ORGANIZATION,/m/027x630,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant,Isis,81,0.0,0.0,PROPER,0.027906084433197968,0.0,0.0,Isis,isi,,,,,"PERSON, ORGANIZATION",ORGANIZATION,ORGANIZATION,ORGANIZATION
dpkTq8TVlqc,terror group,ORGANIZATION,,,terror group,1735,0.4000000059604645,-0.4000000059604645,COMMON,0.02726934663951397,0.5,-0.10000000149011612,terror group,terror group,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
dpkTq8TVlqc,terror group,ORGANIZATION,,,forces,1784,0.10000000149011612,-0.10000000149011612,COMMON,0.02726934663951397,0.5,-0.10000000149011612,terror group,terror group,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
dpkTq8TVlqc,Western,LOCATION,,,Western,36,0.0,0.0,PROPER,0.024537494406104088,0.0,0.0,Western,western,,,,,,LOCATION,LOCATION,LOCATION
dpkTq8TVlqc,al-baghdadi,EVENT,,,al-baghdadi,58,0.10000000149011612,-0.10000000149011612,PROPER,0.024537494406104088,0.10000000149011612,-0.10000000149011612,al-baghdadi,al-baghdadi,,,,,,EVENT,EVENT,EVENT
dpkTq8TVlqc,individuals,PERSON,,,individuals,1310,0.5,-0.5,COMMON,0.022537870332598686,0.8999999761581421,0.0,individual,individual,,,,,PERSON,PERSON,PERSON,PERSON
dpkTq8TVlqc,military personnel,PERSON,,,military personnel,343,0.0,0.0,COMMON,0.021077731624245644,0.0,0.0,military personnel,military personnel,,,,,"ORGANIZATION, PERSON",PERSON,PERSON,PERSON
dpkTq8TVlqc,forces,ORGANIZATION,,,forces,381,0.0,0.0,COMMON,0.021077731624245644,0.0,0.0,force,force,,,,,"ORGANIZATION, PERSON",ORGANIZATION,ORGANIZATION,ORGANIZATION
dpkTq8TVlqc,troops,PERSON,,,troops,394,0.0,0.0,COMMON,0.017917055636644363,0.0,0.0,troop,troop,,,,,ORGANIZATION,PERSON,PERSON,PERSON
dpkTq8TVlqc,threat,OTHER,,,threat,1103,0.20000000298023224,-0.20000000298023224,COMMON,0.01789067126810551,0.30000001192092896,0.0,threat,threat,,,,,PERSON,OTHER,OTHER,OTHER
