storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
joVbKTnNF8Q,enemy,OTHER,,,enemy,60,0.10000000149011612,0.10000000149011612,COMMON,0.3484050929546356,0.30000001192092896,0.10000000149011612,enemy,enemy,,,,,"ORGANIZATION, PERSON",OTHER,OTHER,OTHER
joVbKTnNF8Q,enemy,OTHER,,,duel,80,0.10000000149011612,0.10000000149011612,COMMON,0.3484050929546356,0.30000001192092896,0.10000000149011612,enemy,enemy,,,,,"ORGANIZATION, PERSON",OTHER,OTHER,OTHER
joVbKTnNF8Q,Messiah,PERSON,,,Messiah,17,0.10000000149011612,0.10000000149011612,COMMON,0.1884911805391312,0.10000000149011612,0.10000000149011612,Messiah,messiah,,,,,PERSON,PERSON,PERSON,PERSON
joVbKTnNF8Q,Nia,ORGANIZATION,,,Nia,25,0.20000000298023224,0.20000000298023224,PROPER,0.1088435724377632,0.20000000298023224,0.20000000298023224,Nia,nia,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
joVbKTnNF8Q,kitty,OTHER,,,kitty,171,0.8999999761581421,-0.8999999761581421,COMMON,0.06181994453072547,1.399999976158142,-0.699999988079071,kitty,kitty,,,,,,OTHER,OTHER,OTHER
joVbKTnNF8Q,fish,OTHER,,,fish,120,0.30000001192092896,0.30000001192092896,COMMON,0.05471833795309067,0.30000001192092896,0.30000001192092896,fish,fish,,,,,"PERSON, LOCATION",OTHER,OTHER,OTHER
joVbKTnNF8Q,tail,OTHER,,,tail,131,0.20000000298023224,0.20000000298023224,COMMON,0.05027006939053536,0.20000000298023224,0.20000000298023224,tail,tail,,,,,PERSON,OTHER,OTHER,OTHER
joVbKTnNF8Q,home,LOCATION,,,home,139,0.10000000149011612,0.10000000149011612,COMMON,0.05027006939053536,0.10000000149011612,0.10000000149011612,home,home,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
joVbKTnNF8Q,kids,PERSON,,,kids,240,0.10000000149011612,-0.10000000149011612,COMMON,0.03328843042254448,0.8999999761581421,-0.4000000059604645,kid,kid,,,,,PERSON,PERSON,PERSON,PERSON
joVbKTnNF8Q,Cool Australian,ORGANIZATION,,,Cool Australian,104,0.0,0.0,PROPER,0.02989031001925468,0.0,0.0,Cool Australian,cool australian,,,,,,ORGANIZATION,ORGANIZATION,ORGANIZATION
joVbKTnNF8Q,drawing board,OTHER,,,drawing board,214,0.10000000149011612,-0.10000000149011612,COMMON,0.02037411741912365,0.10000000149011612,-0.10000000149011612,draw board,draw board,,,,,,OTHER,OTHER,OTHER
joVbKTnNF8Q,circuit tightener,OTHER,,,circuit tightener,321,0.0,0.0,COMMON,0.016895754262804985,0.0,0.0,circuit tightener,circuit tightener,,,,,,OTHER,OTHER,OTHER
joVbKTnNF8Q,model,CONSUMER_GOOD,,,model,350,0.20000000298023224,-0.20000000298023224,COMMON,0.01180724799633026,0.20000000298023224,-0.20000000298023224,model,model,,,,,PERSON,OTHER,OTHER,OTHER
joVbKTnNF8Q,plunger,CONSUMER_GOOD,,,plunger,376,0.10000000149011612,-0.10000000149011612,COMMON,0.01180724799633026,0.10000000149011612,-0.10000000149011612,plunger,plunger,,,,,PERSON,OTHER,OTHER,OTHER
joVbKTnNF8Q,ballet,OTHER,,,ballet,289,0.0,0.0,COMMON,0.0074506946839392185,0.0,0.0,ballet,ballet,,,,,,OTHER,OTHER,OTHER
joVbKTnNF8Q,Tomba,PERSON,,,Tomba,356,0.0,0.0,PROPER,0.005667945835739374,0.0,0.0,Tomba,tomba,,,,,,PERSON,PERSON,PERSON
