storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
kNViDMEcmtI,John,PERSON,,,John,9,0.0,0.0,PROPER,0.2728416919708252,0.20000000298023224,0.0,John,john,,,,,PERSON,PERSON,PERSON,PERSON
kNViDMEcmtI,Sid Vicious,PERSON,/m/014w3g,https://en.wikipedia.org/wiki/Sid_Vicious,Sid,492,0.0,0.0,PROPER,0.18764035403728485,2.700000047683716,0.0,Sid Vicious,sid vicious,,,,,,PERSON,PERSON,PERSON
kNViDMEcmtI,Sid Vicious,PERSON,/m/014w3g,https://en.wikipedia.org/wiki/Sid_Vicious,Sid Vicious,942,0.6000000238418579,-0.6000000238418579,PROPER,0.18764035403728485,2.700000047683716,0.0,Sid Vicious,sid vicious,,,,,,PERSON,PERSON,PERSON
kNViDMEcmtI,Sid Vicious,PERSON,/m/014w3g,https://en.wikipedia.org/wiki/Sid_Vicious,Sid,1160,0.20000000298023224,0.20000000298023224,PROPER,0.18764035403728485,2.700000047683716,0.0,Sid Vicious,sid vicious,,,,,,PERSON,PERSON,PERSON
kNViDMEcmtI,knife,CONSUMER_GOOD,,,knife,544,0.0,0.0,COMMON,0.09227076172828674,1.100000023841858,-0.20000000298023224,knife,knife,,,,,,OTHER,OTHER,OTHER
kNViDMEcmtI,knife,CONSUMER_GOOD,,,knife,568,0.10000000149011612,-0.10000000149011612,COMMON,0.09227076172828674,1.100000023841858,-0.20000000298023224,knife,knife,,,,,,OTHER,OTHER,OTHER
kNViDMEcmtI,number,OTHER,,,number,32,0.0,0.0,COMMON,0.061364151537418365,0.0,0.0,number,number,,,,,ORGANIZATION,OTHER,OTHER,OTHER
kNViDMEcmtI,couple,PERSON,,,couple,204,0.10000000149011612,-0.10000000149011612,COMMON,0.03751670941710472,1.100000023841858,-0.5,couple,couple,,,,,ORGANIZATION,PERSON,PERSON,PERSON
kNViDMEcmtI,London,LOCATION,/m/04jpl,https://en.wikipedia.org/wiki/London,London,107,0.0,0.0,PROPER,0.03650835528969765,0.0,0.0,London,london,,,,,"LOCATION, PERSON",LOCATION,LOCATION,LOCATION
kNViDMEcmtI,home,LOCATION,,,home,137,0.10000000149011612,-0.10000000149011612,COMMON,0.02968452125787735,0.10000000149011612,-0.10000000149011612,home,home,,,,,"LOCATION, ORGANIZATION",LOCATION,LOCATION,LOCATION
kNViDMEcmtI,door,OTHER,,,door,164,0.8000000119209291,-0.8000000119209291,COMMON,0.0289680790156126,0.8000000119209291,-0.8000000119209291,door,door,,,,,,OTHER,OTHER,OTHER
