storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
kc1GjIAFdMA,photo,WORK_OF_ART,,,photo,14,0.10000000149011612,0.10000000149011612,COMMON,0.2647886276245117,0.699999988079071,0.30000001192092896,photo,photo,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
kc1GjIAFdMA,issue,OTHER,,,issue,39,0.20000000298023224,0.20000000298023224,COMMON,0.17689856886863708,0.20000000298023224,0.10000000149011612,issue,issue,,,,,"PERSON, EVENT",OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,226,0.0,0.0,COMMON,0.08045462518930435,0.20000000298023224,0.0,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,260,0.10000000149011612,-0.10000000149011612,COMMON,0.08045462518930435,0.20000000298023224,0.0,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,289,0.0,0.0,COMMON,0.08045462518930435,0.20000000298023224,0.0,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,color,OTHER,,,color,53,0.0,0.0,COMMON,0.07547450065612793,0.0,0.0,color,color,,,,,ORGANIZATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,address,OTHER,,,address,23,0.10000000149011612,0.10000000149011612,COMMON,0.04729045554995537,0.10000000149011612,0.10000000149011612,address,address,,,,,LOCATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,105,0.0,0.0,COMMON,0.03532269597053528,0.0,0.0,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,819,0.4000000059604645,0.4000000059604645,COMMON,0.03182842582464218,0.4000000059604645,0.4000000059604645,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,1180,0.0,0.0,COMMON,0.03182842582464218,0.4000000059604645,0.4000000059604645,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,gold,OTHER,,,gold,405,0.4000000059604645,0.4000000059604645,COMMON,0.025879306718707085,0.5,0.20000000298023224,gold,gold,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,dress,CONSUMER_GOOD,,,dress,474,0.0,0.0,COMMON,0.02439781278371811,0.10000000149011612,0.0,dress,dress,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,dress,CONSUMER_GOOD,,,dress,574,0.0,0.0,COMMON,0.02439781278371811,0.10000000149011612,0.0,dress,dress,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,question,OTHER,,,question,122,0.0,0.0,COMMON,0.022686095908284187,0.0,0.0,question,question,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,street,LOCATION,,,street,434,0.20000000298023224,0.20000000298023224,COMMON,0.02261546440422535,0.30000001192092896,0.10000000149011612,street,street,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
kc1GjIAFdMA,dress,CONSUMER_GOOD,,,dress,733,0.20000000298023224,0.20000000298023224,COMMON,0.015298237092792988,0.6000000238418579,0.10000000149011612,dress,dress,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,color,OTHER,,,color,179,0.0,0.0,COMMON,0.014627897180616856,0.0,0.0,color,color,,,,,ORGANIZATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,place,LOCATION,,,place,644,0.0,0.0,COMMON,0.01350002083927393,0.10000000149011612,0.0,place,place,,,,,LOCATION,LOCATION,LOCATION,LOCATION
kc1GjIAFdMA,snow white,OTHER,,,snow white,245,0.0,0.0,COMMON,0.009677701629698277,0.0,0.0,snow white,snow white,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,color,OTHER,,,color,589,0.0,0.0,COMMON,0.00908171758055687,0.0,0.0,color,color,,,,,ORGANIZATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,surprise,OTHER,,,surprise,685,0.8999999761581421,0.8999999761581421,COMMON,0.00676954397931695,0.8999999761581421,0.8999999761581421,surprise,surprise,,,,,EVENT,OTHER,OTHER,OTHER
kc1GjIAFdMA,white,OTHER,,,white,279,0.0,0.0,COMMON,0.006526280660182239,0.0,0.0,white,white,,,,,PERSON,OTHER,OTHER,OTHER
kc1GjIAFdMA,way,OTHER,,,way,331,0.30000001192092896,-0.30000001192092896,COMMON,0.006514814682304859,0.30000001192092896,-0.30000001192092896,way,way,,,,,LOCATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,way,OTHER,,,way,361,0.30000001192092896,-0.30000001192092896,COMMON,0.006509650032967329,0.30000001192092896,-0.30000001192092896,way,way,,,,,LOCATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,number,OTHER,,,number,541,0.10000000149011612,-0.10000000149011612,COMMON,0.005780941806733608,0.10000000149011612,-0.10000000149011612,number,number,,,,,ORGANIZATION,OTHER,OTHER,OTHER
kc1GjIAFdMA,people,PERSON,,,people,551,0.10000000149011612,-0.10000000149011612,COMMON,0.005780941806733608,0.10000000149011612,-0.10000000149011612,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
kc1GjIAFdMA,internet traffic,OTHER,,,internet traffic,504,0.0,0.0,COMMON,0.005780941806733608,0.0,0.0,internet traffic,internet traffic,,,,,,OTHER,OTHER,OTHER
kc1GjIAFdMA,world,LOCATION,,,world,496,0.10000000149011612,-0.10000000149011612,COMMON,0.005780941806733608,0.10000000149011612,-0.10000000149011612,world,world,,,,,ORGANIZATION,LOCATION,LOCATION,LOCATION
