storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3
xFyoOLN23GM,wolf,OTHER,,,wolf,97,0.8999999761581421,0.8999999761581421,COMMON,0.18155233561992645,1.7000000476837158,0.8000000119209291,wolf,wolf,,,,,PERSON,OTHER,OTHER,OTHER
xFyoOLN23GM,Capitol,LOCATION,,,Capitol,149,0.0,0.0,PROPER,0.06698328256607056,0.10000000149011612,0.0,Capitol,capitol,,,,,,LOCATION,LOCATION,LOCATION
xFyoOLN23GM,compound,OTHER,,,wolf,825,0.0,0.0,COMMON,0.06644217669963838,0.5,0.10000000149011612,compound,compound,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,compound,OTHER,,,compound,1112,0.20000000298023224,0.20000000298023224,COMMON,0.06644217669963838,0.5,0.10000000149011612,compound,compound,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,images,WORK_OF_ART,,,images,18,0.8999999761581421,0.8999999761581421,COMMON,0.06577367335557938,0.8999999761581421,0.8999999761581421,image,image,,,,,"PERSON, ORGANIZATION",WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,something,OTHER,,,something,449,0.5,0.5,COMMON,0.06494193524122238,0.699999988079071,0.30000001192092896,something,something,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,first,OTHER,,,first,1226,0.0,0.0,COMMON,0.04377431422472,0.10000000149011612,0.0,first,first,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,detail,OTHER,,,All,1619,0.0,0.0,COMMON,0.0386141948401928,0.20000000298023224,0.0,detail,detail,,,,,ORGANIZATION,OTHER,OTHER,OTHER
xFyoOLN23GM,detail,OTHER,,,detail,1658,0.0,0.0,COMMON,0.0386141948401928,0.20000000298023224,0.0,detail,detail,,,,,ORGANIZATION,OTHER,OTHER,OTHER
xFyoOLN23GM,something,OTHER,,,something,325,0.20000000298023224,0.20000000298023224,COMMON,0.03201890364289284,0.5,0.20000000298023224,something,something,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,Tom,PERSON,,,Tom,35,0.0,0.0,PROPER,0.027596302330493927,0.0,0.0,Tom,tom,,,,,PERSON,PERSON,PERSON,PERSON
xFyoOLN23GM,look,OTHER,,,look,197,0.0,0.0,COMMON,0.02537056244909764,0.0,0.0,look,look,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,lot,OTHER,,,lot,113,0.0,0.0,COMMON,0.022234288975596428,0.0,0.0,lot,lot,,,,,"LOCATION, ORGANIZATION, PERSON",OTHER,OTHER,OTHER
xFyoOLN23GM,images,WORK_OF_ART,,,images,912,0.20000000298023224,0.20000000298023224,COMMON,0.020644485950469967,0.4000000059604645,0.20000000298023224,image,image,,,,,"PERSON, ORGANIZATION",WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,Bin Laden,PERSON,/m/05mg9,https://en.wikipedia.org/wiki/Osama_bin_Laden,Bin Laden,721,0.0,0.0,PROPER,0.019373899325728416,0.20000000298023224,0.10000000149011612,Bin Laden,bin laden,,,,,PERSON,PERSON,PERSON,PERSON
xFyoOLN23GM,compound,LOCATION,,,compound,632,0.10000000149011612,0.10000000149011612,COMMON,0.01930133812129497,0.30000001192092896,0.10000000149011612,compound,compound,,,,,,LOCATION,LOCATION,LOCATION
xFyoOLN23GM,people,PERSON,,,people,1967,0.0,0.0,COMMON,0.01893198676407337,0.20000000298023224,0.0,people,people,,,,,ORGANIZATION,PERSON,PERSON,PERSON
xFyoOLN23GM,details,OTHER,,,details,842,0.20000000298023224,0.20000000298023224,COMMON,0.01814190857112408,0.5,0.0,detail,detail,,,,,ORGANIZATION,OTHER,OTHER,OTHER
xFyoOLN23GM,images,WORK_OF_ART,,,images,1749,0.4000000059604645,0.4000000059604645,COMMON,0.015326735563576218,0.4000000059604645,0.20000000298023224,image,image,,,,,"PERSON, ORGANIZATION",WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,helicopter,CONSUMER_GOOD,,,helicopter,1314,0.0,0.0,COMMON,0.014539464376866816,0.10000000149011612,0.0,helicopter,helicopter,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,plan,OTHER,,,plan,2028,0.10000000149011612,-0.10000000149011612,COMMON,0.013907808810472487,0.20000000298023224,0.0,plan,plan,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,viewers,PERSON,,,viewers,54,0.10000000149011612,0.10000000149011612,COMMON,0.011704627424478531,0.10000000149011612,0.10000000149011612,viewer,viewer,,,,,"ORGANIZATION, PERSON",PERSON,PERSON,PERSON
xFyoOLN23GM,all,OTHER,,,all,368,0.10000000149011612,0.10000000149011612,COMMON,0.010469729080796242,0.10000000149011612,0.10000000149011612,all,all,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,military base,OTHER,,,military base,427,0.30000001192092896,0.30000001192092896,COMMON,0.010469729080796242,0.30000001192092896,0.30000001192092896,military base,military base,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,base,OTHER,,,base,618,0.30000001192092896,0.30000001192092896,COMMON,0.008479786105453968,0.30000001192092896,0.30000001192092896,base,base,,,,,"LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
xFyoOLN23GM,evidence,OTHER,,,evidence,313,0.30000001192092896,0.30000001192092896,COMMON,0.008287329226732254,0.30000001192092896,0.30000001192092896,evidence,evidence,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,roadblocks,OTHER,,,roadblocks,1019,0.4000000059604645,-0.4000000059604645,COMMON,0.008248339407145977,0.4000000059604645,-0.4000000059604645,roadblock,roadblock,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,images,WORK_OF_ART,,,images,881,0.10000000149011612,0.10000000149011612,COMMON,0.008101833052933216,0.10000000149011612,0.10000000149011612,image,image,,,,,"PERSON, ORGANIZATION",WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,roadblocks,OTHER,,,roadblocks,937,0.10000000149011612,-0.10000000149011612,COMMON,0.0076618362218141564,0.10000000149011612,-0.10000000149011612,roadblock,roadblock,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,GOI image,OTHER,,,GOI image,1251,0.10000000149011612,0.10000000149011612,COMMON,0.007407519035041331,0.10000000149011612,0.10000000149011612,GOI image,goi image,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,pictures,WORK_OF_ART,,,pictures,857,0.0,0.0,COMMON,0.007116961758583784,0.0,0.0,picture,picture,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,road,LOCATION,,,road,959,0.0,0.0,COMMON,0.007116961758583784,0.0,0.0,road,road,,,,,,LOCATION,LOCATION,LOCATION
xFyoOLN23GM,base,OTHER,,,base,604,0.20000000298023224,0.20000000298023224,COMMON,0.007051744498312473,0.20000000298023224,0.20000000298023224,base,base,,,,,"LOCATION, ORGANIZATION",OTHER,OTHER,OTHER
xFyoOLN23GM,details,OTHER,,,details,778,0.5,0.5,COMMON,0.0070299869403243065,0.5,0.5,detail,detail,,,,,ORGANIZATION,OTHER,OTHER,OTHER
xFyoOLN23GM,picture,WORK_OF_ART,,,picture,1149,0.0,0.0,COMMON,0.0065215169452130795,0.0,0.0,picture,picture,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,troops,PERSON,,,troops,547,0.10000000149011612,0.10000000149011612,COMMON,0.006432065274566412,0.10000000149011612,0.10000000149011612,troop,troop,,,,,ORGANIZATION,PERSON,PERSON,PERSON
xFyoOLN23GM,troops,PERSON,,,troops,583,0.0,0.0,COMMON,0.006432065274566412,0.0,0.0,troop,troop,,,,,ORGANIZATION,PERSON,PERSON,PERSON
xFyoOLN23GM,military analysts,PERSON,,,military analysts,1546,0.10000000149011612,0.10000000149011612,COMMON,0.005259101279079914,0.10000000149011612,0.10000000149011612,military analyst,military analyst,,,,,,PERSON,PERSON,PERSON
xFyoOLN23GM,attack,EVENT,,,attack,1058,0.0,0.0,COMMON,0.005231700837612152,0.0,0.0,attack,attack,,,,,,EVENT,EVENT,EVENT
xFyoOLN23GM,space,LOCATION,,,space,1196,0.0,0.0,COMMON,0.0052188015542924395,0.0,0.0,space,space,,,,,LOCATION,LOCATION,LOCATION,LOCATION
xFyoOLN23GM,Islamabad,LOCATION,/m/0dhd5,https://en.wikipedia.org/wiki/Islamabad,Islamabad,239,0.0,0.0,PROPER,0.004971364047378303,0.0,0.0,Islamabad,islamabad,,,,,LOCATION,LOCATION,LOCATION,LOCATION
xFyoOLN23GM,all,OTHER,,,all,1600,0.20000000298023224,0.20000000298023224,COMMON,0.004886199254542589,0.20000000298023224,0.20000000298023224,all,all,,,,,,OTHER,OTHER,OTHER
xFyoOLN23GM,pictures,WORK_OF_ART,,,pictures,1632,0.0,0.0,COMMON,0.004882555920630693,0.0,0.0,picture,picture,,,,,,WORK_OF_ART,WORK_OF_ART,EVENT
xFyoOLN23GM,wolf,OTHER,,,wolf,1713,0.0,0.0,COMMON,0.004879123996943235,0.0,0.0,wolf,wolf,,,,,PERSON,OTHER,OTHER,OTHER
xFyoOLN23GM,Compound,LOCATION,,,Compound,982,0.0,0.0,PROPER,0.004518446512520313,0.0,0.0,Compound,compound,,,,,,LOCATION,LOCATION,LOCATION
