youtubeLink,title,fulltitle,description,upload_date,duration,uploader,thumbnail,tags,categories,average_rating,view_count,like_count,dislike_count,width,height,ext,format,acodec,vcodec,autocap_en,subs_en,no_tags
https://www.youtube.com/watch?v=_mijYXcSCS4,STUNNING TIME-LAPSE SHOWS CORAL REEF'S SECRET LIFE ON THE GREAT BARRIER REEF - BBC NEWS,STUNNING TIME-LAPSE SHOWS CORAL REEF'S SECRET LIFE ON THE GREAT BARRIER REEF - BBC NEWS,"Subscribe to BBC News www.youtube.com/bbcnewsCheck out this amazing time-lapse video showing the secret life of corals in the Great Barrier Reef. Using time-lapse photography, Dr Pim Bongaerts from the University of Queensland, found a way to show how the coral moves and grows it's normally too slow to see. He shared some of his remarkable footage exclusively with the BBC.To see collection of Dr.Pim Bongaerts' work make sure to check out his website. http://www.coraltimelapse.com/Timelapse footage courtesy of:Dr Pim BongaertsUniversity of QueenslandSubscribe http://www.youtube.com/bbcnewsCheck out our website: http://www.bbc.com/newsFacebook: http://www.facebook.com/bbcworldnewsTwitter: http://www.twitter.com/bbcworldInstagram: http://instagram.com/bbcnews",01/17/2014,104,BBC News,https://i.ytimg.com/vi/_mijYXcSCS4/hqdefault.jpg,Pim Bongaerts+university of queens+Coral Reef (Geographical Feature Category)+Great Barrier Reef+australia corals+australia+the coral reef+coral reefs+great barrier reefs+what is a coral+australia coral+coral reef australia+bbc news+Coral (Organism Classification)+ocean corals+TIME LAPSE+TIMELAPSE+CORAL REEF TIMELAPSE+TIMELAPSE PHOTOGRAPHY+UNDERWATER TIMELAPSE+PHOTOGRAPHY+CORAL REEF PHOTOS,Science & Technology,4.9406528473,66243,332,5,1920,1080,mp4,137 - 1920x1080 (1080p)+251 - audio only (DASH audio),opus,avc1.640028,0,0,22
https://www.youtube.com/watch?v=-BszNMuQ6I8,"Obama: Shooting victims' families ""deserve a vote""","Obama: Shooting victims' families ""deserve a vote""","President Obama discusses gun control and recent victims of gun violence during his State of the Union address. For more CNN videos, visit our site at http://www.cnn.com/video/",02/12/2013,115,CNN,https://i.ytimg.com/vi/-BszNMuQ6I8/hqdefault.jpg,CNN+News+CNN TV+Special Programming+state of the union 2013+president obama+barack obama+newtown shooting+gun control+obama deserve a vote+they deserve a vote+State of the union+#SOTU+2013 union address+union+barack obama speech+obama address+speech+state of the union address+obama 2013 state of the union+sotu 2013+WHChat+gop response+politics,Shows,2.9405939579,5773,49,52,640,360,mp4,134 - 640x360 (360p)+251 - audio only (DASH audio),opus,avc1.4d401e,0,0,24
https://www.youtube.com/watch?v=-L6miYnJCVI,"CINEMA - Debate about the film ""Outlaw""","CINEMA - Debate about the film ""Outlaw""","CINEMA - The debate about the film ""Outlaw""Falisfying history... and plagiarism. A couple of the charges being leveled at ""Outlaw,"" the new film of Rachid Bouchareb, director of ""Days of Glory,"" due out in theaters soon. Rachid Bouchareb, academy-award nominated director of ""Days of Glory,"" is being accused by two writers of having plagiarized their screenplay as the premise for his new film ""Outlaw.""http://www.france24.com/en/",09/20/2010,114,FRANCE 24 English,https://i.ytimg.com/vi/-L6miYnJCVI/hqdefault.jpg,France+24+CINEMA+debate+film+Outlaw+Falisfying+history+plagiarism+charges+Rachid+Bouchareb+director+Days+Glory+theaters+soon+academy award+nominated+accused+two+writers+plagiarized+screenplay+premise,News & Politics,5,436,1,0,640,480,mp4,135 - 640x480 (DASH video)+140 - audio only (DASH audio),mp4a.40.2,avc1.4d400b,0,0,25
https://www.youtube.com/watch?v=02-pz7uPQ0w,CNN: 'Dancing with the Stars' celebrates America,CNN: 'Dancing with the Stars' celebrates America,"John Travolta makes an appearance with friend Kirstie Alley, and Cheryl Burke feels ""violated"" on a patriotic ""DWTS.""",04/19/2011,120,CNN,https://i.ytimg.com/vi/02-pz7uPQ0w/hqdefault.jpg,Dancing With the Stars+DWTS+John Travolta Dancing+John Travolta DWTS+Kirstie Alley+Kirstie Alley DWTS+Kirstie Alley John Travolta+Cheryl Burke+Cheryl Burke DWTS+Chris Jericho DWTS+Cheryl Burke Chris Jericho+Kendra Wilkinson DWTS+Kendra Wilkinson dancing+Kendra dancing+yankee doodle dancing+Romeo Chelsea Hightower+Romeo DWTS+Romeo dancing+Chelsea Kane+Chelsea Kane DWTS+Chelsea Kane dancing+Chelsea and Mark DWTS+Chelsea and Mark dancing+CNN+News+CNN TV,News & Politics,5,2595,4,0,640,360,webm,43 - 640x360 (medium),vorbis,vp8.0,0,0,26
https://www.youtube.com/watch?v=0pw7ni8GH6Q,Afghanistan's 'Bruce Lee',Afghanistan's 'Bruce Lee',Subscribe to BBC News www.youtube.com/bbcnewsSubscribe to BBC News HERE http://bit.ly/1rbfUogA Kung Fu fan from Kabul has shot to social media fame after posting a picture of himself striking a pose next to martial arts legend Bruce Lee.Check out our website: http://www.bbc.com/newsFacebook: http://www.facebook.com/bbcworldnewsTwitter: http://www.twitter.com/bbcworldInstagram: http://instagram.com/bbcnews,12/11/2014,60,BBC News,https://i.ytimg.com/vi/0pw7ni8GH6Q/maxresdefault.jpg,bruce+lee+Bruce Lee (Martial Artist)+bruce lee+afghan+afghanistan+kung+fu+kung fu+martial art+martial arts+interview+youtube+culture+karate+philosophy+kabul+legend+documentary+documentaries+film+video+taliban+chan,Entertainment,4.7516059876,245436,1314,87,1920,1080,mp4,137 - 1920x1080 (1080p)+140 - audio only (DASH audio),mp4a.40.2,avc1.640028,0,0,24
https://www.youtube.com/watch?v=1Av5TowGQZk,Latin America Investigates - El Salvador: Assassins for Sale,Latin America Investigates - El Salvador: Assassins for Sale,"Los Exterminio say they're fighting criminal gangs in El Salvador, but are they simply hitmen killing for cash?Latin America Investigates - El Salvador: Assassins for Sale http://aje.io/9by3",11/29/2016,114,Al Jazeera English,https://i.ytimg.com/vi/1Av5TowGQZk/maxresdefault.jpg,5228138119001+criminal gangs+murder+Crime+san miguel+Assassins For Sale+latin america+Los Exterminio+business+Gangs+americas+police+south america+El Salvador+youtube+Death Squad+Military+AJsocial+MS 13+novod,Entertainment,5,1904,30,0,1920,1080,mp4,137 - 1920x1080 (1080p)+251 - audio only (DASH audio),opus,avc1.640028,1,0,20
https://www.youtube.com/watch?v=1FIPmYtgn50,Humza Arshad: Comedy Vs Extremism,Humza Arshad: Comedy Vs Extremism,"Subscribe to BBC News www.youtube.com/bbcnewsYoutube comedy star Humza Arshad (Diary of a bad man) has been recruited by counter-terror police. He's made a video that's being shown in schools across the UK to warn of the dangers of violent extremism. In this video, he explains why he did it.Subscribe to BBC News HERE http://bit.ly/1rbfUogCheck out our website: http://www.bbc.com/newsFacebook: http://www.facebook.com/bbcworldnewsTwitter: http://www.twitter.com/bbcworldInstagram: http://instagram.com/bbcnews",01/28/2015,72,BBC News,https://i.ytimg.com/vi/1FIPmYtgn50/maxresdefault.jpg,humza+arshad+Humza Arshad (Person)+bbc+news+interview+comedy+satire+muslim+fighting+terror+terrorism+youtube+video+film+world news+documentary+documentaries+diary+of+abad+man+Diary Of A Bad Man (TV Program)+extremism,Comedy,4.7250857353,24737,271,20,1920,1080,mp4,137 - 1920x1080 (1080p)+140 - audio only (DASH audio),mp4a.40.2,avc1.640028,0,0,24
https://www.youtube.com/watch?v=1iaT99UIV64,Trump called hypocrite for Muhammad Ali tweet,Trump called hypocrite for Muhammad Ali tweet,Donald Trump is receiving backlash online after paying respects to Muhammad Ali in a tweet.,06/05/2016,118,CNN,https://i.ytimg.com/vi/1iaT99UIV64/hqdefault.jpg,CNN News CNN TV CNN Newsroom Newsroom Donald+Trump+Muhammad Ali+tweet+twitter+muslim+CNN+DOnald Trump+hypocrite+Dean Obeidallah+Fredricka Whitfield+sports+athletes+Obama+feed the beast+athlete+sports hero+champion+Ali+The Greatest 2016-elections,News & Politics,3.7652859688,122630,701,313,1280,720,mp4,22 - 1280x720 (hd720),mp4a.40.2,avc1.64001F,1,1,20
https://www.youtube.com/watch?v=1q1hIGCl420,How to charge your phone with a mud oven - BBC News,How to charge your phone with a mud oven - BBC News,"This is how to charge your phone with a mud oven. Examining the science, politics and solutions of climate change. http://bbc.in/1IadGSlSubscribe to BBC News HERE http://bit.ly/1rbfUogCheck out our website: http://www.bbc.com/newsFacebook: http://www.facebook.com/bbcworldnewsTwitter: http://www.twitter.com/bbcworldInstagram: http://instagram.com/bbcnews",11/30/2015,84,BBC News,https://i.ytimg.com/vi/1q1hIGCl420/hqdefault.jpg,phone+charging+bbc+news+bbc news+charging phone+cell phone+battery+mud oven+oven+amazing video+how to+video+lifestyle+amazing+culture+africa+mobile+cool+climate change+global warming+malawi+charger+Food+Cooking+thermal+thermo electric generator+generator,Howto & Style,4.8443579674,72231,247,10,1920,1080,mp4,137 - 1920x1080 (1080p)+140 - audio only (DASH audio),mp4a.40.2,avc1.640028,0,0,28
https://www.youtube.com/watch?v=2dFL0IKVNKU,Mexico lime industry soured by disasters,Mexico lime industry soured by disasters,"Mexico's lime groves have been hit by disease and bad weather, forcing the price of the fruit to spike.In many places the price has more than tripled in recent weeks.Last year's hurricane in the country's major lime growing area and a disease called Yellow Dragon plague have caused groves to yield less fruit.Mexico produces most of the world's limes, so the impact has been felt globally.Al Jazeera's Andy Gallacher reports.",03/30/2014,120,Al Jazeera English,https://i.ytimg.com/vi/2dFL0IKVNKU/maxresdefault.jpg,3411765550001+pacote+yield+latin america+package+Al Jazeera English+News+hurricane+shop owner+jazeera+restaurant patron+antonio albarron+mario bautista+youtube+unblocked+Cartoonist+americasnews+fruit+Shortage+agriculture+lime+Yellow Dragon+limes+al Jazeera+Mexico+Andy Gallacher+aljazeera+Plague,News & Politics,5,1561,11,0,1280,720,mp4,136 - 1280x720 (720p)+140 - audio only (DASH audio),mp4a.40.2,avc1.4d401f,1,0,28
