storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,0.6000000000000001,1.4,GOP,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,1.4,2.3,divided,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,2.3,2.4,the,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,2.4,2.8,Supreme,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,2.8,3.2,Court's,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,3.2,3.7,decision,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,3.7,3.8,to,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,3.8,4.4,legalize,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,4.4,5.0,same-sex,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,5.0,5.6,marriage,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,5.6,6.2,splitting,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,6.2,6.3,the,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,6.3,6.9,party.,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,6.9,7.2,Let's,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,7.2,7.3,be,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,7.3,7.6,clear.,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,7.6,7.7,The,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,7.7,8.4,court,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,8.7,8.9,has,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,8.9,9.4,injected,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,9.4,9.8,itself,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,9.8,10.0,into,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,10.0,10.8,politics,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,10.9,11.3,Chief,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,11.3,11.6,Court,1
3jW0DxqyU2A,0,"GOP divided the Supreme Court's decision to legalize same-sex marriage splitting the party. Let's be clear. The court has injected itself into politics Chief Court critics Ted Cruz and Scott Walker back a constitutional amendment to make same-sex marriage a state issue, but many Republican candidates don't this is not going to happen. I mean, I'm focused on solving problems. I'm running for president to fix a few really big complex things. I'm not running to make a point instead. They're making an argument to protect religious freedom accept the Court's ruling fight for the religious Liberties of every American some in the GOP like Mike Huckabee are taking a harder line calling for businesses and religious institutions.",0.8854493498802185,11.6,12.2,critics,1
