storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,0.9,1.4,Thank,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,1.4,2.0,you.,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,2.1,2.3,Don't,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,2.3,3.1,Hampshire,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,4.8,5.1,we,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,5.1,5.2,are,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,5.2,5.6,going,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,5.6,5.8,to,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,5.8,6.0,do,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,6.0,6.6,something,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,6.8,7.2,so,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,7.2,7.6,good,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,7.6,7.9,and,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,7.9,8.1,so,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,8.1,8.6,fast,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,8.6,8.8,and,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,8.8,9.0,so,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,9.0,9.7,strong,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,9.8,10.0,and,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,10.0,10.0,the,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,10.0,10.4,world,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,10.4,10.6,is,1
4v6_uHrvYWo,0,Thank you. Don't Hampshire we are going to do something so good and so fast and so strong and the world is going to respect us again. Go wealthiest people and largest corporations in this country will start paying their fair share of taxes. Congratulations to Bernie and all fairness. We have to congratulate up. We may not like it. We must tell the billionaire class and the one percent that they cannot have it all he wants to give away our country folks. He wants to give away. We're not going to let it happen.,0.8394243121147156,10.6,10.7,going,1
