storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,0.5,0.6000000000000001,You,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,0.6000000000000001,0.9,don't,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,0.9,1.1,have,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,1.1,1.1,to,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,1.1,1.6,travel,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,1.6,1.9,far,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,1.9,2.0,in,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,2.0,2.2,the,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,2.2,2.6,occupied,1
7bayHWdsYSo,0,"You don't have to travel far in the occupied West Bank to find stories of Palestinians affected by Jewish Israeli settlements. No, Monsieur Binet lives in a village surrounded by them and her family lost their land to an illegal Outpost and have suffered for decades. I never you mean we were hoping that settlers would leave The Outpost but once the Stray legalizes it there would be no hope for us to get the land back whatsoever. The settlements are illegal under international law, but despite that some 600,000 Jewish settlers live in the occupied West Bank and Jerusalem, some of them live on land privately owned by Palestinians Israel wants to confiscate that land and is trying to pass a bill into law legalizing such settlements and outposts. They say the Palestinian land owners will be compensated. However, the land was snatched from them and negotiations over the land never took place Palestinian officials say they have no choice but to take their case to the International Community going to the ICC end of the security Council and two the count the",0.8447330594062805,2.6,2.9,West,1
