storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,0.30000000000000004,0.7000000000000001,"Hello,",1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,0.7000000000000001,1.0,I'm,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,1.0,1.4,tillett,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,1.4,1.8,mazumdar.,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,1.8,2.0,The,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,2.0,2.5,BBC's,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,2.5,2.9,Global,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,2.9,3.2,Health,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,3.2,4.1,correspondent.,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.2,4.4,And,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.4,4.5,here's,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.5,4.6,what,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.6,4.7,you,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.7,4.8,need,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.8,4.9,to,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,4.9,5.2,know,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,5.2,5.5,about,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,5.5,5.7,the,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,5.7,6.0,zika,1
M4tcWVhecXo,0,"Hello, I'm tillett mazumdar. The BBC's Global Health correspondent. And here's what you need to know about the zika virus.",0.7525463104248047,6.0,6.7,virus.,1
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,10.5,10.9,Unless,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,10.9,11.1,you're,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,11.1,11.7,pregnant,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,11.7,11.9,or,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,11.9,12.2,thinking,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,12.2,12.4,about,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,12.4,12.8,getting,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,12.8,13.3,pregnant.,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,13.3,13.8,Zika,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,13.8,14.0,is,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,14.0,14.3,not,2
M4tcWVhecXo,0," Unless you're pregnant or thinking about getting pregnant. Zika is not considered particularly harmful. In fact only one in five people who have it actually show any symptoms those who do will often have a mild fever a rash headache and conjunctivitis red itchy eyes. It usually clears up within a week, but for pregnant women that are serious concerns because at the same time we've seen the number of zika cases shooting up. We've also seen a sharp rise in the number of microcephaly cases a potentially fatal condition where babies are born with small heads and underdeveloped brains.",0.8250495195388794,14.3,14.7,considered,2
