storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,1.3,1.4,I,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,1.4,1.6,told,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,1.6,1.7000000000000002,you,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.0,3.1,to,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.1,3.3,take,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.3,3.3,a,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.3,3.6,look,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.6,3.7,at,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,3.7,3.8,it.,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,6.2,6.3,"Yeah,",1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,6.3,6.5,but,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,6.5,6.6,you've,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,6.6,6.8,already,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,6.8,7.0,seen,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,7.0,7.2,it's,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,7.2,7.5,already,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,7.5,7.6,out,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,7.6,7.9,there,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,7.9,8.2,"Hi,",1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,8.2,8.3,how,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,8.3,8.5,are,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,8.5,8.9,you?,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,10.6,10.8,Good,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,10.8,10.9,to,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,10.9,11.1,see,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,11.1,11.2,you,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,11.2,11.8,guys.,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,12.0,12.4,Thank,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,12.4,12.7,you,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,12.8,13.3,myths,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,13.3,13.4,of,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,13.6,13.7,the,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,13.7,14.0,Supreme,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,14.0,14.2,Court,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,14.2,14.3,is,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,14.3,14.4,the,1
UdiS9NqhiRI,0,"I told you to take a look at it. Yeah, but you've already seen it's already out there Hi, how are you? Good to see you guys. Thank you myths of the Supreme Court is the final word right in the high score in the land. We did he miss that was attacks and they attacks, of course. Well, you know, I certainly think that the Supreme Court has ruled on it and what did what did obviously disappointed that the president is trying to deny what the Supreme Court explained that if you like your plan, that's not true.",0.7864129543304443,14.4,14.7,final,1
