storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,1.4,1.7000000000000002,It's,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,1.7000000000000002,2.2,practically,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,2.2,2.4,the,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,2.4,2.8,worst,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,2.8,3.1,thing,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,3.1,3.2,you,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,3.2,3.5,can,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,3.5,3.8,utter,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,3.8,4.1,about,1
buz6qTQOWfA,0,"It's practically the worst thing you can utter about a politician his actual name. It's like Robin Hood in Reverse. It's Romney Hood combine that name with anything anything at all, including lunch meat you have a vicious attack and if I were to come to term, it would be Abalone because apparently campaigns are like Harry Potter. There is some sort of mystical Cosmic brutal threat with using someone's name who can forget all Hillary care or how about the woma care and Romney care or their illicit love child courtesy of Tim pawlenty Obamacare, which is second cousins once removed from Michele Bachmann's creation of Newt Romney names weren't always such a dicey situation or I guess MIT uation. No one complains about Jeffersonian democracy or Lincoln-Douglas style debates.",0.8617041110992432,4.1,4.2,a,1
