storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,7.7,8.0,It's,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,8.0,8.3,bad,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,8.3,8.7,news,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,8.7,8.8,for,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,8.8,9.1,women,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,9.1,9.3,who,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,9.3,9.5,work,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,9.5,9.6,the,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,9.6,9.9,night,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,9.9,10.7,shift,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,10.7,10.8,a,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,10.8,11.1,study,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,11.1,11.5,released,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,11.5,11.7,this,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,11.7,11.9,week,1
fRUM5IwoDlg,0,It's bad news for women who work the night shift a study released this week by the French National Institute of Health and Medical Research indicates that working nights raises the risk of getting breast cancer. The study found that women who had worked the night shift were 35 percent more likely to get breast cancer than women who didn't the probability of getting breast cancer shot up by 40% for women who had worked nights for at least four and a half years. The scientists said more research is needed to determine the reason but one hypothesis is the disruption of body clock genes.,0.8187224268913269,11.9,12.1,by,1
