storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,4.5,4.9,My,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,4.9,5.5,primary,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,5.5,6.0,Mission,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,6.0,6.2,as,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,6.2,6.8,president,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,6.8,7.0,will,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,7.0,7.1,be,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,7.1,7.3,to,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,7.3,8.1,create,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,8.1,8.4,more,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,8.4,9.3,opportunity,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,9.3,9.5,and,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,9.5,9.8,more,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,9.8,10.1,good,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,10.1,10.6,jobs,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,10.6,10.9,with,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,10.9,11.4,Rising,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,11.4,12.2,wages,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,12.3,12.8,right,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,12.8,13.3,here,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,13.3,13.6,in,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,13.6,13.7,the,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,13.7,14.5,United,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,14.5,15.3,States.,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,15.8,15.9,I,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,15.9,16.1,am,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,16.1,16.6,going,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,16.6,16.7,to,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,16.7,17.0,bring,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,17.0,17.7,back,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,18.1,18.5,our,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,18.5,19.3,jobs,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,19.6,19.8,to,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,19.8,20.7,Ohio,1
gNRoJCibkCY,0,My primary Mission as president will be to create more opportunity and more good jobs with Rising wages right here in the United States. I am going to bring back our jobs to Ohio and Pennsylvania and all of America.,0.8428098559379578,20.9,21.1,and,1
