storageLink,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,2.5,2.7,They're,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,2.7,3.5,expected,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,3.5,3.6,a,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,3.6,4.0,couple,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,4.0,4.2,of,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,4.2,4.8,thousand,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,4.8,5.4,people,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,7.0,7.2,but,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,7.2,7.4,when,1
z0khtGInxdE,0,They're expected a couple of thousand people but when police opened the border between Venezuela and Colombia tens of thousands poured through desperate to buy food medicine basic necessities now too expensive or simply impossible to get in Venezuela. You're pathetic when they're your and oh he's crying as I cross the bridge when I saw the Avalanche of people it's unbelievable to me that all of Venezuela wants to come here to this neighboring country to look for the things we can't get over there. Venezuela's oil dependent economy is in tatters struggling for months from hyper inflation and recession for people there. It's meant soaring food prices and waiting in queues for hours sometimes days. That's a food is available at all last week hundreds of Venezuelan woman had pushed across,0.912839949131012,7.4,7.9,police,1
