youtubeLink,videoDuration,videoStorageLink,summaryStorageLink1,summaryStorageLink2,explanationSummary1,explanationSummary2
https://www.youtube.com/watch?v=5cUj7Ta_J_A,120,PLACEHOLDER_VIDEO_STORAGE/5cUj7Ta_J_A.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_5cUj7Ta_J_A___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_5cUj7Ta_J_A___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/5cUj7Ta_J_A___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/5cUj7Ta_J_A___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=5FVV7Apeses,95,PLACEHOLDER_VIDEO_STORAGE/5FVV7Apeses.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_5FVV7Apeses___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_5FVV7Apeses___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/5FVV7Apeses___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/5FVV7Apeses___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=E65LTXb4v9c,98,PLACEHOLDER_VIDEO_STORAGE/E65LTXb4v9c.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_E65LTXb4v9c___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_E65LTXb4v9c___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/E65LTXb4v9c___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/E65LTXb4v9c___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=kc1GjIAFdMA,111,PLACEHOLDER_VIDEO_STORAGE/kc1GjIAFdMA.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_kc1GjIAFdMA___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_kc1GjIAFdMA___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/kc1GjIAFdMA___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/kc1GjIAFdMA___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=Nm4Vzyoe9i4,120,PLACEHOLDER_VIDEO_STORAGE/Nm4Vzyoe9i4.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_Nm4Vzyoe9i4___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_Nm4Vzyoe9i4___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/Nm4Vzyoe9i4___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/Nm4Vzyoe9i4___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=nwx96e7qck0,87,PLACEHOLDER_VIDEO_STORAGE/nwx96e7qck0.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_nwx96e7qck0___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_nwx96e7qck0___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/nwx96e7qck0___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/nwx96e7qck0___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=pEUZNcDFr6c,120,PLACEHOLDER_VIDEO_STORAGE/pEUZNcDFr6c.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_pEUZNcDFr6c___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_pEUZNcDFr6c___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/pEUZNcDFr6c___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/pEUZNcDFr6c___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=q3-eknQ5nlM,113,PLACEHOLDER_VIDEO_STORAGE/q3-eknQ5nlM.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_q3-eknQ5nlM___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_q3-eknQ5nlM___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/q3-eknQ5nlM___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/q3-eknQ5nlM___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=raudX_3cOC4,100,PLACEHOLDER_VIDEO_STORAGE/raudX_3cOC4.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_raudX_3cOC4___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_raudX_3cOC4___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/raudX_3cOC4___10___aq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/raudX_3cOC4___10___nq_combined_wordcloud_and_fraction.png
https://www.youtube.com/watch?v=rxlgs2XT6WA,120,PLACEHOLDER_VIDEO_STORAGE/rxlgs2XT6WA.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_rxlgs2XT6WA___10___nq.mp4,PLACEHOLDER_VIDEO_SUMMARY_STORAGE/video_summaries/summary_rxlgs2XT6WA___10___aq.mp4,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/rxlgs2XT6WA___10___nq_combined_wordcloud_and_fraction.png,PLACEHOLDER_VIDEO_SUMMARY_EXPLANATIONS/visual_explanations/rxlgs2XT6WA___10___aq_combined_wordcloud_and_fraction.png
